"Present name of the feature";"Value type";"Former name of the feature (indication)";"Other names of feature (indic.)";"Classes where feature is encoded (indic.)";"Description of the feature";"Example(s) illustrating the feature";"Description de la propriété"
"N0 faire le V-n de N1 (forme V-n)";"lexical";" ";;", 32R1";"Form of a deverbal noun morphologically associated with V, used in a sentence with noun-centered argument structure, with the same subject, the verb faire, the determiner le, the deverbal noun, and an object de N1";"pastiche";"Forme d'un nom déverbal lié à V, utilisé dans une phrase à prédicat nominal avec le même sujet, le verbe faire, le déterminant le, le nom déverbal, et le complément de N1"
"N0 faire V-n Prép N1";"binary";"Vop =: faire";;", 37M1, 37M2, 37M3, 37M4, 37M5, 37M6";"Paraphrase of the form N0 faire V-n Prép N1, where V-n is a deverbal noun related to V and Prép a preposition";"Paul assaisonne la salade = Paul fait l'assaisonnement de la salade ; Paul barre son chèque = Paul fait une barre sur son chèque ; La fatigue cerne ses yeux = La fatigue fait des cernes à ses yeux";"Paraphrase de la forme N0 faire V-n Prép N1, où V-n est un nom déverbal lié à V et Prép une préposition"
"N0 faire le V-n Prép N1 (forme V-n)";"lexical";" ";;", 37M1";"Form of a deverbal noun morphologically associated with V, used in a paraphrase of the form N0 faire V-n Prép N1, where Prép is a preposition";"assaisonnement";"Forme d'un nom déverbal lié à V, utilisé dans une paraphrase de la forme N0 faire V-n Prép N1, où Prép est une préposition"
"N0 lancer V-n Loc N1";"binary";"Vop =: lancer";;", 37M1, 37M2, 37M3, 37M4, 37M5, 37M6";"Paraphrase of the form N0 lancer V-n Loc N1, where V-n is a deverbal noun related to V and Loc a locative preposition";"On a torpillé le bateau = On a lancé une torpille sur le bateau";"Paraphrase de la forme N0 lancer V-n Loc N1, où V-n est un nom déverbal lié à V et Loc une préposition locative"
"N0 lancer V-n Loc N1 (forme V-n)";"lexical";" ";;", 37M1";"Form of a deverbal noun morphologically associated with V, used in a paraphrase of the form N0 lancer V-n Loc N1, where  Loc is a locative preposition";"torpille";"Forme d'un nom déverbal lié à V, utilisé dans une paraphrase de la forme N0 lancer V-n Loc N1, où Loc est une préposition locative"
"N0 lieu de destination de N1";"binary";"N0 destination";"N0 bénéficiaire";", 32PL, 32R2, 38L, 38L0, 38LD, 38LH, 38LR, 38LS";"The subject is interpreted as the destination of the referent of N1. The criterion to be applied is that of support sentences as in Boons et al. (1976:205) and in Guillet et Leclère (1992:22)";"Max tire la corde à lui ; Paul se tape une bière ; Paul a réceptionné le colis";"Le sujet est interprété comme le lieu de destination du référent de N1. Le critère appliqué est celui des phrases-supports exposé dans Boons et al. (1976:205) et dans Guillet et Leclère (1992:22)"
"N0 lieu de destination de N2";"binary";"N0 destination";"N0 bénéficiaire";", 37E";"The subject is interpreted as the destination of the referent of N2. The criterion to be applied is that of support sentences as in Boons et al. (1976:205) and in Guillet et Leclère (1992:22)";"Luc dépouille Léa de ses biens";"Le sujet est interprété comme le lieu de destination du référent de N2. Le critère appliqué est celui des phrases-supports exposé dans Boons et al. (1976:205) et dans Guillet et Leclère (1992:22)"
"N0 lieu source de N1";"binary";"N0 source";;", 38L, 38L0, 38LD, 38LH, 38LR";"The subject is interpreted as the source of the referent of N1. The criterion to be applied is that of support sentences as in Boons et al. (1976:205) and in Guillet et Leclère (1992:22)";"Luc catapulte la balle dans les airs ; Max congédie Paul";"Le sujet est interprété comme le lieu source du référent de N1. Le critère appliqué est celui des phrases-supports exposé dans Boons et al. (1976:205) et dans Guillet et Leclère (1992:22)"
"N0 lieu statique de N1";"binary";" ";;" ";"The subject is interpreted as a place where the referent of an object N1 is before, during and after the process. The criterion to be applied is that of support sentences as in Boons et al. (1976:205) and in Guillet et Leclère (1992:22)";"Luc arbore une cravate";"Le sujet est interprété comme un lieu où se situe le référent de l'objet N1 avant, pendant et après le procès. Le critère appliqué est celui des phrases-supports exposé dans Boons et al. (1976:205) et dans Guillet et Leclère (1992:22)"
"N0 lui V Loc (N1pc+N2pc)";"binary";"N0 lui V Prép N1pc";;", 35L, 35ST";"Pronominalization of a noun which denotes a person and is a post-modifier of a locative object, denoting a body part and noted Loc N1 or Loc N2; the pronoun is a dative clitic";"La balle a ricoché sur la poitrine de Luc = La balle lui a ricoché sur la poitrine";"Pronominalisation d'un nom dénotant une personne et complément de nom d'un objet locatif dénotant une partie du corps et noté Loc N1 ou Loc N2 ; le pronom est un pronom préverbal datif "
"N0 lui V Loc N1pc";"binary";"N0 lui V Prép N1pc";;", 34L0";"Pronominalization of a noun which denotes a person and is a post-modifier of a locative object Loc N1 denoting a body part; the pronoun is a dative clitic";"De l'eau dégouline sur la tête de Luc = De l'eau lui dégouline sur la tête";"Pronominalisation d'un nom dénotant une personne et complément de nom d'un objet locatif Loc N1 dénotant une partie du corps ; le pronom est un pronom préverbal datif "
"N0 lui V N1 Loc N3pc";"binary";"N0 lui V N1 Loc N2pc";;", 32PL";"Pronominalization of a noun which denotes a person and is a post-modifier of a locative object Loc N3 denoting a body part and interpreted as a destination; the pronoun is a dative clitic";"Paul empile des assiettes sur la tête de Luc = Paul lui empile des assiettes sur la tête";"Pronominalisation d'un nom dénotant une personne et complément de nom d'un objet locatif Loc N3 dénotant une partie du corps et interprété comme un lieu de destination ; le pronom est un pronom préverbal datif "
"N0 lui V N1pc W";"binary";"N0 lui V N1pc";;", 32C, 32CL, 32CV, 32PL, 32RA, 36R, 36S, 38PL, 38R";"Pronominalization of a noun which denotes a person and is a post-modifier of an object N1 denoting a body part; the pronoun is a dative clitic";"Le froid a rougi le nez de Paul = Le froid lui a rougi le nez ; L'eau ballonne l'estomac de Luc = L'eau lui ballonne l'estomac ; L'obus a brisé le bras de Luc en trois = L'obus lui a brisé le bras en trois";"Pronominalisation d'un nom dénotant une personne et complément de nom d'un objet N1 dénotant une partie du corps ; le pronom est un pronom préverbal datif "
"N0 lui V Prép N1pc";"binary";"N0 lui V Prép N1pc";;", 35R";"Pronominalization of a noun which denotes a person and is a post-modifier of an object Prép N1 denoting a body part; the pronoun is a dative clitic";"Luc lorgne sur les seins de Marie = Luc lui lorgne sur les seins";"Pronominalisation d'un nom dénotant une personne et complément de nom d'un objet Prép N1 dénotant une partie du corps ; le pronom est un pronom préverbal datif "
"N0 mettre V-n Loc N1";"binary";"Vop =: mettre";;", 37M1, 37M2, 37M3, 37M4, 37M5, 37M6";"Paraphrase of the form N0 mettre V-n Loc N1, where V-n is a deverbal noun related to V and Loc a locative preposition";"Paul borne le pré = Paul met des bornes autour du pré";"Paraphrase de la forme N0 mettre V-n Loc N1, où V-n est un nom déverbal lié à V et Loc une préposition locative"
"N0 mettre V-n Loc N1 (forme V-n)";"lexical";" ";;", 37M1";"Form of a deverbal noun morphologically associated with V, used in a paraphrase of the form N0 mettre V-n Loc N1, where  Loc is a locative preposition";"borne";"Forme d'un nom déverbal lié à V, utilisé dans une paraphrase de la forme N0 mettre V-n Loc N1, où Loc est une préposition locative"
"N0 mouvement";"binary";"N0 mouvement";;", 32CL, 32R2";"The subject is interpreted as a moving object or place";"La balle a frôlé la cible";"Le sujet est interprété comme un objet ou lieu en mouvement"
"N0 porter V-n à N1";"binary";"N0 porter V-n à N1";;", 12";"Sentence with noun-centered argument structure, with the same subject, the verb porter, a deverbal noun related with V, and an object à N1";"Paul porte une grande admiration à son chef";"Phrase à prédicat nominal avec le même sujet, le verbe porter, un nom déverbal lié à V, et le complément à N1"
"N0 porter V-n à N1 (forme V-n)";"lexical";" ";;", 12";"Form of a deverbal noun related with V, used in a sentence with noun-centered argument structure, with the same subject, the verb porter,  the deverbal noun, and an object à N1";"admiration";"Forme d'un nom déverbal lié à V dans une phrase à prédicat nominal avec le même sujet, le verbe porter, le nom déverbal, et un complément à N1"
"N0 pousser V-n, Sfx = E";"binary";"N0 pousser Dét V-n";;", 9";"Sentence with noun-centered argument structure, with the same subject, the verb pousser, and a deverbal noun related with V with an empty suffix";"Luc crie = Luc pousse un cri";"Phrase à prédicat nominal avec le même sujet, le verbe pousser, et un nom déverbal lié à V avec un suffixe vide"
"N0 pousser V-n, Sfx = ment";"binary";"N0 pousser Dét V-ment";;", 9";"Sentence with noun-centered argument structure, with the same subject, the verb pousser, and a deverbal noun related with V with the suffix -ment";"Luc grogne = Luc pousse un grognement";"Phrase à prédicat nominal avec le même sujet, le verbe pousser, et un nom déverbal lié à V avec le suffixe -ment"
"N0 rendre N1 (E+plus) V-adj";"binary";" ";;", 32CV";"Sentence with the same subject, the verb rendre, the same object, sometines a comparative adverb, and a deverbal adjective related with V";"L'été a embelli le jardin = L'été a rendu le jardin (E+plus) beau ; Ce produit a féminisé Max = Ce produit a rendu Max (E+plus) féminin";"Phrase avec le même sujet, le verbe rendre, le même objet, parfois un adverbe comparatif, et un adjectif déverbal lié à V"
"N0 rendre N1 plus V-adj";"binary";" ";"N0 rendre N1 (E+plus) V-adj";", 32RA";"Sentence with the same subject, the verb rendre, the same object, a comparative adverb, and a deverbal adjective related with V";"Le vent a abaissé la température = Le vent a rendu la température plus basse";"Phrase avec le même sujet, le verbe rendre, le même objet, un adverbe comparatif, et un adjectif déverbal lié à V"
"N0 rendre N1 plus V-adj (forme V-adj)";"lexical";" ";;", 32RA";"Form of a deverbal adjective related with V, used in a sentence with the same subject, the verb rendre, the same object, a comparative adverb, and the deverbal adjective";"bas";"Forme d'un adjectif déverbal lié à V dans une phrase avec le même sujet, le verbe rendre, le même objet, un adverbe comparatif, et l'adjectif déverbal"
"N0 rendre N1 V-adj";"binary";" ";"N0 rendre N1 (E+plus) V-adj";", 32RA";"Sentence with the same subject, the verb rendre, the same object, and a deverbal adjective related with V";"Ce produit active la fermentation = Ce produit a rendu la fermentation active";"Phrase avec le même sujet, le verbe rendre, le même objet, et un adjectif déverbal lié à V"
"N0 rendre N1 V-adj (forme V-adj)";"lexical";" ";;", 32RA";"Form of a deverbal adjective related with V, used in a sentence with the same subject, the verb rendre, the same object,  and the deverbal adjective";"actif";"Forme d'un adjectif déverbal lié à V dans une phrase avec le même sujet, le verbe rendre, le même objet, et l'adjectif déverbal"
"N0 V";"binary";"N0 V";"N0 U";", 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 32R2, 32R3, 33, 34L0, 35L, 35R, 35S, 35ST";"Sentence with no objects, possibly by erasement of all the objects";"Paul dort ; Paul flirte avec Marie = Paul flirte ; Paul Luc a inventé que Marie était mariée / *Luc a inventé ; Paul hésite à se prononcer = Paul hésite";"Phrase sans objets, éventuellement par effacement de tous les objets"
"N0 V (Adj) (Qu P)";"binary";"(Adj)(Qu P)";;", 6, 9";"Raising of two parts of a sentential complement: (i) Adj; (ii) an embedded sentential subject";"Je juge qu'il est souhaitable que Léa vienne = Je juge souhaitable que Léa vienne";"Montée de deux parties d'une complétive objet : (a) Adj ; (b) la complétive sujet imbriquée"
"N0 V (être Adj) (Qu P)";"binary";"(être Adj)(Qu P)";;", 6, 9";"Raising of two parts of a sentential complement: (i) être Adj; (ii) an embedded sentential subject";"Je juge qu'il est souhaitable que Léa vienne = Je juge être souhaitable que Léa vienne ; Max lui dit être possible que Luc arrive demain";"Montée de deux parties d'une complétive objet : (a) être Adj ; (b) la complétive sujet imbriquée"
"N0 V (N1 de N1c) = N0 V (N1c) (Prép N1)";"binary";" ";;" ";"A nominal direct object of the form N1 de N1c, where N1c is a nominal post-modifier, can be replaced by N1c and a prepositional modifier Prép N1 called echo modifier (restructuration)";"Luc stimule la curiosité de Marie = Luc stimule Marie dans sa curiosité";"L'objet direct nominal de la forme N1 de N1c, où N1c est un complément de nom, peut être remplacé par N1c et le complément prépositionnel Prép N1, dit complément écho (restructuration)"
"N0 V (N2+N3) (E+de N1)";"binary";"N0 V N2 de N1";"N0 V N2 (de N1)";", 38LH, 38LR, 38LS";"Sentence where a locative object N2 or N3 is direct, by erasement of its preposition, and an object N1 is erased or occurs with the preposition de";"On a exproprié l'immeuble de tous ces gens = On a exproprié tous ces gens (E+de l'immeuble); On a infiltré 3 agents dans le réseau = On a infiltré le réseau (E+de 3 agents)";"Phrase dans laquelle l'objet locatif N2 ou N3 est direct, par effacement de sa préposition, et l'objet N1 est effacé ou apparaît avec la préposition de"
"N0 V à N1";"binary";"N0 V à N1";;", 14";"Sentence with an object à N1, possibly by erasement of other objects";"Max ment à Luc ; Ça a abouti pour Paul à un échec = Ça a abouti à un échec";"Phrase à un objet à N1, éventuellement par effacement d'autres objets"
"N0 V à N1 Prép N2";"binary";"N0 V à ce Qu P Prép N2";;;"Sentence with a sentential complement with the preposition à and another object noted Prép N2";"Travailler plus revient pour Luc à ce qu'il gagne plus";"Phrase avec une complétive objet introduite par la préposition à et un autre objet noté Prép N2"
"N0 V à N2";"binary";"N0 V à N2";;", 9, 11, 36R";"Sentence with an object à N2, by erasement of an object N1";"Luc a répondu à Paul qu'il pleut = Luc a répondu à Paul ; Ça contraint Luc à des sacrifices = Ça contraint à des sacrifices";"Phrase à un objet à N2, par effacement de l'objet N1"
"N0 V à N2 : 'P'";"binary";"N0 V à N2 : 'P'";;", 9";"The sentential complement N1 can take the form of direct speech";"Paul crie à Marie qu'elle est idiote = Paul crie à Marie : ""Tu es idiote""";"La complétive N1 peut prendre la forme d'un discours direct"
"N0 V Adv";"binary";"N0 V Adv";;", 32NM";"The object N1 can take the form of an adverb";"Le film dure 3 heures = Le film dure longtemps. Le sac pèse 10 kg = le sac pèse lourd";"L'objet N1 peut prendre la forme d'un adverbe"
"N0 V après Nhum";"binary";"N0 V après Nhum";;", 6, 9";"Sentence with the same subject, the verb V, and an object après Nhum denoting a person";"Max gueule après sa femme";"Phrase avec le même sujet, le verbe V, et un objet après Nhum dénotant une personne"
"N0 V contre Nhum";"binary";"N0 V contre Nhum";;", 6, 7, 8, 9, 15";"Sentence with the same subject, the verb V, and an object contre Nhum denoting a person";"Paul râle contre les syndicats";"Phrase avec le même sujet, le verbe V, et un objet contre Nhum dénotant une personne"
"N0 V dans N1";"binary";"N0 U dans N1";;", 1";"Sentence with the same subject, the verb V, and a nominal object with the preposition dans";"Paul persiste dans ses convictions";"Phrase avec le même sujet, le verbe V et un objet nominal introduit par la préposition dans"
"N0 V de N0pc";"binary";"N0 V de N0pc";;", 31H, 31R, 33, 35L, 35R, 35ST";"Sentence with the same subject denoting a concrete thing or a person, the verb V, and an object with the preposition de denoting a part of the concrete thing or of the body of the person";"Paul souffre du bras droit ; Le vélo dérape de la roue avant";"Phrase avec le même sujet dénotant un objet concret ou une personne, le verbe V, et un objet introduit par la préposition de dénotant une partie de l'objet concret ou du corps de la personne"
"N0 V de N0pc W";"binary";"N0 V de N0pc Prép N1";;", 35R, 35ST";"With a subject denoting a concrete thing or a person, additional object with the preposition de denoting a part of the concrete thing or of the body of the person";"La voiture enfonce dans la boue de la roue avant gauche ; Luc presse du doigt sur le bouton";"Avec un sujet dénotant un objet concret ou une personne, objet supplémentaire en de dénotant une partie de l'objet concret ou du corps de la personne"
"N0 V de N1";"binary";;;", 15";"Sentence with an object de N1, possibly by erasement of other objects";"Max profite du soleil ; Paul parle du soleil à Marie = Paul parle du soleil";"Phrase à un objet de N1, éventuellement par effacement d'autres objets"
"N0 V de N1 Prép N2";"binary";"N0 V de ce Qu P Prép N2";" ";" ";"Sentence with a sentential complement with the preposition de and another object noted Prép N2";"Luc parle à Marie de ce qu'il pourrait partir en vacances";"Phrase avec une complétive objet introduite par la préposition de et un autre objet noté Prép N2"
"N0 V Loc N1";"binary";"N0 V Loc N1";;", 2T, 38L1";"Sentence with a locative object Loc N1, possibly by erasement of other objects or by insertion of a locative preposition";"Les étoiles étincellent dans le ciel ; Le bateau aborde au quai = Le bateau aborde le quai ; Max grimpe à l'échelle = Max grimpe l'échelle";"Phrase à un objet locatif Loc N1, éventuellement par effacement d'autres objets ou par insertion d'une préposition locative"
"N0 V Loc N1 source";"binary";;;", 35L, 35LS";"Sentence with a locative object interpreted as a source, possibly by erasement of other objects";"Le train a déraillé de la voie ; La fumée sort de la cheminée";"Phrase à un objet locatif interprété comme lieu source, éventuellement par effacement d'autres objets"
"N0 V Loc N1 destination";"binary";;;", 35LD";"Sentence with a locative object interpreted as a destination";"Max s'est effondré dans un fauteuil";"Phrase à un objet locatif interprété comme lieu de destination"
"N0 V Loc N1 Loc N2";"binary";"source et destination";;", 35ST";"Stative sentence with two locative objects, the first with a source preposition, and the second with a destination preposition";"L'escalier descend de la cuisine à la cave";"Phrase statique avec deux objets locatifs, l'un avec une préposition source, l'autre avec une préposition destination"
"N0 V Loc N1 source Loc N2 destination";"binary";"source et destination";;", 35L";"Sentence with two locative objects, the first interpreted as a source, and the second as a destination";"Luc descend de la cuisine à la cave";"Phrase avec deux objets locatifs, l'un interprété comme lieu source, l'autre comme lieu de destination"
"N0 V Loc N1 V0-inf W";"binary";" ";;", 2T";"Sentence with a nominal locative object and an infinitive clause with an implicit subject coreferent with that of the main verb";"Paul entre dans le bureau demander du feu ; Paul grimpe à l'échelle tailler le lierre";"Phrase avec un objet locatif nominal et une infinitive dont le sujet implicite est coréférent à celui du verbe principal"
"N0 V Loc N2";"binary";"N0 V Loc N1";;", 3, 35SL";"Sentence with a locative object Loc N2, by erasement of other objects";"Max descend Luc à la gare = Max descend à la gare; La ville s'étend de la rivière jusqu'à la montagne = La ville s'étend jusqu'à la montagne";"Phrase à un objet locatif Loc N2, par effacement d'autres objets"
"N0 V Loc N2 destination";"binary";;;", 35L";"Sentence with a locative object Loc N2 interpreted as a destination place, by erasement of other objects";"L'eau cascade des rochers sur la vallée = L'eau cascade sur la vallée";"Phrase à un objet locatif Loc N2 interprété comme lieu de destination, par effacement d'autres objets"
"N0 V N0pc W";"binary";"N0 V N0pc W";;", 32C, 32CL, 32CV, 36DT, 36R, 36S, 36SL, 37E, 38L, 38LD, 38LR, 38LS, 38R";"The subject can denote a person, and the direct object, with the determiner le, can denote a body part of the person";"Max donne le bras à Léa ; Max approche la main du feu ; Max bouge les oreilles";"Le sujet peut dénoter une personne, et l'objet direct, avec le déterminant le, peut dénoter une partie du corps de la personne"
"N0 V N1";"binary";"N0 V N1";;", 3, 9, 10, 11, 13, 32A, 32CL, 32CV, 32PL, 32RA, 36R, 36S, 36SL, 37E, 37M1, 37M2, 37M3, 37M4, 37M5, 37M6, 38LS, 38PL, 38R, 39";"Sentence with a direct object N1, possibly by erasement of other objects";"Luc énerve Ida ; Luc amène Marie au parc = Luc amène Marie ; Luc mène Marie au parc / *Luc mène Marie";"Phrase à un objet direct N1, éventuellement par effacement d'autres objets"
"N0 V N1 + 2";"binary";"N0 V N1 + 2";;", 36SL";"Sentence with a direct object metonymically interpreted as both objects";"Léa a boutonné un pan de sa robe avec l'autre = Léa a boutonné sa robe";"Phrase à un objet direct interprété par métonymie comme les deux objets"
"N0 V N1 à ce Qu P";"binary";"à ce que P";"Prép N2 =: à ce que P";", 6";"An object à N2 can be a sentential complement";"Paul voit que Luc est passé à ce qu'il y a une bouteille vide ";"L'objet à N2 peut être une complétive"
"N0 V N1 à N2";"binary";" ";;" ";"Sentence with a direct object and an object à N2";"Luc a cédé ce livre à Marie";"Phrase avec un objet direct et un objet à N2"
"N0 V N1 à N2 de Nhum";"binary";"de Nhum
Prép N2 =: de Nhum";;", 9";"An additional object with de as its preposition denotes a person obligatorily also referred to by an element of the object N1 (projection constraint in the sense of Maurice Gross, 1975)";"Paul dit à Marie de Luc qu'il est génial, cf. Voici Luc dont Paul dit à Marie qu'il est génial";"Un objet supplémentaire avec la préposition de dénote une personne à laquelle un élément de l'objet N1 réfère obligatoirement aussi (contrainte de projection au sens de Maurice Gross, 1975)"
"N0 V N1 à N2 Dnum Nmonnaie";"binary";"N0 V N1 Dnum N";;", 36DT";"An additional direct complement, which takes the form of a cardinal numeral and a currency name, denotes a sum of money";"Paul a facturé ce livre 100 francs à Luc";"Un complément direct supplémentaire, qui prend la forme d'un déterminant numéral et d'un nom de monnaie, dénote une somme d'argent"
"N0 V N1 à N2 pour Dnum Nmonnaie";"binary";"N0 V N1 à N2 Advp";;", 36DT";"An additional object, with the preposition pour, a cardinal numeral and a currency name, denotes a sum of money";"Luc a cédé ce livre à Marie pour 60 francs";"Un complément supplémentaire, avec la préposition pour, un déterminant numéral et un nom de monnaie, dénote une somme d'argent"
"N0 V N1 comme N2";"binary";"N0 V N1 comme N2";;", 39";"A direct object N2 can be introduced by comme";"On a élu Paul président = On a élu Paul comme président";"L'objet direct N2 peut être introduit par comme"
"N0 V N1 contre N2hum";"binary";"N0 V N1 contre Nhum";;", 4";"An additional object of the form contre N2 denotes a person";"Cette décision révolte Luc contre le gouvernement";"Un complément supplémentaire de la forme contre N2 dénote une personne"
"N0 V N1 de coup de V-n";"binary";"N0 V N1 de coup de V-n";;", 32CL";"An additional modifier of the form de coup de V-n, denoting a blow, contains a deverbal noun related to the verb V and denotes an instrument";"Luc a fouetté Léa de coups de fouet ; Léa a poignardé Luc d'un coup de poignard";"Un complément supplémentaire de la forme de coup de V-n contient un nom déverbal lié au verbe V et dénote un instrument"
"N0 V N1 de coup de V-n (forme V-n)";"lexical";" ";;", 32CL";"Form of a deverbal noun morphologically associated with V, used in an additional modifier of the form de coup de V-n, denoting a blow, that contains the deverbal noun and denotes an instrument";"fouet";"Forme d'un nom déverbal lié à V, utilisé dans un complément supplémentaire de la forme de coup de V-n contenant le nom déverbal lié au verbe V et dénotant un instrument"
"N0 V N1 de N2";"binary";"N0 V N1 de N2";;", 32A";"Sentence with a direct object and an object de N2";"Léa accuse Max de viol ; Paul a alourdi son sac d'un gros livre";"Phrase avec un objet direct et un objet de N2"
"N0 V N1 de N2 source";"binary";"N0 V N1 de N2 source";"source seule";", 32PL, 36DT, 38L";"Sentence with a direct object and a locative object de N2 interpreted as a source, possibly by erasement of other objects";"Paul a collecté les informations de ce thésaurus ; Paul perçoit ce salaire d'une PME ; Paul déplace le pion de la case 5";"Phrase avec un objet direct et un objet locatif de N2 interprété comme lieu source, éventuellement par effacement d'autres objets"
"N0 V N1 de N2hum";"binary";"de Nhum";;", 6, 12";"An additional object with de as its preposition denotes a person obligatorily also referred to by an element of the object N1 (projection constraint)";"Paul sait de Marie qu'elle est partie, cf. Marie dont Paul sait qu'elle est partie ; Paul aime de Marie qu'elle s'énerve, cf. Marie dont Paul aime qu'elle s'énerve";"Un objet supplémentaire avec la préposition de dénote une personne à laquelle un élément de l'objet N1 réfère obligatoirement aussi (contrainte de projection)"
"N0 V N1 de N2 matériau";"binary";"N0 V N1 de N2matériau";"N0 V N1 de N2";", 32A";"Sentence with a direct object and an object de N2 denoting material for the process";"Paul a bâti cette cabane seulement de planches usagées";"Phrase avec un objet direct et un objet de N2 dénotant un matériau utilisé dans le procès"
"N0 V N1 de N2 = N0 enlever N2 de N1";"binary";"N0 enlever N2 de N1";"V = enlever";", 32RA";"Sentence of the form N0 V N1 de N2 paraphrased by N0 enlever N2 de N1";"Ce procédé épure les eaux de leurs germes = Ce procédé enlève leurs germes des eaux ; Luc a purgé ce radiateur d'un peu d'air = Luc a enlevé un peu d'air de ce radiateur";"Phrase de la forme N0 V N1 de N2 paraphrasée par N0 enlever N2 de N1"
"N0 V N1 de N2 = N0 mettre N2 Loc N1";"binary";"N0 mettre N2 Loc N1, N0 mettre N2 de N1";"V = mettre";", 32RA";"Sentence of the form N0 V N1 de N2 paraphrased by N0 mettre N2 Loc N1";"Paul a alourdi son sac d'un gros livre = Pierre a mis un gros livre dans son sac ; Luc orne la table de fleurs = Luc met des fleurs sur la table";"Phrase de la forme N0 V N1 de N2 paraphrasée par N0 mettre N2 Loc N1"
"N0 V N1 de N3 attache";"binary";"N0 V N1 de N3attache";"N0 V N1 de Nattache";", 36SL";"Sentence with a direct object and a complement de N3 attache, introduced by the preposition de, denoting a tying system and interpreted as an instrument";"Luc a boulonné les planches de 4 boulons";"Phrase avec un objet direct et un complément de N3 attache, introduit par la préposition de, dénotant un système d'attache et interprété comme un instrument"
"N0 V N1 de N-hum";"binary";"N0 V N1 de N2";;", 39";"Sentence with a direct object and acomplement introduced by the preposition de and denoting a non-human entity";"Luc appelle son fils d'un surnom";"Phrase avec un objet direct et un complément introduit par la préposition de et dénotant une entité non humaine"
"N0 V N1 de V-n";"binary";"N0 V N1 de V-n";;", 32CL, 39";"An additional complement of the form de V-n contains a deverbal noun related to the verb V";"Paul a giflé Léa de 3 baffes ; Luc surnomme sa fille d'un surnom ridicule";"Un complément supplémentaire de la forme de V-n contient un nom déverbal lié au verbe V"
"N0 V N1 de V-n (forme V-n)";"lexical";" ";;", 32CL, 39";"Form of a deverbal noun morphologically associated with V, used in an additional complement of the form de V-n";"baffe";"Forme d'un nom déverbal lié à V, utilisé dans un complément supplémentaire de la forme de V-n"
"N0 V N1 destination";"binary";"N0 V N1";;", 35L";"A locative object N1 interpreted as a destination can become a direct object, by erasement of the preposition introducing N1";"Max farfouille dans le tiroir = Max farfouille le tiroir";"L'objet locatif N1 interprété comme un lieu de destination peut devenir un objet direct, par effacement de la préposition introduisant N1"
"N0 V N1 en N2";"binary";"N0 V N1 en N2";"N0 V N1 en V-n";",32CL, 32PL";"Sentence with a direct object and an object en N2";"Paul a empilé les dossiers en un gros tas ; Luc a transformé ce taudis en un palais ; Luc a scié la planche en deux bouts";"Phrase avec un objet direct et un objet en N2"
"N0 V N1 entre N2pl obl";"binary";"N0 V N1 entre N2 et N2";;", 38PL";"Sentence with a direct object and an object entre N2, where N2 is in the plural or a conjunction of several noun phrases";"Paul répartit les dossiers entre Luc et Max";"Phrase avec un objet direct et un objet entre N2, où N2 est au pluriel ou est une conjonction de plusieurs groupes nominaux"
"N0 V N1 et N2";"binary";" ";;" ";"Two objects N1 and N2 can be coordinated without preposition";"Luc lace le côté droit et le côté gauche ; Le maire marie Max et Léa";"Les deux objets N1 et N2 peuvent être coordonnés sans préposition"
"N0 V N1 Loc N1pc W";"binary";"N0 V N1 Loc N1pc";;", 32C, 32CL, 32D, 32RA, 35L, 35ST, 36R, 36S, 38PL, 38R";"An object N1 can denote a person or a concrete object and coexist with an additional locative object Loc N1pc denoting a body part of the person or a part of the concrete object";"Ida masse Luc à la jambe ; Le chirurgien quadrille le patient en 9 régions sur la poitrine";"L'objet N1 peut dénoter une personne ou un objet concret et coexister avec un objet locatif supplémentaire Loc N1pc qui dénote une partie du corps de la personne ou une partie de l'objet concret"
"N0 V N1 Loc N2";"binary";"N0 V N1 Loc N2";;", 32A";"Sentence with a direct object and a locative object Loc N2";"On a érigé une statue derrière le poteau";"Phrase avec un objet direct et un objet locatif Loc N2"
"N0 V N1 Loc N2 destination";"binary";" ";" ";" ";"Sentence with a direct object and a locative object interpreted as a destination place";"Luc glisse la lettre dans la fente";"Phrase à un objet direct et un objet locatif interprété comme lieu de destination "
"N0 V N1 Loc N2 source";"binary";" ";" ";" ";"Sentence with a direct object and a locative object interpreted as a source place";"Luc raye deux noms dans la liste";"Phrase à un objet direct et un objet locatif interprété comme lieu source"
"N0 V N1 Loc N2 source Loc N3 destination";"binary";"Loc N2 destination";"source/destination";", 38LH, 38LS";"Sentence with a direct object and two locative objects, the first being interpreted as a source place and the second as a destination place";"Luc chasse la bille du trou dans la rainure ; Luc déménage les meubles du salon dans la soupente";"Phrase à un objet direct et deux objets locatifs, le premier étant interprété comme lieu source, et le deuxième comme lieu de destination "
"N0 V N1 Loc N2 source, Loc # de";"binary";"N0 V N1 Loc(#de)N2 source";;", 32PL";"Sentence with a direct object and an object interpreted as a source place, but introduced by a preposition other than de";"Paul recense deux célibataires dans la liste ; Paul grappille des informations dans les journaux";"Phrase à un objet direct et un objet interprété comme lieu source, mais introduit par une préposition autre que de"
