"<ID>";"N1 V";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N0 lui V N1pc W";"N0 V N1 Loc N1pc W";"N1 =: N-hum";"N1 =: le fait Qu P";"Ppv =: le";"N0 V N1 de N2";"N0 V N1 de N2 = N0 mettre N2 Loc N1";"N0 V N1 de N2 = N0 enlever N2 de N1";"de combien ?";"Ppv =: en";"N0 V Nhum sur ce point";"N1 être Vpp W";"N1 être V-adj de N2";"V-adj";"N1 se V (neutre)";"N0 rendre N1 V-adj";"N0 rendre N1 plus V-adj";"N0 rendre N1 V-adj (forme V-adj)";"N0 rendre N1 plus V-adj (forme V-adj)";"<OPT>";"<ENGLISH>"
"119";"~";"~";"<E>";"doubler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"doublé";"<E>";"Max a doublé (la ficelle+l'amarre)";"?"
"120";"+";"-";"<E>";"doubler";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"-";"+";"-";"double";"<E>";"Max a doublé son bénéfice";"to double"
"121";"-";"-";"<E>";"dramatiser";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"~";"-";"-";"-";"-";"-";"+";"-";"dramatique";"<E>";"Max a dramatisé les faits";"to dramatize"
"122";"-";"-";"<E>";"dresser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"-";"+";"+";"droit";"droit";"Le menuisier a dressé les planches";"to straighten up"
"123";"~";"~";"<E>";"droitiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"de droite";"de droite";"Les événements ont droitisé le parti";"?"
"124";"+";"+";"<E>";"durcir";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"dur";"dur";"Le froid durcit le beurre";"to harden"
"125";"-";"-";"<E>";"éborgner";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"~";"-";"+";"-";"-";"-";"+";"-";"borgne";"<E>";"La branche a éborgné Max";"to poke one's eye out"
"126";"~";"~";"<E>";"échauder";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a échaudé la vaisselle avant de la laver";"~"
"127";"-";"+";"<E>";"échauffer";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"+";"+";"-";"-";"+";"+";"+";"chaud";"chaud";"Ce trajet a échauffé les freins";"to overheat"
"128";"+";"+";"<E>";"éclaircir";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"~";"-";"+";"-";"-";"+";"-";"+";"<E>";"clair";"Max a éclairci la teinte d'un peu de blanc";"to lighten"
"129";"+";"-";"<E>";"éclaircir";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"~";"-";"+";"-";"-";"+";"+";"+";"clair";"clair";"Max a éclairci sa sauce d'un peu de bouillon";"to make thinner"
"130";"-";"-";"<E>";"écourter";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"~";"-";"+";"-";"-";"+";"-";"+";"<E>";"court";"Max a écourté le cours de quelques minutes";"to shorten"
"131";"-";"+";"<E>";"efféminer";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"+";"+";"-";"efféminé";"<E>";"Ces colifichets efféminent Max";"to make effeminate"
"132";"-";"+";"<E>";"égaliser";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"~";"-";"-";"-";"-";"+";"+";"+";"égal";"égal";"Max égalise les salaires";"to level"
"133";"-";"+";"<E>";"égayer";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"-";"-";"-";"-";"+";"-";"+";"<E>";"gai";"Max a égayé le mur d'une reproduction en couleur";"to brighten up"
"134";"+";"+";"<E>";"élargir";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"+";"-";"+";"<E>";"large";"Max a élargi la route de 2 mètres";"to widen"
"135";"-";"-";"<E>";"électrifier";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"+";"+";"-";"électrifié";"<E>";"On a électrifié la région des Alpes";"to bring electricity to"
"136";"-";"-";"<E>";"électriser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"+";"+";"-";"électronique";"<E>";"On électronise la musique";"to make electronic"
"137";"-";"-";"<E>";"éloigner";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"-";"-";"-";"+";"+";"+";"loin";"loin";"(Cet objectif+Cette brume) éloigne les objets";"to make objects look distant"
"138";"+";"+";"<E>";"embellir";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"beau";"beau";"Le soleil a embelli Max";"to beautify"
"139";"-";"-";"<E>";"embourgeoiser";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"bourgeois";"bourgeois";"Ce poste embourgeoise Max";"to make middle-class"
"140";"-";"-";"<E>";"empâter";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"-";"+";"-";"pâteux";"<E>";"Le tabac lui empâte la bouche";"to coat"
"141";"-";"+";"<E>";"emphatiser";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"~";"-";"+";"-";"-";"+";"+";"+";"emphatique";"emphatique";"Max emphatise son désir d'Ida";"to make pompous"
"142";"+";"-";"<E>";"empirer";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"-";"-";"-";"+";"+";"-";"pire";"<E>";"Le traitement n'a fait qu' empirer son mal";"to worsen"
"143";"-";"+";"<E>";"emplir";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"+";"plein";"+";"+";"-";"plein";"<E>";"Max a empli son sac de gâteaux";"to fill up"
"144";"-";"+";"<E>";"empourprer";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"+";"pourpre";"+";"+";"-";"pourpre";"<E>";"Le coucher de soleil empourpre l'horizon";"to turn crimson"
"145";"~";"~";"<E>";"enceinter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"enceinte";"<E>";"Max a enceinté Ida";"?"
"146";"-";"-";"<E>";"endolorir";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"+";"+";"-";"douloureux";"<E>";"La marche endolorit les pieds";"to make painful"
"147";"-";"-";"<E>";"endurcir";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"~";"+";"+";"-";"-";"+";"+";"+";"dur";"dur";"Le jardinage endurcit les mains";"to toughen"
"148";"-";"+";"<E>";"engourdir";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"+";"+";"-";"-";"+";"+";"-";"engourdi";"<E>";"Le froid engourdit les doigts";"to numb"
"149";"+";"+";"<E>";"engraisser";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"-";"+";"+";"gras";"gras";"L'abus de la chèvre a engraissé Ida";"to fatten up"
"150";"-";"-";"<E>";"engrosser";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"-";"+";"-";"gros";"<E>";"A cette date, Napoléon avait engrossé sa femme de l'aiglon";"to knock sb up"
"151";"-";"+";"<E>";"enivrer";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"~";"-";"+";"+";"ivre";"+";"+";"-";"ivre";"<E>";"Le vin a enivré Ida";"to make drunk"
"152";"-";"+";"<E>";"enjoliver";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"joli";"joli";"Ida a enjolivé son jardin d'ifs";"to embellish"
"153";"~";"~";"<E>";"enlaidir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"laid";"laid";"Max a enlaidi le mur d'une décoration hideuse";"?"
"154";"+";"-";"<E>";"ennoblir";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"~";"+";"+";"-";"-";"+";"+";"+";"noble";"noble";"Ces tempes argentées ennoblissent son visage";"to ennoble"
"155";"-";"+";"<E>";"enrichir";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"+";"riche";"+";"+";"+";"riche";"riche";"Ces opérations ont enrichi Crésus";"to make rich"
"156";"-";"+";"<E>";"ensanglanter";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"~";"-";"+";"-";"-";"+";"+";"-";"sanglant";"<E>";"Un faux mouvement avait ensanglanté son pansement";"to soak with blood"
"157";"+";"+";"<E>";"épaissir";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"+";"+";"-";"-";"+";"+";"+";"épais";"épais";"Max épaissit la sauce de farine";"to thicken"
"158";"-";"-";"<E>";"épurer";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"~";"-";"+";"+";"pur";"-";"+";"+";"pur";"pur";"Ce procédé épure les eaux de leurs germes";"to purify"
"159";"-";"-";"<E>";"équarrir";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"-";"+";"+";"carré";"carré";"Max a équarri la poutre";"to square"
"160";"-";"-";"<E>";"érotiser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"+";"érotique";"érotique";"La mode érotise la publicité";"to eroticize"
"161";"-";"-";"<E>";"étatiser";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"-";"étatique";"<E>";"On  étatise les moyens de production";"to establish government control over"
"162";"-";"-";"<E>";"éterniser";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"-";"+";"-";"éternel";"<E>";"Cette découverte a éternisé le nom d'Einstein";"to immortalize"
"163";"-";"-";"<E>";"européaniser";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"-";"européen";"<E>";"Un long séjour a européanisé Takuya";"to Europeanize"
"164";"-";"+";"<E>";"exhausser";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"-";"+";"+";"haut";"haut";"Max a exhaussé sa maison d'une étape";"to raise up"
"165";"~";"~";"<E>";"extrêmiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"extrême";"extrême";"Max extrêmise sa position politique";"?"
"166";"-";"-";"<E>";"falsifier";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"-";"+";"-";"faux";"<E>";"Max a falsifié son diplôme d'un grade inexact";"to falsify"
"167";"+";"-";"<E>";"fasciser";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"+";"fasciste";"fasciste";"Le coup d'état a fascisé ce pays";"to make fascist"
"168";"-";"-";"<E>";"fausser";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"+";"+";"-";"faux";"<E>";"Cette illusion d'optique fausse son appréciation";"to distort"
"169";"~";"~";"<E>";"féconder";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"fécond";"<E>";"Les pluies fécondent la terre";"?"
"170";"-";"-";"<E>";"fédéraliser";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"fédéral";"fédéral";"On  fédéralise la culture";"to federalize"
"171";"~";"~";"<E>";"féeriser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"féerique";"<E>";"On féerise le château par des lumières";"?"
"172";"-";"+";"<E>";"féminiser";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"+";"-";"+";"<E>";"féminin";"Ce décret tend à féminiser la fonction publique";"to make a woman's profession"
"173";"-";"-";"<E>";"féminiser";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"+";"féminin";"féminin";"La mode actuelle féminise les hommes";"to make effeminate"
"174";"~";"~";"<E>";"féodaliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"féodal";"féodal";"Ces mesures ont féodalisé cette région";"?"
"175";"-";"+";"<E>";"fertiliser";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"-";"+";"-";"fertile";"<E>";"Les alluvions du fleuve fertilisent la vallée";"to fertilize"
"176";"-";"-";"<E>";"fidéliser";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"+";"+";"-";"fidèle";"<E>";"La qualité fidélise la clientèle";"to develop customer loyalty"
"177";"-";"+";"<E>";"fixer";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"+";"+";"-";"fixe";"<E>";"L'usage a fixé le sens de ce mot";"to fix"
"178";"-";"+";"<E>";"fluidifier";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"fluide";"fluide";"Cette drogue fluidifie le sang";"to fluidify"
"179";"~";"~";"<E>";"fonctionnaliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"fonctionnel";"<E>";"Cette mode fonctionnalise l'ameublement";"?"
"180";"-";"-";"<E>";"fonctionnariser";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"-";"fonctionnaire";"<E>";"On a fonctionnarisé les vacataires";"to take sb into the public service"
"181";"+";"-";"<E>";"forcir";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"-";"+";"+";"fort";"fort";"Un régime adéquat avait forci Max";"?"
"182";"-";"-";"<E>";"formaliser";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"-";"formel";"<E>";"Max a formalisé cette théorie";"to formalize"
"183";"+";"+";"<E>";"fortifier";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"fort";"fort";"Ce régime a fortifié Max";"to strenghten"
"184";"~";"~";"<E>";"fragiliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"fragile";"fragile";"La crise fragilise les institutions";"?"
"185";"+";"-";"<E>";"fraîchir";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"~";"-";"+";"-";"-";"-";"+";"+";"frais";"frais";"Un vent du nord avait fraîchi l'air";"to make cooler"
"186";"~";"~";"<E>";"franciser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"français";"<E>";"Max francise les mots anglais";"to gallicize"
"187";"-";"-";"<E>";"frigidifier";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"-";"frigide";"<E>";"Son éducation puritaine a frigidifié Léa";"to make frigid"
"188";"+";"-";"<E>";"gauchir";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"-";"+";"+";"gauche";"gauche";"La sécheresse a gauchi la planche";"to warp"
"189";"~";"~";"<E>";"gauchiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"de gauche";"de gauche";"Cette évolution a gauchisé sa ligne politique";"?"
"190";"+";"-";"<E>";"gazéifier";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"+";"+";"-";"gazeux";"<E>";"Jo a gazéifié l'eau de CO2";"to gasify"
"191";"-";"-";"<E>";"généraliser";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"général";"général";"On a généralisé l'emploi des machines";"to generalize"
"192";"-";"-";"<E>";"géométriser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"+";"+";"+";"géométrique";"géométrique";"Ce peintre géométrise ses portraits";"to make geometric"
"193";"-";"-";"<E>";"germaniser";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"-";"germain";"<E>";"Ces emprunts ont germanisé la langue";"to germanize"
"194";"~";"~";"<E>";"globaliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"global";"<E>";"Max globalise les problèmes";"?"
"195";"+";"+";"<E>";"graisser";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"~";"-";"-";"-";"-";"-";"+";"-";"gras";"<E>";"Cette crème graisse les mains";"to grease"
"196";"+";"-";"<E>";"grandir";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"~";"+";"-";"+";"grand";"-";"+";"+";"grand";"grand";"Les talons grandissent Léa";"to make taller"
"197";"+";"+";"<E>";"grisailler";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"~";"-";"-";"-";"-";"+";"+";"+";"gris";"gris";"Le temps a grisaillé le blanc du plafond";"to make grey"
"198";"-";"+";"<E>";"griser";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"~";"-";"-";"-";"-";"+";"+";"-";"gris";"<E>";"Léa a grisé Max de gin";"to make tipsy"
"199";"+";"+";"<E>";"grisonner";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"+";"+";"+";"grisonnant";"grisonnant";"L'âge lui grisonne les tempes";"to make grey"
"200";"~";"~";"<E>";"grossir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"+";"<E>";"gros";"Le microscope grossit les objets";"?"
"201";"-";"-";"<E>";"hausser";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"~";"-";"-";"-";"-";"-";"-";"+";"<E>";"haut";"Max a haussé sa maison d'un étage";"to raise up"
"202";"~";"~";"<E>";"hébraïser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"hébraïque";"hébraïque";"Max a hébraïsé son nom";"?"
"203";"-";"-";"<E>";"helléniser";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"héllenique";"héllenique";"Ces pratiques ont hellénisé (Max+les coutumes)";"to hellenize"
"204";"-";"-";"<E>";"hiérarchiser";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"-";"hiérarchique";"<E>";"Cette structure hiérarchise la société";"to organize into a hierarchy"
"205";"~";"~";"<E>";"homogénéifier";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"homogène";"homogène";"On a homogénéifié cette solution";"to homogenize"
"206";"-";"-";"<E>";"homogénéiser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"+";"+";"+";"homogène";"homogène";"On homogénéise le lait";"to homogenize"
"207";"~";"~";"<E>";"homosexualiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"homosexuel";"homosexuel";"On a homosexualisé la publicité";"?"
"208";"-";"+";"<E>";"humaniser";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"~";"+";"+";"-";"-";"+";"+";"+";"humain";"humain";"On a humanisé la procédure";"to humanize"
"209";"-";"+";"<E>";"humidifier";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"+";"+";"-";"humide";"<E>";"Max humidifie le drap d'un peu d'eau";"to humidify"
"210";"~";"~";"<E>";"hygiéniser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"hygiénique";"<E>";"On tente d' hygiéniser les conditions de vie";"?"
"211";"-";"-";"<E>";"illustrer";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"+";"+";"-";"illustre";"<E>";"Ces héros ont illustré la France";"to render illustrious"
"212";"-";"+";"<E>";"immobiliser";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"~";"+";"+";"-";"-";"-";"+";"-";"immobile";"<E>";"On a immobilisé la jambe de Zoé dans un plâtre";"to immobilize"
"213";"-";"-";"<E>";"immortaliser";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"-";"+";"-";"immortel";"<E>";"(Max+Ceci)a immortalisé la mémoire de Zoé";"to immortalize"
"214";"~";"~";"<E>";"impersonnaliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"impersonnel";"<E>";"L'architecte a impersonnalisé ces immeubles";"?"
"215";"~";"~";"<E>";"inactiver";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"inactif";"<E>";"Le biologiste inactive la toxine";"to inactivate"
"216";"~";"~";"<E>";"indifférencier";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"indifférent";"<E>";"Max indifférencie ces deux notions";"?"
"217";"-";"-";"<E>";"individualiser";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"~";"+";"+";"-";"-";"+";"+";"+";"individuel";"individuel";"Ces caractères individualisent les espèces";"to individualize"
"218";"-";"-";"<E>";"industrialiser";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"industriel";"industriel";"Cette politique industrialisera l'agriculture";"to industrialize"
"219";"-";"-";"<E>";"inférioriser";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"+";"+";"-";"inférieur";"<E>";"Son manque d'assurance infériorise Max";"to put in an inferior position"
"220";"-";"-";"<E>";"informatiser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"+";"+";"-";"informatisé";"<E>";"On a informatisé la paye";"to computerize"
"221";"-";"+";"<E>";"insonoriser";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"-";"+";"-";"insonorisé";"<E>";"Morris a insonorisé la pièce";"to soundproof"
"222";"~";"~";"<E>";"insulariser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"insulaire";"insulaire";"La montée des eaux a insularisé (cette terre+les habitants de cette zone)";"?"
"223";"-";"-";"<E>";"intellectualiser";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"+";"+";"-";"-";"+";"+";"+";"intellectuel";"intellectuel";"Ces mesures ont intellectualisé la télé";"to intellectualize"
"224";"-";"-";"<E>";"intensifier";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"intense";"intense";"L'approche du week-end intensifie la circulation";"to intensify"
"225";"~";"~";"<E>";"intensifier";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"intense";"intense";"Max intensifie la culture des patates";"?"
"226";"-";"-";"<E>";"intérioriser";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"-";"+";"<E>";"intérieur";"L'acteur intériorise son jeu";"to internalize"
"227";"~";"~";"<E>";"internationaliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"international";"international";"Cet évènement a internationalisé le conflit";"?"
"228";"-";"-";"<E>";"invalider";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"-";"+";"-";"invalide";"<E>";"Le tribunal a invalidé l'élection de Max";"to invalidate"
"229";"-";"-";"<E>";"inverser";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"+";"+";"-";"inverse";"<E>";"On a inversé le courant";"to reverse"
"230";"-";"-";"<E>";"islamiser";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"~";"+";"+";"-";"-";"+";"+";"+";"islamique";"islamique";"Les Arabes ont islamisé cette région";"to Islamize"
"231";"+";"+";"<E>";"jaunir";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"+";"jaune";"-";"+";"+";"jaune";"jaune";"Le soleil jaunit le mur blanc";"to turn yellow"
"232";"-";"-";"<E>";"judaïser";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"~";"+";"+";"-";"-";"+";"+";"+";"judaïque";"judaïque";"Les juifs new-yorkais ont judaïsé les coutumes des Irlandais";"to convert to Judaism"
"233";"-";"+";"<E>";"justifier";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"~";"-";"+";"-";"-";"+";"+";"-";"juste";"<E>";"Max justifie la(confiance+colère)en lui";"to justify"
"234";"-";"-";"<E>";"laïciser";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"~";"+";"+";"-";"-";"+";"+";"+";"laïc";"laïc";"On a laïcisé l'enseignement";"to secularize"
"235";"-";"-";"<E>";"latiniser";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"~";"+";"+";"-";"-";"+";"+";"+";"latin";"latin";"La tradition a latinisé la nomenclature";"to latinize"
"236";"-";"-";"<E>";"légaliser";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"-";"légal";"<E>";"On a légalisé l'IVG";"to legalize"
"237";"-";"-";"<E>";"légitimer";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"~";"+";"+";"-";"-";"+";"+";"-";"légitime";"<E>";"Ceci légitime (mon action+mes craintes)";"to legitimate"
