"<ID>";"N0 être V-n";"N0 lieu de destination de N2";"N1 V";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N0 V N0pc W";"N1 =: N-hum";"N1 =: le fait Qu P";"N1 être V-n";"N0 V N1";"N1 être Vpp (statique)";"N2 =: Nhum";"N2 =: N-hum";"N2 être V-n, Sfx = E";"N2 =: Npl obl";"N2 être V-n, Sfx # E";"Sfx =: age";"Sfx =: ment";"Sfx =: tion";"Sfx =: ure";"Ppv =: en";"V-n instrument";"de N2 =: de combien ?";"N0 V N2 (E+de N1 source)";"N0 V N2";"à Nhum source";"N1 =: texte, N2 =: mot";"N1 =: esprit, N2 =: idée";"N0 V N1hum de N2abs";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"V-n instrument (forme V-n)";"<OPT>"
"96";"-";"-";"-";"<E>";"dépiler";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Eva a dépilé ses bras de leurs poils"
"97";"-";"-";"-";"<E>";"déplumer";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"La maladie déplume les poulets de leur duvet"
"98";"-";"-";"+";"<E>";"dépoiler";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Le frottement a dépoilé la fourrure"
"99";"-";"+";"-";"<E>";"déposséder";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"~";"-";"+";"-";"+";"<E>";"<E>";"<E>";"Max dépossède Luc de son lit"
"100";"-";"+";"-";"<E>";"dépouiller";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Ida a dépouillé Max de sa fortune"
"101";"-";"-";"-";"<E>";"dépouiller";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"+";"+";"+";"<E>";"<E>";"<E>";"Max dépouille le lapin de sa peau"
"102";"-";"-";"-";"<E>";"dépourvoir";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"-";"+";"+";"+";"<E>";"<E>";"<E>";"Ce décret a dépourvu les cadres de tout moyen d'action"
"103";"-";"-";"-";"<E>";"dépoussiérer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"+";"+";"+";"<E>";"<E>";"<E>";"Max dépoussière le disque des fibres"
"104";"-";"-";"+";"<E>";"déprécier";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"+";"-";"-";"<E>";"<E>";"<E>";"L'inflation a déprécié la monnaie de 10 pour cent"
"105";"-";"-";"-";"<E>";"dépuceler";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a dépucelé Ida de son pucelage"
"106";"-";"-";"-";"<E>";"dératiser";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a dératiser la cave de ses rats"
"107";"~";"~";"~";"<E>";"dérocher";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On a déroché le cheval des blocs qui l'encombraient"
"108";"~";"~";"~";"<E>";"désambiguer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a désambigué le texte de son interprétation légaliste"
"109";"-";"-";"-";"<E>";"désambiguïser";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"+";"-";"-";"<E>";"<E>";"<E>";"Max a désambiguïsé le texte de son interprétation légale"
"110";"~";"~";"~";"<E>";"désatomiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On a désatomisé ce pays de ses armes atomiques"
"111";"-";"-";"+";"<E>";"désemplir";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"+";"-";"<E>";"<E>";"<E>";"ce décret désemplit les cinémas d'une partie de leur public"
"112";"-";"-";"-";"<E>";"désherber";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max désherbe les allées de leur chiendent"
"113";"-";"-";"-";"<E>";"déshériter";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Max a déshérité Ida de toute sa fortune"
"114";"-";"-";"-";"<E>";"désinfecter";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"+";"+";"+";"<E>";"<E>";"<E>";"On désinfecte les chambres de tout les gênes pathogènes"
"115";"~";"~";"~";"<E>";"désinsectiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On a désinsectisé le grenier de tous les moustiques"
"116";"-";"-";"-";"<E>";"désodoriser";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"+";"-";"-";"<E>";"<E>";"<E>";"Max désodorise la pièce de ses vapeurs"
"117";"-";"-";"-";"<E>";"désosser";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"-";"+";"-";"-";"<E>";"<E>";"<E>";"Max désosse le veau de ses tibias"
"118";"~";"~";"~";"<E>";"desquamer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Cette maladie a desquamé son bras de squames affreux"
"119";"-";"-";"-";"<E>";"dessabler";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Le ruissellement a désablé les allées"
"120";"-";"-";"-";"<E>";"dessaisir";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Le juge a dessaisi la police de cette affaire"
"121";"-";"-";"-";"<E>";"desservir";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max dessert la table des couverts"
"122";"~";"~";"~";"<E>";"détacher";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max détache Luc de ses liens"
"123";"-";"-";"-";"<E>";"détartrer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max a détartré la cuve de son dépôt"
"124";"-";"-";"-";"<E>";"détaxer";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"La douane détaxe le vin de la TVA"
"125";"-";"-";"+";"<E>";"déteindre";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"~";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Le soleil a déteint les rideaux"
"126";"-";"-";"-";"<E>";"déterger";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Ce produit déterge le lin de ses tâches"
"127";"~";"~";"~";"<E>";"détourer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On a détouré le personnage central(de ce qui l'entourait+du fond de la photo)"
"128";"-";"+";"-";"<E>";"détrousser";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a détroussé Luc de son argent"
"129";"-";"+";"-";"<E>";"dévaliser";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Luc a dévalisé Max de ses bijoux"
"130";"-";"-";"-";"<E>";"dévaloriser";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Cette loi dévalorise son terrain de la moitié"
"131";"-";"-";"+";"<E>";"dévaluer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"~";"-";"+";"-";"-";"<E>";"<E>";"<E>";"(Max+cette loi) dévalue le yen de moitié"
"132";"-";"-";"-";"<E>";"dévider";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max dévide la bobine de son fil"
"133";"-";"-";"+";"<E>";"diminuer";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Max a diminué le texte de dix lignes"
"134";"-";"-";"-";"<E>";"draguer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"dragueuse";"Max a dragué la rivière de ses boues"
"135";"-";"-";"-";"<E>";"drainer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"drain";"Max a drainé la plaie de son pus"
"136";"-";"-";"-";"<E>";"ébarber";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a ébarbé la tige de ses barbes"
"137";"-";"-";"-";"<E>";"ébouer";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"On éboue les rues des ordures"
"138";"~";"~";"~";"<E>";"ébourgeonner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a ébourgeonné l'arbre fruitier"
"139";"-";"-";"-";"<E>";"ébrancher";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Le jardinier a ébranché les ifs de leurs gourmands"
"140";"-";"-";"-";"<E>";"écailler";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a écaillé le poisson de ses écailles"
"141";"-";"-";"-";"<E>";"écaler";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a écalé les(noix+oeufs)de leur peau"
"142";"-";"-";"-";"<E>";"écheniller";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max échenille l'arbre"
"143";"-";"-";"-";"<E>";"écimer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"On a écimé l'arbre des branches qui cachaient la vue"
"144";"-";"-";"+";"<E>";"éclaircir";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max a éclairci les radis du tiers des pousses"
"145";"-";"-";"-";"<E>";"écoper";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"écope";"Max a écopé le doris de toute l'eau"
"146";"-";"-";"-";"<E>";"écorcer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a écorcé l'orange de son zeste"
"147";"-";"-";"-";"<E>";"écorcher";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a écorché le lapin de sa fourrure"
"148";"-";"-";"-";"<E>";"écorner";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"-";"+";"-";"-";"<E>";"<E>";"<E>";"Max a écorné son salaire d'une grosse somme"
"149";"-";"-";"-";"<E>";"écrémer";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"+";"+";"-";"<E>";"<E>";"<E>";"On écrème le lait de ses lipides"
"150";"-";"-";"-";"<E>";"écrêter";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"L'érosion a écrêté la montagne"
"151";"~";"~";"~";"<E>";"écroûter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a écroûté le pain de sa croûte"
"152";"-";"-";"-";"<E>";"écumer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max a écumé le bouillon de toute l'écume"
"153";"-";"-";"-";"<E>";"édenter";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Le choc a édenté Max de quelques incisives"
"154";"-";"-";"-";"<E>";"effacer";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a effacé le tableau de toutes les inscriptions"
"155";"-";"-";"-";"<E>";"effeuiller";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max effeuille le chrysanthème de ses pétales"
"156";"-";"-";"+";"<E>";"égoutter";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max égoutte la salade du surplus d'eau"
"157";"-";"-";"-";"<E>";"égrapper";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"grappe";"<E>";"Cette machine égrappe les grappes de raisin de la rafle"
"158";"-";"-";"-";"<E>";"égrener";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Cette machine égrène les épis de mais(E+de tous les grains)"
"159";"-";"-";"-";"<E>";"élaguer";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max a élagué l'if de ses branches mortes"
"160";"-";"-";"-";"<E>";"émarger";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"On émarge le texte d'une grande partie des marges"
"161";"-";"-";"-";"<E>";"émasculer";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"+";"-";"+";"<E>";"?";"<E>";"Le bourreau a émasculé Max de ses attributs virils"
"162";"-";"-";"-";"<E>";"émonder";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max émonde le chêne de ses branches inutiles"
"163";"~";"~";"~";"<E>";"émorfiler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max émorfile la lame de son morfil"
"164";"-";"-";"-";"<E>";"émousser";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Paul a émoussé les tuiles"
"165";"-";"-";"-";"<E>";"émousser";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"+";"+";"+";"<E>";"<E>";"<E>";"Le papier émousse les ciseaux de leur tranchant"
"166";"-";"+";"-";"<E>";"empapaouter";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max a empapaouté Luc de 100 f"
"167";"-";"+";"-";"<E>";"empaumer";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Luc a empaumé Ida de 10 francs"
"168";"-";"+";"-";"<E>";"empiler";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a empilé Luc de dix francs"
"169";"-";"+";"-";"<E>";"enculer";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Le vendeur a enculé Max de 100 f."
"170";"-";"+";"-";"<E>";"enfler";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a enflé Ida de 100 f."
"171";"-";"-";"-";"<E>";"entamer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"-";"-";"+";"+";"<E>";"<E>";"<E>";"Max a entamé sa fortune de quelques millions"
"172";"-";"+";"-";"<E>";"entôler";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Paulo a entôler Max d'une brique"
"173";"-";"+";"-";"<E>";"entuber";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max a entubé Ida de 100 f"
"174";"-";"-";"-";"<E>";"épépiner";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Cette machine épépine les grains de muscat"
"175";"~";"~";"~";"<E>";"épierrer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a épierré le champ de tous les cailloux"
"176";"-";"-";"-";"<E>";"épiler";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Ida s' épile les bras de poils superflus"
"177";"-";"-";"-";"<E>";"éplucher";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"~";"-";"+";"-";"-";"<E>";"<E>";"<E>";"Max épluche les citrons de leur zeste"
"178";"-";"-";"-";"<E>";"épointer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Un long usage avait épointé son canif"
"179";"-";"+";"-";"<E>";"éponger";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"~";"-";"+";"-";"-";"<E>";"<E>";"éponge";"Max éponge la table du vin renversé"
"180";"-";"-";"-";"<E>";"épouiller";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max épouille la tête de Luc des lentes"
"181";"-";"-";"-";"<E>";"épousseter";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"~";"-";"+";"+";"-";"<E>";"<E>";"époussette";"Max époussette la table de poussières séculaires"
"182";"-";"-";"-";"<E>";"épucer";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max épuce Médor(E+de toutes ses bestioles)"
"183";"-";"-";"-";"<E>";"épuiser";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"On a épuisé la mine de tout son charbon"
"184";"~";"~";"~";"<E>";"épurer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On a épuré le parti des brebis galeuses"
"185";"-";"-";"-";"<E>";"équeuter";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Wanda équeute les cerises"
"186";"~";"~";"~";"<E>";"érafler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On érafle les grappes de la treille"
"187";"-";"-";"-";"<E>";"éroder";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"+";"-";"-";"<E>";"<E>";"<E>";"Le vent a érodé le pic de tout son calcaire"
"188";"+";"+";"-";"<E>";"escroquer";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"+";"-";"-";"-";"escroc";"<E>";"<E>";"Max a escroqué Ida d'une forte somme"
"189";"-";"+";"+";"<E>";"essorer";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"-";"+";"+";"<E>";"<E>";"<E>";"(Max+ce rouleau) essore le linge de l'eau qui l'imbibe"
"190";"~";"~";"~";"<E>";"essoucher";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a essouché son terrain de vieilles souches"
"191";"-";"-";"-";"<E>";"essuyer";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max essuie les verres des gouttes d'eau restantes"
"192";"-";"+";"-";"<E>";"estamper";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max a estampé Luc d'une forte somme"
