"<ID>";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"dé-V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Npc obl";"N0 V N1";"Prép2 =: avec";"Prép2 =: dans";"Prép2 =: en";"N2 =: Nhum";"N2 =: N-hum";"N2 =: trou";"N2 =: couche";"N2 =: coup";"N2 apparition";"N2 =: Npl obl";"N2 être V-n, Sfx = E";"N2 être V-n, Sfx # E";"Sfx =: age";"Sfx =: ment";"Sfx =: tion";"Sfx =: ure";"V-n instrument";"N1 =: texte, N2 =: mot";"N1 =: esprit, N2 =: idée";"N0 V N1hum de N2abs";"N0 V N2 (E+Loc N1 destination)";"N0 mettre V-n Loc N1";"N0 faire V-n Prép N1";"N0 donner V-n à N1";"N0 donner à N1 (une apparence Vpp+l'apparence de V-n)";"N0 lancer V-n Loc N1";"V-n instrument (forme V-n)";"<OPT>"
"91";"-";"-";"<E>";"muscler";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"Un entraînement adéquat a musclé Max de biceps impressionnants"
"92";"+";"+";"<E>";"onduler";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Le bain lui ondule les cheveux de gracieuses frisettes"
"93";"~";"~";"<E>";"orniérer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"+";"-";"-";"-";"<E>";"Les camions ornièrent la route de profondes ornières"
"94";"+";"+";"<E>";"ourler";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max a ourlé la robe de soie bleu"
"95";"+";"+";"<E>";"patiner";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"<E>";"Le temps avait patiné le noyer d'un éclat discret"
"96";"-";"+";"<E>";"percer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max a percé la planche de trous"
"97";"-";"+";"<E>";"perforer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max a perforé le billet d'un trou"
"98";"-";"-";"<E>";"pincer";"+";"-";"+";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"<E>";"Ida a pincé son corsage"
"99";"+";"+";"<E>";"plisser";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Ida a plissé la jupe de petits plis"
"100";"+";"+";"<E>";"pocher";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Son pantalon poche aux genoux"
"101";"-";"+";"<E>";"poinçonner";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"poinçon";"Max a poinçonné le bijou d'un poinçon"
"102";"~";"~";"<E>";"poinçonner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~";"-";"+";"-";"-";"-";"<E>";"Max a poinçonné le billet d'un trou carré"
"103";"-";"+";"<E>";"poquer";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Réal a poqué son char"
"104";"-";"+";"<E>";"rainurer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a rainuré la plaque de fines stries"
"105";"+";"+";"<E>";"raviner";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"La pluie a raviné le sol"
"106";"~";"~";"<E>";"rayer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"-";"-";"+";"-";"~";"~";"~";"~";"-";"+";"-";"-";"-";"<E>";"Max a fait une rayure sur le disque"
"107";"-";"+";"<E>";"rebondir";"+";"-";"-";"~";"+";"+";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Les exercices ont rebondi ses fesses de rondeurs agréables"
"108";"+";"+";"<E>";"renfler";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"L'abcès a renflé sa joue d'une bosse inquiétante"
"109";"-";"-";"<E>";"repousser";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"On repousse le(cuir+cuivre)de motifs décoratifs"
"110";"+";"+";"<E>";"rider";"+";"-";"+";"~";"+";"+";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Les soucis avaient ridé son front"
"111";"~";"~";"<E>";"riduler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"+";"-";"-";"-";"<E>";"Les années ont ridulé son front de ridules"
"112";"-";"+";"<E>";"saper";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"L'ennemi a sapé les murailles de trous stratégiques"
"113";"-";"-";"<E>";"scarifier";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a scarifié le bras de Luc d'une longue estafilade"
"114";"-";"+";"<E>";"sculpter";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max a sculpté la planche d'un bas-relief"
"115";"-";"+";"<E>";"sillonner";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"La pluie a sillonné le terrain de crevasses"
"116";"-";"+";"<E>";"taillader";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"La lame a tailladé le bras de Luc(d'entailles+de taillades)"
"117";"-";"-";"<E>";"tarauder";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"taraud";"Max a taraudé la planche de trous réguliers"
"118";"-";"+";"<E>";"trouer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max a troué le mur d'une ouverture ronde"
"119";"-";"+";"<E>";"tuméfier";"+";"-";"+";"~";"+";"+";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Les guêpes ont tuméfié le visage de Max"
"120";"+";"+";"<E>";"vallonner";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"L'érosion a vallonné le pays de collines"
"121";"-";"+";"<E>";"véroler";"+";"-";"-";"~";"+";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"La maladie a vérolé son visage de marques"
"122";"-";"+";"<E>";"vriller";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"vrille";"Max a vrillé la planche de deux trous"

