"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 =: V-inf W";"N0 être V-n";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: le figé";"Ppv =: y figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"Prép1";"thèmeN1";"N0 V";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"N1 =: Nhum";"N0 lui V Prép N1pc";"N0 V Prép N0pc";"N1 =: N-hum";"N1 =: Qu Pind";"N1 =: Qu Psubj";"N1 =: V0-inf W";"N1 =: le fait Qu P";"Ppv =: y";"Ppv =: en";"N0 (E+Ppv) V (Prép+Prép-adv)";"N1 être V-n";"N1 =: Npl obl";"N0 V de N0pc W";"N0hum V W sur ce point";"N0 être V-ant Prép N1";"[extrap]";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>"
"86";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"compter";"-";"+";"-";"sans";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a compté sans la pluie"
"87";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"compter";"-";"+";"-";"jusqu'à";"Dnum";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max compte de un à cent"
"88";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"concentrer";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max concentre son esprit sur ce problème"
"89";"+";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"-";"conclure";"-";"+";"-";"en faveur de ";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Ces preuves concluent en faveur de Jo"
"90";"+";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"concourir";"-";"+";"-";"pour";"place";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max concourt pour la première place"
"91";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"conduire Advm";"-";"-";"+";"avec";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se conduit bien avec les gens"
"92";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"confondre";"-";"-";"+";"en";"excuses";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"<E>";"<E>";"Max se confond en(excuses+regrets)"
"93";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"connaître";"-";"-";"+";"en";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se connaît en femmes"
"94";"+";"-";"-";"-";"-";"s'y";"+";"-";"-";"-";"-";"connaître";"-";"-";"+";"en";"qqch";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max s'y connaît en maths"
"95";"-";"+";"-";"+";"-";"<E>";"-";"-";"-";"-";"-";"consister";"-";"+";"-";"en ";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Son rôle consiste en ce qu'il surveille les sorties"
"96";"-";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"-";"consister";"-";"+";"-";"en";"qqch";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Sa fortune consiste en dix maisons"
"97";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"coquelucher";"-";"-";"+";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'est coqueluché d'Ida"
"98";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"couchailler";"-";"+";"-";"avec";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max couchaille avec des filles"
"99";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"coucher";"-";"+";"-";"avec";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Jo couche avec Ida"
"100";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"couper";"-";"+";"-";"dans";"mensonge";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max a coupé dans les mensonges d'Ida"
"101";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"courailler";"-";"+";"-";"après";"<E>";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Ida couraille après les garçons"
"102";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"courir";"-";"+";"-";"après";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max court après(l'argent+les honneurs)"
"103";"+";"-";"-";"-";"-";"ne";"-";"-";"-";"-";"+";"courir";"+";"+";"-";"après";"argent";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max ne court pas après le chocolat"
"104";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"cracher";"-";"+";"-";"sur";"loi";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max crache sur la littérature"
"105";"+";"-";"-";"-";"-";"ne";"-";"-";"-";"-";"+";"cracher";"+";"+";"-";"dans";"<E>";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max ne crache pas sur le vin"
"106";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"craindre";"-";"+";"-";"pour";"vie";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max craint pour(Ida+sa vie)"
"107";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"crâner";"-";"+";"-";"devant";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max crâne devant les insultes"
"108";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"craquer";"-";"+";"-";"pour";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul a craqué pour cette(fille+voiture)"
"109";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"croire";"-";"+";"-";"en";"<E>";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Max croit en Luc"
"110";"+";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"crouler";"-";"+";"-";"de";"fruits";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"<E>";"<E>";"L'arbre croule de fruits"
"111";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"crouler";"-";"+";"-";"sous";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"L'arbre croule sous les fruits"
"112";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"croûter";"-";"+";"-";"de";"nourriture";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max a croûté d'un poulet"
"113";"-";"+";"-";"+";"+";"<E>";"-";"-";"-";"-";"-";"dater";"-";"+";"-";"dans";"histoire";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"date";"<E>";"Cet accord datera dans les annales"
"114";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"dauber";"-";"+";"-";"sur";"sujet";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max daube sur les absences de Luc"
"115";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"débarrasser";"-";"-";"+";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'est débarrassé d'un témoin gênant"
"116";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"débattre";"-";"-";"+";"contre";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se débat contre la maladie"
"117";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"déblatérer";"-";"+";"-";"contre";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max déblatère (contre+sur)Luc"
"118";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"déboutonner";"-";"-";"+";"devant";"<E>";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max s'est déboutonné devant Luc"
"119";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"débrouiller";"-";"-";"+";"avec";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se débrouille avec sa conscience"
"120";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"déchoir";"-";"+";"-";"dans";"estime";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max a déchu dans mon estime"
"121";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"décider";"-";"-";"+";"pour";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se décide pour(cette solution+ce pantalon)"
"122";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"décrocher";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a décroché du syndicat"
"123";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"déculotter";"-";"-";"+";"devant";"<E>";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max s'est déculotté devant le patron"
"124";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"défaire";"-";"-";"+";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se défait de sa voiture"
"125";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"déjeuner";"-";"+";"-";"de";"nourriture";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"<E>";"déjeuner";"Max déjeune d'une truite"
"126";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"déjuger";"-";"-";"+";"de";"opinion";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max se déjuge de sa promesse"
"127";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"délirer";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ida délire sur ce film"
"128";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"demander";"-";"+";"-";"après";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max a demandé après Luc"
"129";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"démériter";"-";"+";"-";"de";"nation";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Ce champion n'a pas démérité du sport"
"130";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"démériter";"-";"+";"-";"auprès de";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max a démérité auprès de Luc"
"131";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"démissionner";"-";"+";"-";"de";"emploi";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max a démissionné de son poste"
"132";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"démissionner";"-";"+";"-";"devant";"problème";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max démissionne devant les problèmes"
"133";"-";"+";"-";"+";"+";"se";"+";"-";"-";"-";"-";"dénouer";"-";"-";"+";"par";"succès";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"noeud";"<E>";"L'ouvrage se dénoue par une fin heureuse"
"134";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"déparer";"-";"+";"-";"par";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ce truc dépare dans le tableau"
"135";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"départir";"-";"-";"+";"de";"calme";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Max s'est départi de son sérieux"
"136";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"dépatouiller";"-";"-";"+";"de";"<E>";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max s'est dépatouillé de cette affaire"
"137";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"dépendre";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ces terres dépendent de la propriété"
"138";"-";"+";"-";"-";"+";"<E>";"-";"-";"-";"-";"-";"dépendre";"-";"+";"-";"de";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"Ida dépend financièrement de Max"
"139";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"déposer";"-";"+";"-";"contre+pour";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a déposé (contre+pour)Luc"
"140";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"déprendre";"-";"-";"+";"de";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max s'est dépris de(sa femme+ses obligations)"
"141";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"descendre";"-";"-";"+";"de";"singe";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"L'homme descend (du singe+d'Henri IV)"
"142";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"désister";"-";"-";"+";"pour";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max se désiste pour Luc"
"143";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"désister";"-";"-";"+";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le plaignant s'est désisté de sa plainte"
"144";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"dessaisir";"-";"-";"+";"de";"qqch";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max s'est dessaisi de son auto"
"145";"+";"+";"-";"-";"-";"se";"+";"-";"-";"-";"-";"détacher";"-";"-";"+";"de";"<E>";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max se détache du peloton"
"146";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"dévier";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul dévie de ses principes"
"147";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"dîner";"-";"+";"-";"de";"nourriture";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"<E>";"dîner";"Max a dîné d'un poulet"
"148";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"diriger";"-";"-";"+";"à+sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul se dirige (au soleil+sur l'étoile polaire)"
"149";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"disposer";"-";"+";"-";"de";"moyens";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Jo dispose de gros moyen"
"150";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"disposer";"-";"+";"-";"de";"sort";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max dispose de l'avenir de Luc"
"151";"+";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"-";"dominer";"-";"+";"-";"sur";"<E>";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Le goût du rhum domine sur celui de la vanille"
"152";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"donner";"-";"+";"-";"dans";"occultisme";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max donne dans l'occultisme"
"153";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"donner";"-";"-";"+";"pour";"médecin";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max se donne pour(médecin+le médecin du roi)"
"154";"+";"+";"+";"+";"-";"se";"+";"-";"-";"-";"-";"doubler";"-";"-";"+";"de";"<E>";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Son érudition se double de sagesse"
"155";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"douter";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max doute de l'authenticité de ce texte"
"156";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"dresser";"-";"-";"+";"devant";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Des difficultés se dressent devant Paul"
"157";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"dresser";"-";"-";"+";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se dresse sur ses jambes"
"158";"-";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"éclater";"-";"+";"-";"en";"morceaux";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"<E>";"<E>";"La grenade éclate en mille morceaux"
"159";"+";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"écoper";"-";"+";"-";"de";"condamnation";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a écopé d'une peine légère"
"160";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"écraser";"-";"-";"+";"devant";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max s' écrase devant son chef"
"161";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"effacer";"-";"-";"+";"devant";"<E>";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max s' efface devant Luc"
"162";"~";"~";"~";"~";"~";"s'";"+";"-";"-";"-";"-";"élever";"-";"-";"+";"contre";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s' élève contre les abus"
"163";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"emballer";"-";"-";"+";"contre";"<E>";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Paul s'est emballé contre Ida"
"164";"+";"-";"-";"-";"-";"ne s'";"+";"-";"-";"-";"+";"embarrasser";"+";"-";"+";"de";"détails";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Jo ne s' embarrasse pas de politesse"
"165";"+";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"embrayer";"-";"+";"-";"sur";"sujet";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max embraye sur la sémantique"
"166";"~";"~";"~";"~";"~";"s'";"+";"-";"-";"-";"-";"emmêler";"-";"-";"+";"Loc";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s' emmêle (E+les pieds) dans les cordes"
"167";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"emparer";"-";"-";"+";"de";"biens";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"César s'est emparé de la ville"
"168";"-";"+";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"emparer";"-";"-";"+";"de";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La colère s' empare de Max"
"169";"~";"~";"~";"~";"~";"s'";"+";"-";"-";"-";"-";"emparer";"-";"-";"+";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La police s' empare du fuyard"
"170";"~";"~";"~";"~";"~";"s'";"+";"-";"-";"-";"-";"emparer";"-";"-";"+";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'est emparé de la bouteille"
"171";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"empêtrer";"-";"-";"+";"de";"gêneur";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max s'est empêtré d'une femme acariâtre"
"172";"+";"+";"+";"+";"-";"l'";"-";"-";"+";"-";"-";"emporter";"-";"+";"-";"sur";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max l'a emporté (E+sur Luc)"
"173";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"emporter";"-";"-";"+";"contre";"<E>";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max s' emporte contre les abus"
