"<ID>";"N0 =: N-hum";"N0 être V-n";"N2 bénéficiaire";"N2 détrimentaire";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N0 V N0pc W";"N1 =: N-hum";"N1 être V-n";"N1 =: Dnum Nmonnaie";"N1 =: coup";"Prép2 =: à";"N0 V N1 de N2 source";"Ppv =: en";"N2 =: N-hum";"Prép N2-hum = Ppv =: lui";"Ppv =: y";"N2 être V-n";"N2 =: Npl obl";"N1 être Vpp (statique)";"N1 =: Nabs";"N0 V N1 à N2 Dnum Nmonnaie";"N0 V N2 (E+de N1)";"N0 V N1 Loc N-hum";"N0 V N1 à N2 pour Dnum Nmonnaie";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>";"<ENGLISH>"
"168";"-";"-";"+";"-";"<E>";"offrir";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"offre";"<E>";"Max a offert une montre à Ida";"to give"
"169";"~";"~";"~";"~";"<E>";"offrir";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max offre de l'aspirine à Luc";"to give"
"170";"-";"-";"+";"-";"<E>";"ordonner";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a ordonné de l'aspirine à Luc";"to prescribe"
"172";"-";"-";"+";"-";"<E>";"ouvrir";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a ouvert son école aux étrangers";"to open"
"176";"-";"-";"+";"-";"<E>";"payer";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max a payé une voiture à sa femme";"to buy"
"177";"-";"-";"+";"-";"<E>";"payer";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"Max paye ses impôts à l'Etat";"to pay"
"182";"-";"+";"+";"-";"<E>";"placer";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"placier";"<E>";"<E>";"Max a placé une assurance à Léa";"to place"
"183";"-";"-";"+";"-";"<E>";"plaindre";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a plaint la boisson à ses invités";"to begrudge"
"184";"-";"-";"+";"-";"<E>";"pleurer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max pleure la boisson à ses invités";"to begrudge"
"185";"+";"-";"-";"+";"<E>";"prendre";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"<E>";"prise";"<E>";"Max a pris un stylo à Luc";"to take"
"186";"+";"-";"+";"-";"<E>";"préparer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max prépare une surprise à Luc";"to prepare"
"188";"-";"-";"+";"-";"<E>";"présenter";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a présenté l'orateur au public";"to introduce"
"189";"-";"-";"+";"-";"<E>";"présenter";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a présenté ses papiers à la police";"to present"
"190";"+";"-";"+";"-";"<E>";"prêter";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"prêt";"<E>";"Max a prêté (100 francs+sa voiture)à Luc";"to lend"
"191";"+";"-";"+";"-";"<E>";"procurer";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Max a procuré un lit à Luc";"to find"
"192";"+";"+";"+";"-";"<E>";"prodiguer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"?";"<E>";"<E>";"Max prodigue ses conseils à Luc";"to pour out"
"193";"-";"-";"+";"-";"<E>";"produire";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a produit des papiers à la police";"to produce"
"194";"-";"-";"+";"-";"<E>";"promettre";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a promis sa fille à Luc";"to promise to marry"
"195";"~";"~";"~";"~";"<E>";"promettre";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a promis un cadeau à Léa";"?"
"196";"-";"-";"+";"-";"<E>";"proposer";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Max propose sa marchandise aux passants";"to offer"
"197";"-";"-";"+";"-";"<E>";"prostituer";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"<E>";"prostitué";"<E>";"Max a prostitué Ida à un barbon";"to prostitute"
"205";"-";"-";"+";"-";"<E>";"raquer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"<E>";"<E>";"<E>";"Max a raqué le montant des travaux à Bob";"to cough up"
"210";"-";"-";"+";"-";"<E>";"recéder";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Max a recédé à Bob son vieux char";"?"
"215";"-";"-";"+";"-";"<E>";"redevoir";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max redoit du fric à Luc(E+sur sa voiture)";"to still owe"
"216";"-";"-";"+";"-";"<E>";"redistribuer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"On redistribue les bénéfices(aux+entre les)actionnaires";"to redistribute"
"217";"+";"-";"+";"-";"<E>";"redonner";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Ce succès redonne de l'espoir à Max";"to restore"
"218";"+";"-";"+";"-";"<E>";"refiler";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Ida a refilé (du blé à Bob+sa grippe)";"to palm off"
"220";"-";"-";"+";"-";"<E>";"régler";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"<E>";"règlement";"<E>";"Max a réglé l'addition au serveur";"to settle"
"221";"-";"-";"+";"-";"<E>";"rembourser";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"<E>";"Max a remboursé sa dette à Luc";"to pay back"
"222";"+";"-";"+";"-";"<E>";"remettre";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a remis de l'argent à Luc";"to hand over"
"223";"-";"-";"-";"+";"<E>";"remettre";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"remise";"<E>";"On a remis sa peine à Luc";"to remit"
"224";"+";"-";"+";"-";"<E>";"rendre";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a rendu le stylo à Guy";"to give back"
"225";"-";"-";"-";"+";"<E>";"rendre bien";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Paul rend bien à Léa son inimitié";"?"
"228";"~";"~";"~";"~";"<E>";"reprendre";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a repris le livre à Paul";"to take back"
"229";"-";"-";"-";"+";"<E>";"reprendre";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max a repris sa voiture à Luc 10.000 francs";"to buy"
"233";"+";"-";"+";"-";"<E>";"restituer";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"On a restitué sa voiture à Luc";"to return"
"237";"-";"-";"+";"-";"<E>";"rétrocéder";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max a rétrocédé ce droit à Luc";"to retrocede"
"239";"-";"-";"+";"-";"<E>";"revendre";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max a revendu à Luc la télé gagnée au jeu";"to sell"
"240";"-";"-";"+";"-";"<E>";"reverser";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max reverse la taxe à l'état";"to put back"
"241";"-";"-";"+";"-";"<E>";"revirer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a reviré la taxe à l'état";"to put back"
"242";"-";"-";"+";"-";"<E>";"ristourner";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"<E>";"ristourne";"<E>";"Max a ristourné cette somme à Luc";"to refund"
"246";"-";"-";"+";"-";"<E>";"servir";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max a servi de la choucroute à Luc";"to serve"
"247";"-";"-";"+";"-";"<E>";"solder";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"<E>";"solde";"<E>";"Max a soldé ce pull à Ida(E+pour 100 F.)";"to knock down"
"250";"-";"-";"+";"-";"<E>";"soumettre";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Sa cruauté a soumis la population au tyran";"to subject"
"251";"-";"-";"+";"-";"<E>";"soumissionner";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"<E>";"soumission";"<E>";"Cet entrepreneur a soumissionné ce projet à l' Etat";"to bid for"
"252";"-";"-";"+";"-";"<E>";"sous-louer";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"<E>";"sous-location";"<E>";"Les gens de passage sous-louent ce studio à Luc";"to sublet"
"253";"-";"-";"-";"+";"<E>";"sous-louer";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"<E>";"sous-location";"<E>";"Luc sous-loue son studio aux gens de passage";"to sublet"
"254";"-";"-";"+";"-";"<E>";"sous-traiter";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max sous-traite ce travail à Zoé";"to subcontract"
"255";"-";"-";"+";"-";"<E>";"subordonner";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"subordonné";"<E>";"On a subordonné un aide à Max";"to subordinate"
"262";"-";"-";"+";"-";"<E>";"tarifer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max a tarifé ce vase à Léa cent francs";"to rate for"
"266";"-";"-";"+";"-";"<E>";"tolérer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max tolère quelques retards à Luc";"to allow"
"269";"+";"-";"+";"-";"<E>";"transmettre";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a transmis ses biens à Luc";"to pass on"
"271";"-";"-";"+";"-";"<E>";"vendre";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max a vendu sa voiture à Luc";"to sell"
"272";"~";"~";"~";"~";"<E>";"vendre";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a vendu ses complices aux flics";"to hand over"
"275";"+";"-";"+";"-";"<E>";"vouer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max voue du respect à Léa";"to devote"

