"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 =: V-inf W";"N0 être V-n";"N0 =: Npl obl";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"trajet";"de combien ?";"N0 V N1";"Loc N1 =: dans N1";"Loc N1 =: sur N1";"Loc N1 =: contre N1";"Loc N1 =: à N1";"Loc N1 =: vers N1";"autre Loc1";"Loc N1 = Ppv =: y";"N0 lui V Loc N1pc";"N0 V Prép N0pc";"N1 =: le fait Qu P";"N1 être V-n";"N0 être V-ant Prép N1";"[extrap]";"N0 =: idée, N1 =: esprit";"N0 =: Nhum, N1 =: Nabs";"il V Qu P W";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>"
"91";"-";"+";"-";"-";"-";"-";"<E>";"-";"-";"pianoter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"La pluie pianote sur le toit"
"92";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"piétiner";"-";"+";"-";"~";"~";"~";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"La colonne piétine dans la boue"
"93";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"piéter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La perdrix piète vers la forêt"
"94";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"plaider";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"(L'avocat+Max)a plaidé dans ce procès"
"95";"+";"+";"-";"-";"-";"-";"se";"+";"-";"plaire";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~";"-";"+";"+";"~";"+";"-";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se plaît dans son nouvel appartement"
"96";"-";"+";"-";"-";"-";"-";"<E>";"-";"-";"planer";"-";"+";"-";"+";"-";"-";"-";"-";"~";"~";"-";"-";"+";"~";"-";"-";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max plane au-dessus des contingences"
"97";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"planer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Une atmosphère de tristesse plane sur cette affaire"
"98";"+";"-";"-";"-";"-";"-";"se";"+";"-";"planter";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max s'est planté devant(Ida+le tableau)"
"99";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"poireauter";"-";"+";"-";"+";"-";"-";"-";"-";"~";"~";"-";"+";"+";"~";"+";"-";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max poireaute au coin de la rue"
"100";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"pousser";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"~";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max pousse sur le bouton"
"101";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"pousser";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~";"-";"-";"+";"+";"-";"-";"~";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La terre pousse contre le mur"
"102";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"presser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max presse sur le bouton"
"103";"-";"+";"-";"-";"-";"+";"se";"+";"-";"promener";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~";"-";"+";"+";"~";"-";"-";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les papiers de Max se promènent dans le parc"
"104";"-";"+";"-";"-";"-";"-";"se";"+";"-";"propager";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~";"-";"+";"+";"~";"-";"+";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le son se propage dans le vide"
"105";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"prospecter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"+";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max prospecte dans le quartier"
"106";"+";"-";"-";"-";"-";"-";"se";"+";"-";"raccrocher";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"Max s'est raccroché à la branche"
"107";"+";"-";"-";"-";"-";"-";"se";"+";"-";"rattraper";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"Max s'est rattrapé (à la rambarde+aux branches)"
"108";"~";"~";"~";"~";"~";"~";"se";"+";"-";"réceptionner";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"L'athlète s'est réceptionné sur les coudes"
"109";"+";"-";"-";"-";"-";"-";"se";"+";"-";"recevoir";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le parachutiste s'est reçu sur du sable"
"110";"+";"-";"-";"-";"-";"-";"se";"+";"-";"reconnaître";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"Max s'est reconnu dans la ville"
"111";"+";"-";"-";"-";"-";"-";"se";"+";"-";"recruter";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~";"-";"+";"-";"-";"-";"-";"parmi+chez";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les délinquants se recrutent (parmi+chez)les riches"
"112";"+";"-";"-";"-";"-";"-";"se";"+";"-";"récupérer";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~";"-";"+";"+";"~";"+";"-";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'est récupéré dans un poste de province"
"113";"~";"~";"~";"~";"~";"~";"se";"+";"-";"réfléchir";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le château se réfléchit dans le lac"
"114";"~";"~";"~";"~";"~";"~";"se";"+";"-";"refléter";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le château se reflète dans le lac"
"115";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"régner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Une grande confusion règne dans ce pays"
"116";"+";"-";"-";"-";"-";"-";"se";"+";"-";"ressourcer";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"chez";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"<E>";"source";"Max s'est ressourcé chez les Anciens"
"117";"+";"-";"-";"-";"-";"-";"se";"+";"-";"retenir";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"~";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"Max s'est retenu (aux broussailles+à cet espoir)"
"118";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"retentir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette douleur retentit dans les jambes"
"119";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"revenir";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les oignons reviennent (sur le feu+dans le beurre)"
"120";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"revivre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"L'atmosphère de l'époque revit dans ce roman"
"121";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"robinsonner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Daniel robinsonne sur une île déserte"
"122";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"rôder";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"autour de";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max rôde autour de(E+la maison de)Léa"
"123";"~";"~";"~";"~";"~";"~";"se";"+";"-";"rouler";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se roule dans l'herbe"
"124";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"saboter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les danseurs sabotent sur la piste"
"125";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"sauter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max saute sur(place+son lit)"
"126";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"sautiller";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max sautille jusqu'au fauteuil prendre ses béquilles"
"127";"+";"-";"-";"-";"-";"-";"se";"+";"-";"servir";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"chez";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max se sert chez les bons commerçants"
"128";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"servir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a servi dans la marine"
"129";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"sévir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Une épidémie de grippe sévit dans la région"
"130";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"shooter";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a shooté dans(le ballon+la porte)"
"131";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"sonner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a sonné à la porte de devant"
"132";"+";"-";"-";"-";"-";"-";"se";"+";"-";"soulager";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max s'est soulagé sur la moquette"
"133";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"sourdre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le mécontentement sourd dans la population"
"134";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"subsister";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Une seule maison subsiste dans ce village"
"135";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"tailler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le chirurgien a taillé dans la chair"
"136";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"taper";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max tape dans tous les plats"
"137";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"tâtonner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max tâtonne dans le noir"
"138";"-";"+";"-";"-";"-";"-";"<E>";"-";"-";"tenir";"-";"+";"-";"-";"+";"-";"-";"-";"~";"~";"-";"-";"-";"~";"+";"-";"~";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La colle tient aux doigts"
"139";"-";"+";"-";"-";"-";"-";"se";"+";"-";"tenir";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~";"-";"+";"-";"~";"+";"-";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se tient à la rampe"
"140";"+";"-";"-";"-";"-";"-";"se";"+";"-";"tenir";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~";"-";"+";"+";"~";"-";"-";"~";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Une réunion se tient dans le bureau"
"141";"+";"-";"-";"-";"-";"-";"ne";"-";"+";"tenir";"+";"+";"-";"+";"-";"-";"-";"-";"~";"~";"-";"-";"-";"~";"+";"-";"~";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max ne tient pas (au+en plein)soleil"
"142";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"tirer Ntemps";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a tiré deux ans à la Santé"
"143";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"toquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Carmen a toqué à l'huis"
"144";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"tournailler";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max tournaille dans la cour"
"145";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"tourner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette troupe de théâtre tourne en Europe"
"146";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"tourner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les danseurs tournent sur la piste"
"147";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"tournicoter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max tournicote dans sa chambre"
"148";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"tourniquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max tournique dans sa chambre"
"149";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"tournoyer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max tournoie vers la sortie"
"150";"-";"+";"-";"-";"-";"-";"<E>";"-";"-";"transparaître";"-";"+";"+";"+";"-";"-";"-";"-";"~";"~";"-";"-";"+";"-";"-";"-";"~";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le corps d'Ida transparaît derrière le rideau"
"151";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"travailler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max travaille à la RATP"
"152";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"trébucher";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"~";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max a trébuché sur une pierre"
"153";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"trifouiller";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"~";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Léa trifouille dans son sac"
"154";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"tripatouiller";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"~";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max a tripatouillé dans les fils électriques"
"155";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"tripoter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"~";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max tripote dans(mes affaires+le tiroir)"
"156";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"triturer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"~";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max a trituré dans mes(affaires+papiers)"
"157";"~";"~";"~";"~";"~";"~";"se";"+";"-";"trouver  Advm";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se trouve bien à Paris"
"158";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"vadrouiller";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max vadrouille sur les champs"
"159";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"vagabonder";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max vagabonde dans le pays"
"160";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"vaguer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max vague sur la lande"
"161";"~";"~";"~";"~";"~";"~";"se";"+";"-";"vautrer";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se vautre sur le canapé"
"162";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"végéter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ida végète dans(la pub+sa médiocrité)"
"163";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"vieillir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a vieilli dans ce métier"
"164";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"viser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a visé à la tête"
"165";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"vivre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a vécu dans(la peur+le luxe)"
"166";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"voltiger";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ces feuilles voltigent dans le tourbillon"
"167";"-";"+";"-";"-";"-";"-";"<E>";"-";"-";"vriller";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"L'avion a vrillé vers le sol"
"168";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"zoner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max zone en banlieue"
"169";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"zoomer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"~";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";" Zoome sur (la vedette+coco)"

