"<ID>";"N0 lieu source de N1";"N0 lieu de destination de N1";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N0 dé-V N1 Loc N3 nv-dest";"N0 V N0pc W";"N0 V N1 sur N1pc";"N1 être V-n";"N1 =: coup";"N1 =: trou";"N0 V N2 (E+de N1)";"Loc N2 =: dans N2 destination";"Loc N2 =: sur N2 destination";"Loc N2 =: contre N2 destination";"Loc N2 =: à N2 destination";"Loc N2 =: autour de N2 destination";"Loc N2 =: vers N2 destination";"Ppv =: y";"N2 être V-n";"de combien ?";"Loc N2 =: sur lui1-même";"N1 être Vpp (statique)";"N1 =: Qu P métaphore";"à Nhum destination";"à Nhum =: Loc Npc";"N1 =: mot, N2 =: texte";"N1 =: idée, N2 =: esprit";"N0 V N1abs Loc N2abs";"N0 V N1hum Loc N2abs";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>"
"95";"~";"~";"~";"~";"<E>";"distribuer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max distribue des tracs dans les boîtes aux lettres"
"96";"+";"-";"-";"-";"<E>";"échapper";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a échappé le vase sur le sol"
"97";"-";"-";"-";"-";"<E>";"échelonner";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a échelonné les gardes sur le chemin"
"98";"-";"-";"+";"-";"<E>";"échouer";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le capitaine a échoué son bateau sur la plage"
"99";"~";"~";"~";"~";"<E>";"écouler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max écoule en Iran des transistors bon marché"
"100";"~";"~";"~";"~";"<E>";"élever";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La crue a élevé le niveau(à la cote 23+de cinquante cm)"
"101";"~";"~";"~";"~";"<E>";"emballer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max emballe le colis dans un papier brun"
"102";"-";"-";"-";"+";"<E>";"embarquer";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"barque";"Max embarque les colis sur le(camion+bateau)"
"103";"-";"-";"-";"+";"<E>";"embobiner";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"bobine";"Max embobine du fil de cuivre sur des mandrins"
"104";"-";"-";"-";"+";"<E>";"emboîter";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"boîte";"Cette machine emboîte les petits pois dans les boites"
"105";"-";"-";"-";"+";"<E>";"embourber";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"bourbier";"Max a embourbé l 'auto dans l'ornière"
"106";"-";"-";"-";"+";"<E>";"embouteiller";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"bouteille";"Max embouteille le vin"
"107";"-";"-";"-";"+";"<E>";"embrocher";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"broche";"Max embroche le poulet sur un bâton"
"108";"~";"~";"~";"~";"<E>";"émettre";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette station émet des programmes sur tout le territoire"
"109";"-";"-";"-";"+";"<E>";"emmagasiner";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"magasin";"Max emmagasine du sucre dans sa cave"
"110";"-";"-";"-";"-";"<E>";"emmailloter";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"maillot";"<E>";"Max emmaillote un lange autour du bébé"
"111";"-";"-";"-";"-";"<E>";"emménager";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"?";"<E>";"Max a emménagé l'armoire au premier"
"112";"-";"-";"-";"+";"<E>";"empaler";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"pal";"On a empalé Max sur un pieu"
"113";"~";"~";"~";"~";"<E>";"empapilloter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max empapillote des bonbons"
"114";"~";"~";"~";"~";"<E>";"empiler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max empile les caisses sur le camion"
"115";"-";"-";"-";"-";"<E>";"empoter";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"<E>";"pot";"Max a empoté l'if dans une jardinière"
"116";"-";"-";"-";"-";"<E>";"encaisser";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"caisse";"Cette machine encaisse les oranges dans les cartons"
"117";"~";"~";"~";"~";"<E>";"encapsuler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On encapsule les circuits dans du plastique"
"118";"-";"-";"-";"-";"<E>";"encaquer";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"caque";"Luc encaque les harengs dans le tonneau"
"119";"-";"-";"-";"-";"<E>";"encarter";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"encart";"<E>";"Max a encarté sa photo dans l'album"
"120";"~";"~";"~";"~";"<E>";"encartonner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a encartonné les livres dans des(E+caisses en)cartons|s|"
"121";"~";"~";"~";"~";"<E>";"encaver";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a encavé du vin dans sa cave"
"122";"-";"-";"-";"+";"<E>";"enchâsser";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"<E>";"châssis";"Max a enchâssé le rubis dans du platine"
"123";"~";"~";"~";"~";"<E>";"enchemiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul a enchemisé ses documents dans des chemises de carton"
"124";"-";"-";"+";"-";"<E>";"enclencher";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"La clé enclenche le pêne dans la gâche"
"125";"~";"~";"~";"~";"<E>";"encliquer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a encliqueté le treuil"
"126";"~";"~";"~";"~";"<E>";"encoigner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a encoigné le meuble dans le coin"
"127";"-";"-";"-";"+";"<E>";"encorner";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"corne";"Titus a encorné le matador sur sa corne gauche"
"128";"-";"-";"-";"+";"<E>";"encuver";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"cuve";"On encuve le vin dans des cuves"
"129";"-";"-";"-";"-";"<E>";"enferrer";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"fer";"Max a enferré Luc sur son épée"
"130";"-";"-";"-";"-";"<E>";"enficher";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"fiche";"<E>";"Luc enfiche la prise dans le mur"
"131";"-";"-";"-";"+";"<E>";"enfiler";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"fil";"<E>";"Max enfile une épée dans le corps de Paul"
"132";"-";"-";"-";"+";"<E>";"enfiler";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"fil";"Max enfile un fil de soie dans la perle"
"133";"-";"-";"+";"-";"<E>";"enfoncer";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"<E>";"?";"Max a enfoncé sa voiture contre un arbre"
"134";"~";"~";"~";"~";"<E>";"enfoncer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a enfoncé un clou dans le mur"
"135";"-";"-";"-";"-";"<E>";"enfouir";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"Max a enfoui le trésor dans le sable"
"136";"-";"-";"-";"-";"<E>";"enfourcher";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"fourche";"Max enfourche une balle de foin sur sa fourche"
"137";"-";"+";"-";"+";"<E>";"enfourner";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"<E>";"four";"Max a enfourné le rôti"
"138";"-";"-";"-";"-";"<E>";"engager";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max s' engage dans le couloir"
"139";"-";"-";"-";"-";"<E>";"engager";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max engage la clé dans la serrure"
"140";"-";"-";"-";"+";"<E>";"engloutir";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"(La tempête+le grain)a englouti la nef dans les ondes"
"141";"-";"-";"-";"+";"<E>";"engluer";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"glu";"Paul a englué l'oiseau dans la glu"
"142";"-";"-";"+";"-";"<E>";"engouffrer";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Le vent engouffre les feuilles mortes dans le couloir"
"143";"-";"-";"-";"+";"<E>";"engranger";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"<E>";"grange";"On engrange le foin dans le hangar"
"144";"-";"-";"-";"-";"<E>";"enquiller";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a enquillé la fiche dans la prise"
"145";"-";"-";"-";"+";"<E>";"enregistrer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Le greffier a enregistré la plainte sur son registre"
"146";"~";"~";"~";"~";"<E>";"enregistrer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max enregistre le discours sur bande"
"147";"-";"-";"-";"+";"<E>";"enrouler";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a enroulé un journal autour de la bouteille"
"148";"-";"-";"-";"+";"<E>";"ensabler";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"sable";"Max a ensablé sa voiture"
"149";"-";"-";"-";"+";"<E>";"ensacher";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"sachet";"Cette machine ensache les objets dans(des sacs de+du)plastique"
"150";"-";"-";"-";"-";"<E>";"ensevelir";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"On a enseveli le coffre dans la terre"
"151";"~";"~";"~";"~";"<E>";"ensiler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a ensilé le blé dans le silo"
"152";"-";"-";"-";"-";"<E>";"enterrer";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"<E>";"terre";"Max a enterré le trésor dans le sable"
"153";"-";"-";"-";"-";"<E>";"entonner";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"tonneau";"Paul a entonné le vin dans une barrique"
"154";"~";"~";"~";"~";"<E>";"entraîner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le flot entraîne les troncs vers l'estuaire"
"155";"-";"-";"-";"+";"<E>";"entreposer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"<E>";"entrepôt";"Max entrepose le vin dans la cave"
"156";"-";"-";"-";"-";"<E>";"entrer";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Max a entré 10 tonnes de bois en Iran"
"157";"-";"-";"-";"-";"<E>";"envaser";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"vase";"Max a envasé sa barque dans le marais"
"158";"-";"-";"-";"-";"<E>";"épandre";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Max a épandu du fumier dans son jardin"
"159";"-";"-";"-";"-";"<E>";"établir";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"César a établi son camp à Gap"
"160";"-";"-";"-";"-";"<E>";"étalager";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"étal";"(L'étalagiste+Max) étalage des slips dans la vitrine"
"161";"~";"~";"~";"~";"<E>";"étendre";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max étend Ida sur le foin"
"162";"~";"~";"~";"~";"<E>";"expédier";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max expédie les colis de Gap à Dax"
"163";"-";"-";"-";"-";"<E>";"faufiler";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a faufilé sa main dans l'ouverture"
"164";"-";"-";"-";"-";"<E>";"ficher";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"<E>";"<E>";"Max fiche un clou dans le mur"
"165";"-";"-";"-";"-";"<E>";"ficher";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"<E>";"fiche";"Max a fiché ces informations sur une carte"
"166";"-";"-";"-";"-";"<E>";"ficher";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"?";"?";"Max fichera le livre à la poubelle"
"167";"-";"-";"-";"-";"<E>";"fixer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"Max a fixé le tableau au mur(E+avec des vis)"
"168";"-";"-";"-";"-";"<E>";"flanquer";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"<E>";"<E>";"Max a flanqué son chapeau sur le buffet"
"169";"~";"~";"~";"~";"<E>";"floquer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a floqué de l'amiante sur la poubelle"
"170";"-";"-";"-";"+";"<E>";"focaliser";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"foyer";"<E>";"Cette lentille focalise les rayons sur le point adéquat"
"171";"-";"-";"-";"-";"<E>";"forer";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"forage";"<E>";"Max a foré un trou dans la planche à la foreuse avec un forêt"
"172";"~";"~";"~";"~";"<E>";"fossoyer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le fossoyeur fossoie une tombe dans la terre"
"173";"-";"-";"-";"-";"<E>";"fourrer";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"<E>";"<E>";"Max a fourré les papiers dans sa serviette"
"174";"-";"-";"-";"-";"<E>";"foutre";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"<E>";"<E>";"Max a foutu son chapeau sur la chaise"
"175";"-";"-";"-";"-";"<E>";"fraiser";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a fraisé un trou dans la dent"
"176";"-";"-";"-";"-";"<E>";"frapper";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max frappe (E+de grands coups)(dans+sur+à)la porte"
"177";"-";"-";"-";"-";"<E>";"garer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"<E>";"garage";"Max a garé sa bagnole sous l'arbre"
"178";"~";"~";"~";"~";"<E>";"garer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a garé son vin dans le tiroir"
"179";"-";"-";"+";"-";"<E>";"glisser";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"<E>";"<E>";"Max a glissé la lettre dans l'enveloppe"
"180";"-";"-";"-";"-";"<E>";"graver";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a gravé son nom sur la plaque"
"181";"-";"-";"-";"-";"<E>";"greffer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"greffe";"<E>";"Max a greffé un(oeil+greffon)au rosier"
"182";"+";"-";"-";"-";"<E>";"hasarder";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Max hasarde sa main dans l'ouverture"
"183";"-";"-";"+";"+";"<E>";"immerger";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"<E>";"mer";"Max a immergé le câble sous quelques mètres d'eau"
"184";"-";"-";"-";"-";"<E>";"implanter";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"implant";"<E>";"On a implanté des cheveux sur le crâne de Max"
"185";"~";"~";"~";"~";"<E>";"implanter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a implanté une usine dans cette région"
"186";"~";"~";"~";"~";"<E>";"implémenter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a implémenté le logiciel sur cette machine"
"187";"~";"~";"~";"~";"<E>";"importer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Parmentier a importé la pomme de terre en France"
"188";"~";"~";"~";"~";"<E>";"imprimer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Luc a imprimé des motifs sur ce tissu"
"189";"-";"-";"-";"+";"<E>";"inclure";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Max a inclus dans son rapport que Léa était malade"
"190";"-";"-";"-";"+";"<E>";"incorporer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max incorpore du beurre(dans+à)la pâte"
