"<ID>";"N0 être V-n";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: le figé";"Ppv =: la figé";"Ppv =: y figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"N0hum V W sur ce point";"N0 V vers N";"[extrap]";"N0idée V Loc N1esprit";"N0hum V Loc Nabs";"N0 =: N-hum métaphore";"N0 être V-n (forme V-n)";"<OPT>";"<ENGLISH>"
"139";"-";"s'en";"+";"+";"-";"-";"-";"-";"croire";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max s'en croit ";"?"
"140";"-";"s'y";"+";"-";"-";"-";"+";"-";"croire";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max s'y croit ";"?"
"141";"~";"en";"-";"+";"-";"-";"-";"-";"croquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paulo en croque ";"?"
"142";"-";"se";"+";"-";"-";"-";"-";"-";"curedenter";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max se curedente ";"?"
"143";"~";"<E>";"-";"-";"-";"-";"-";"-";"danser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max danse de joie";"to danse"
"144";"-";"<E>";"-";"-";"-";"-";"-";"-";"déambuler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"<E>";"Max déambule (E+dans les murs)";"to stroll"
"145";"-";"se";"+";"-";"-";"-";"-";"-";"débander";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"La foule s'est débandée ";"?"
"146";"-";"<E>";"-";"-";"-";"-";"-";"-";"débarquer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max débarque (=ne sait rien)";"not to have a clue"
"147";"~";"<E>";"-";"-";"-";"-";"-";"-";"débaucher";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max débauche tous les jours à 6 heures";"?"
"148";"-";"<E>";"-";"-";"-";"-";"-";"-";"débloquer";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max débloque sur sa politique";"?"
"149";"~";"se";"+";"-";"-";"-";"-";"-";"débonder";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max s'est débondé auprès de Luc";"?"
"150";"-";"<E>";"-";"-";"-";"-";"-";"-";"débrayer";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Les ouvriers débrayent ";"to stop work"
"151";"-";"<E>";"-";"-";"-";"-";"-";"-";"débuter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"Max débute dans(la vie+le monde)";"to start out"
"152";"~";"<E>";"-";"-";"-";"-";"-";"-";"décharger";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a déchargé (E+dans son lit)";"?"
"153";"~";"<E>";"-";"-";"-";"-";"-";"-";"décliner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max décline ";"?"
"154";"~";"<E>";"-";"-";"-";"-";"-";"-";"décoincer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a du mal à décoincer ,ce matin";"?"
"155";"~";"<E>";"-";"-";"-";"-";"-";"-";"décoller";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a décollé après sa grève de la faim";"?"
"156";"-";"<E>";"-";"-";"-";"-";"-";"-";"décompresser";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max décompresse après l'effort";"to let go"
"157";"+";"<E>";"-";"-";"-";"-";"-";"-";"déconner";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"con";"Max déconne pendant le cours";"to talk twaddle"
"158";"-";"se";"+";"-";"-";"-";"-";"-";"découvrir";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max se découvre devant la tombe";"?"
"159";"~";"se";"+";"-";"-";"-";"-";"-";"dédoubler";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Le malade se dédouble ";"?"
"160";"~";"ne";"+";"-";"-";"-";"-";"+";"défâcher";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max ne défâche pas ";"?"
"161";"-";"se";"+";"-";"-";"-";"-";"-";"défendre Advm";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"<E>";"Max se défend bien en math";"?"
"162";"-";"se";"+";"-";"-";"-";"-";"-";"défoncer";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max s'est défoncé dans cette course";"?"
"163";"-";"<E>";"-";"-";"-";"-";"-";"-";"défourailler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max défouraille à la première occasion";"to draw one's gun"
"164";"~";"<E>";"-";"-";"-";"-";"-";"-";"défunter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a défunté à 80 ans";"to die"
"165";"-";"<E>";"-";"-";"-";"-";"-";"-";"déguster";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"Max a dégusté chez le dentiste";"to have a rough time"
"166";"~";"<E>";"-";"-";"-";"-";"-";"-";"délinquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paulo a délinqué en empiétant sur la ligne jaune";"?"
"167";"~";"<E>";"-";"-";"-";"-";"-";"-";"délirer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max délire ";"?"
"168";"-";"<E>";"-";"-";"-";"-";"-";"-";"déménager";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"<E>";"Max déménage ";"to clear off"
"169";"~";"se";"+";"-";"-";"-";"-";"-";"démener";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max se démène comme un beau diable";"?"
"170";"~";"<E>";"-";"-";"-";"-";"-";"-";"déparler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max déparle (E+quand il est saoul)";"?"
"171";"-";"se";"+";"-";"-";"-";"-";"-";"dépasser";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"<E>";"Max s'est dépassé dans cette sonate";"?"
"172";"~";"se";"+";"-";"-";"-";"-";"-";"dépenser";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul se dépense beaucoup";"?"
"173";"~";"se";"+";"-";"-";"-";"-";"-";"déplumer";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max se déplume ";"?"
"174";"~";"<E>";"-";"-";"-";"-";"-";"-";"dérober";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Le cheval dérobe ";"?"
"175";"~";"<E>";"-";"-";"-";"-";"-";"-";"déroger";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Hubert déroge en se livrant à cette activité";"?"
"176";"~";"<E>";"-";"-";"-";"-";"-";"-";"dérouiller";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a dérouillé pendant cette opération";"to have a rough time"
"177";"-";"<E>";"-";"-";"-";"-";"-";"-";"désarmer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Les ennemis de Paul n'ont pas désarmé ";"to relent"
"178";"~";"<E>";"-";"-";"-";"-";"-";"-";"descendre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Le joueur descend (E+vers le but) ";"?"
"179";"~";"ne";"-";"-";"-";"-";"-";"+";"désemparer";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max ne désempare pas ";"?"
"180";"-";"se";"+";"-";"-";"-";"-";"-";"désunir";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"L'athlète s'est désuni  ";"?"
"181";"-";"<E>";"-";"-";"-";"-";"-";"-";"dételer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a dételé depuis un an";"to leave off"
"182";"-";"en";"-";"+";"-";"-";"-";"-";"dire";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max en a dit sur ce point";"?"
"183";"-";"<E>";"-";"-";"-";"-";"-";"-";"disparaître Advt";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a disparu dans sa 30ième année";"?"
"184";"~";"<E>";"-";"-";"-";"-";"-";"-";"disposer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Vous pouvez disposer ";"?"
"185";"-";"se";"+";"-";"-";"-";"-";"-";"distinguer";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max s'est distingué dans ce match";"?"
"186";"-";"<E>";"-";"-";"-";"-";"-";"-";"divaguer";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"<E>";"Les chiens divaguent dans les rues";"to wander"
"187";"-";"<E>";"-";"-";"-";"-";"-";"-";"dogmatiser";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Paul dogmatise ";"to dogmatise"
"188";"-";"<E>";"-";"-";"-";"-";"-";"-";"dormir";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"<E>";"Max dort d'un sommeil lourd";"to sleep"
"189";"-";"<E>";"-";"-";"-";"-";"-";"-";"dormir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"<E>";"Max dort littéralement sur son travail";"to idle"
"190";"~";"<E>";"-";"-";"-";"-";"-";"-";"droguer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a drogué pendant une heure (=a attendu)";"?"
"191";"-";"s'";"+";"-";"-";"-";"-";"-";"ébrouer";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Le chien s' ébroue en sortant de l'eau";"?"
"192";"~";"s'";"+";"-";"-";"-";"-";"-";"échapper";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Deux couverts se sont échappés ";"?"
"193";"-";"<E>";"-";"-";"-";"-";"-";"-";"éclater";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"<E>";"Cette star a éclaté l'an dernier";"to become famous"
"194";"-";"s'";"+";"-";"-";"-";"-";"-";"éclater";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"<E>";"Max s' éclate en dansant le Bop";"?"
"195";"-";"<E>";"-";"-";"-";"-";"-";"-";"écraser";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max a écrasé ";"to pipe down"
"196";"-";"en";"-";"+";"-";"-";"-";"-";"écraser";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max en écrase depuis deux heures";"to pipe down"
"197";"~";"<E>";"-";"-";"-";"-";"-";"-";"écrire";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"L'enfant crie ";"?"
"198";"~";"s'";"+";"-";"-";"-";"-";"-";"effacer";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Cet auteur s' efface derrière ses personnages";"?"
"199";"-";"s'";"+";"-";"-";"-";"-";"-";"effondrer";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"Max s'est effondré (au dernier tour+lors de la finale)";"?"
"200";"-";"<E>";"-";"-";"-";"-";"-";"-";"égaliser";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Pau a égalisé (E+la marque)à la 30 ème minute";"to equalise"
"201";"-";"s'";"+";"-";"-";"-";"-";"-";"élancer";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"<E>";"Max s' élance pour sauter";"?"
"202";"~";"<E>";"-";"-";"-";"-";"-";"-";"embaucher";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max embauche à 8 heures";"?"
"203";"~";"ne s'";"+";"-";"-";"-";"-";"+";"embêter";"+";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max ne s' embête pas ,il prend 100 balles de l'heure";"?"
"204";"~";"s'";"+";"-";"-";"-";"-";"-";"émietter";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"L'équipe s'est émiettée ";"?"
"205";"~";"ne s'";"+";"-";"-";"-";"-";"+";"emmerder";"+";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Jo ne s' emmerde pas, il prend dix francs de l'heure";"?"
"206";"~";"s'";"+";"-";"-";"-";"-";"-";"emporter";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Le cheval s' emporte  ";"?"
"207";"-";"s'";"+";"-";"-";"-";"-";"-";"engager";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"<E>";"Les poètes s'engagent ";"?"
"208";"~";"ne s'";"+";"-";"-";"-";"-";"+";"ennuyer pas";"+";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max ne s' ennuie pas, il prend 100 f de l'heure";"?"
"209";"~";"s'";"+";"-";"-";"-";"-";"-";"enrober";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul à tendance à s' enrober ";"?"
"210";"~";"<E>";"-";"-";"-";"-";"-";"-";"entendre Advm";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max entend mal ";"?"
"211";"~";"s'";"+";"-";"-";"-";"-";"-";"envelopper";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul a tendance à s' envelopper ";"?"
"212";"~";"s'";"+";"-";"-";"-";"-";"-";"épouser";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max et Ida se sont épousés ";"?"
"213";"~";"s'";"+";"-";"-";"-";"-";"-";"équivaloir";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les solutions s' équivalent ";"?"
"214";"-";"<E>";"-";"-";"-";"-";"-";"-";"équivoquer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"<E>";"Max équivoque ";"to equivocate"
"215";"-";"<E>";"-";"-";"-";"-";"-";"-";"essaimer";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"<E>";"Les abeilles essaiment ";"to swarm"
"216";"-";"<E>";"-";"-";"-";"-";"-";"-";"esthétiser";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max esthétise ";"to embellish"
"217";"~";"s'";"+";"-";"-";"-";"-";"-";"éteindre";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max s'est éteint dans son lit(E+à l'âge de 80 ans)";"to die"
"218";"~";"<E>";"-";"-";"-";"-";"-";"-";"éternuer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max éternue souvent";"?"
"219";"~";"<E>";"-";"-";"-";"-";"-";"-";"étinceler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max étincelle (dans ce domaine+sur ce point)";"?"
"220";"~";"<E>";"-";"-";"-";"-";"-";"-";"étoffer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Ida s'est étoffé ";"?"
"221";"~";"<E>";"-";"-";"-";"-";"-";"-";"étouffer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max étouffe ";"?"
"222";"~";"<E>";"-";"-";"-";"-";"-";"-";"étouffer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"On étouffe ici";"?"
"223";"-";"en";"-";"+";"-";"-";"-";"-";"être";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max en est  ";"to be gay"
"224";"-";"y";"-";"-";"-";"-";"+";"-";"être";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max y est ";"?"
"225";"~";"n'y";"-";"-";"-";"-";"+";"+";"être";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max n'y est plus ";"?"
"226";"~";"<E>";"-";"-";"-";"-";"-";"-";"être sorti";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Madame est sortie  ";"?"
"227";"~";"<E>";"-";"-";"-";"-";"-";"-";"étrenner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a étrenné dans la bagarre";"?"
"228";"-";"s'";"+";"-";"-";"-";"-";"-";"étudier";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max s' étudie ";"?"
"229";"~";"<E>";"-";"-";"-";"-";"-";"-";"étymologiser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Le linguiste étymologise ";"?"
"230";"-";"s'";"+";"-";"-";"-";"-";"-";"évanouir";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"<E>";"Ida s'est évanouie ";"to faint"
"231";"-";"<E>";"-";"-";"-";"-";"-";"-";"excursionner";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"<E>";"Max a excursionné dans le Lot";"to go hiking"
"232";"-";"s'";"+";"-";"-";"-";"-";"-";"exécuter";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max s'est exécuté de mauvaise grâce";"?"
"233";"-";"<E>";"-";"-";"-";"-";"-";"-";"expirer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"Max a expiré hier";"to die"
"234";"~";"<E>";"-";"-";"-";"-";"-";"-";"exploser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Cet(acteur+athlète)a explosé cette année";"?"
"235";"-";"<E>";"-";"-";"-";"-";"-";"-";"extravaguer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"<E>";"Ida extravague sur la mode";"to rave"
"236";"~";"<E>";"-";"-";"-";"-";"-";"-";"exubérer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max exubère ";"?"
"237";"~";"<E>";"-";"-";"-";"-";"-";"-";"fabriquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Qu'est-ce que Paul fabrique?";"?"
"238";"~";"<E>";"-";"-";"-";"-";"-";"-";"faiblir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max faiblit à la vue du sang";"?"
"239";"+";"<E>";"-";"-";"-";"-";"-";"-";"fainéanter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"fainéant";"Max fainéante ";"?"
"240";"~";"<E>";"-";"-";"-";"-";"-";"-";"faonner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"La biche faonne ";"?"
"241";"~";"<E>";"-";"-";"-";"-";"-";"-";"fariboler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Léa faribole ";"?"
"242";"~";"<E>";"-";"-";"-";"-";"-";"-";"fatiguer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max fatigue vite(E+au volant)";"?"
"243";"~";"ne se";"+";"-";"-";"-";"-";"+";"fatiguer";"+";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul ne s'est pas fatigué (E+pour faire son article)";"?"
"244";"+";"<E>";"-";"-";"-";"-";"-";"-";"fayoter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"fayot";"Max fayote ";"to brown nose"
"245";"-";"se";"+";"-";"-";"-";"-";"-";"fendre";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"L'escrimeur s'est fendu ";"?"
"246";"-";"la";"-";"-";"-";"+";"-";"-";"fermer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Guy la ferme sur sa vie privée";"?"
"247";"~";"<E>";"-";"-";"-";"-";"-";"-";"feuilletonner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max feuilletonne pour(la télévision+le journal)";"?"
"248";"-";"<E>";"-";"-";"-";"-";"-";"-";"flageoler";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"<E>";"Max flageole sur ses jambes";"to quake at the knees"
"249";"-";"<E>";"-";"-";"-";"-";"-";"-";"flamber";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max flambe ";"to gamble"
"250";"-";"<E>";"-";"-";"-";"-";"-";"-";"flâner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"<E>";"Max flâne le long de la rivière";"to stroll"
"251";"~";"<E>";"-";"-";"-";"-";"-";"-";"flâner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max ne flâne pas(dans le travail+en besogne)";"?"
"252";"~";"<E>";"-";"-";"-";"-";"-";"-";"flemmarder";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max flemmarde ";"?"
"253";"~";"<E>";"-";"-";"-";"-";"-";"-";"flemmasser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max flemmasse ";"?"
"254";"~";"<E>";"-";"-";"-";"-";"-";"-";"flemmer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max flemme au lit";"?"
"255";"-";"se";"+";"-";"-";"-";"-";"-";"flinguer";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max s'est flingué avant-hier de dépit";"?"
"256";"~";"<E>";"-";"-";"-";"-";"-";"-";"flipper";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a flippé à l'annonce de cette nouvelle";"?"
"257";"~";"<E>";"-";"-";"-";"-";"-";"-";"flipper";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max flippe du flipper gauche";"?"
"258";"-";"<E>";"-";"-";"-";"-";"-";"-";"folâtrer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"<E>";"Max folâtre dans le parc";"to frolic"
"259";"+";"<E>";"-";"-";"-";"-";"-";"-";"folichonner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"folichon";"Max folichonne dans le parc";"to frolic"
"260";"~";"<E>";"-";"-";"-";"-";"-";"-";"forligner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Hubert a forligné en se mariant avec sa bonne";"?"
"261";"-";"<E>";"-";"-";"-";"-";"-";"-";"fouetter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max fouette (=pue)";"to stink"
"262";"~";"<E>";"-";"-";"-";"-";"-";"-";"foutre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Qu'est-ce que Paul fout?";"?"
"263";"~";"ne";"-";"-";"-";"-";"-";"+";"foutre rien";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max ne fout rien ";"?"
"264";"~";"<E>";"-";"-";"-";"-";"-";"-";"frapper";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"L'assassin a encore frappé ";"?"
"265";"-";"<E>";"-";"-";"-";"-";"-";"-";"frauder";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Le candidat a fraudé à l'examen";"to cheat"
"266";"-";"<E>";"-";"-";"-";"-";"-";"-";"frayer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Les saumons frayent en eau douce";"to spawn"
"267";"~";"<E>";"-";"-";"-";"-";"-";"-";"frémir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"L'eau frémit dans la casserole";"?"
"268";"-";"<E>";"-";"-";"-";"-";"-";"-";"frétiller";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"<E>";"La queue de Médor frétille ";"to wag"
"269";"-";"<E>";"-";"-";"-";"-";"-";"-";"frimer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max frime ";"to put on an act"
"270";"-";"<E>";"-";"-";"-";"-";"-";"-";"furibonder";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"<E>";"Max furibonde dans son coin";"to fume"
"271";"-";"<E>";"-";"-";"-";"-";"-";"-";"gaffer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max a gaffé ";"to boob"
"272";"-";"<E>";"-";"-";"-";"-";"-";"-";"galéjer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max galèje sur cette histoire";"to spin a yarn"
"273";"~";"<E>";"-";"-";"-";"-";"-";"-";"galérer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul a galéré longtemps";"?"
"274";"-";"<E>";"-";"-";"-";"-";"-";"-";"gambader";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"<E>";"Le poulain gambade dans le pré";"to gambol"
"275";"-";"<E>";"-";"-";"-";"-";"-";"-";"gamberger";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Ida gamberge toute seule";"to think"
"276";"+";"<E>";"-";"-";"-";"-";"-";"-";"gaminer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"gamin";"Max gamine volontiers";"to be childish"
"277";"-";"<E>";"-";"-";"-";"-";"-";"-";"gesticuler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Paul gesticule ";"to gesticulate"
"278";"-";"<E>";"-";"-";"-";"-";"-";"-";"gigoter";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"<E>";"Max gigote tout le temps";"to wriggle about"
