"<ID>";"N0 lieu de destination de N1";"N1 V";"N0 être V-n";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V N0pc W";"N1 être V-n";"N0 V N1";"N0 V N2 (E+de N1)";"Loc N2 =: de N2 source";"Loc N2 =: Loc N2 source, Loc # de";"Loc N3 =: vers N3";"N0 V N1 Loc N2 source Loc N3 destination";"Ppv =: y";"N2 être V-n";"V-n instrument";"N1 être Vpp (statique)";"N1 =: Qu P métaphore";"à Nhum source";"à Nhum =: Loc Npc";"de Nhum source";"N1 =: mot, (N2+N3) =: texte";"N1 =: idée, (N2+N3) =: esprit";"N0 V N1abs Loc (N2abs+N3abs)";"N0 V N1hum Loc (N2abs+N3abs)";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"V-n instrument (forme V-n)";"<OPT>"
"104";"-";"-";"-";"<E>";"gommer";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"<E>";"gomme";"Max a gommé les taches(de+sur)la feuille"
"105";"~";"~";"~";"<E>";"gommer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max a gommé les taches(sur+de)la feuille"
"106";"-";"-";"-";"<E>";"imiter";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"<E>";"imitation";"<E>";"<E>";"Le tableau est imité de celui-là"
"107";"+";"-";"-";"<E>";"importer";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max importe du Japon des sacs"
"108";"-";"-";"-";"<E>";"isoler";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"<E>";"<E>";"<E>";"<E>";"Max a isolé le fil de la terre"
"109";"-";"-";"-";"<E>";"laver";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max a lavé les tâches du mur"
"110";"-";"-";"-";"<E>";"lécher";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max a léché le lait du bol"
"111";"-";"-";"-";"<E>";"lessiver";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"lessive";"Max a lessivé les taches du mur"
"112";"-";"-";"-";"<E>";"lever";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"La grue a levé le bloc du sol"
"113";"~";"~";"~";"<E>";"lever";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max a levé une aile sur le poulet"
"114";"~";"~";"~";"<E>";"libérer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";" Libérer sa main du piège"
"115";"-";"-";"-";"<E>";"limer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"lime";"Max a limé les les barbes de la barre"
"116";"-";"-";"-";"<E>";"liquider";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a liquidé quatre noms de la liste"
"117";"~";"~";"~";"<E>";"marchander";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Paul marchande le prix de l'objet avec Luc"
"118";"+";"-";"-";"<E>";"ôter";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"<E>";"<E>";"<E>";"<E>";"Max ôte le chapeau de la chaise"
"119";"+";"-";"-";"<E>";"pêcher";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a pêché un bouquin dans la caisse"
"120";"-";"-";"-";"<E>";"peler";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"peau";"<E>";"<E>";"Max pèle la peau de l'orange"
"121";"+";"-";"-";"<E>";"pignocher";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max pignochait des olives dans le plat"
"122";"~";"~";"~";"<E>";"piller";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"On a pillé le sucre dans ce magasin"
"123";"+";"-";"-";"<E>";"piocher";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"pioche";"<E>";"Max a pioché une carte dans le(sabot+paquet)"
"124";"+";"-";"-";"<E>";"piquer";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a piqué le courant à la douille"
"125";"-";"-";"-";"<E>";"pomper";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"pompe";"On a pompé l'eau de la cale"
"126";"-";"-";"-";"<E>";"poncer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max a poncé les rugosités de la planche"
"127";"+";"-";"-";"<E>";"prélever";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a prélevé un échantillon dans la pile"
"128";"+";"-";"-";"<E>";"prendre";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max prend le livre dans la pile"
"129";"~";"~";"~";"<E>";"procurer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max s'est procuré un passeport à la mairie"
"130";"+";"-";"-";"<E>";"puiser";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"<E>";"<E>";"puit";"<E>";"Max a puisé de l'eau(du puits+dans la rivière)"
"131";"~";"~";"~";"<E>";"rabattre";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Paul a rabattu 100 Frs(de+sur)le prix"
"132";"~";"~";"~";"<E>";"rabioter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max a rabioté 1 quart d'heure sur l'horaire"
"133";"-";"-";"-";"<E>";"racler";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max a raclé le brûlé de la casserole"
"134";"+";"-";"-";"<E>";"ramasser";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"<E>";"<E>";"Max a ramassé (E+au passage)un paquet sur la table"
"135";"-";"-";"-";"<E>";"raser";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max a rasé sa barbe"
"136";"-";"-";"-";"<E>";"râteler";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"râteau";"Max a râtelé les feuilles de l'allée"
"137";"-";"-";"-";"<E>";"rayer";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a rayé le nom de la liste"
"138";"+";"-";"-";"<E>";"récolter";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"récolte";"<E>";"<E>";"Max récolte les plus beaux fruits sur cet arbre"
"139";"~";"~";"~";"<E>";"recueillir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max recueille les fruits sur l'arbre"
"140";"+";"-";"-";"<E>";"récupérer";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"<E>";"<E>";"<E>";"<E>";"Max a récupéré ses livres au grenier"
"141";"~";"~";"~";"<E>";"redescendre";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max redescend la caisse du grenier"
"142";"-";"-";"-";"<E>";"rejeter";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max a rejeté l'envahisseur hors des frontières"
"143";"~";"~";"~";"<E>";"renverser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max a renversé la statue de son socle"
"144";"+";"-";"-";"<E>";"repêcher";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"<E>";"<E>";"Max a repêché le noyé dans la rivière"
"145";"+";"-";"-";"<E>";"retirer";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"<E>";"<E>";"<E>";"<E>";"Max a retiré la nappe de la table"
"146";"-";"-";"-";"<E>";"retrancher";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a retranché deux chapitres(à+de)sa thèse"
"147";"-";"-";"-";"<E>";"sabrer";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a sabré deux paragraphes dans son texte"
"148";"+";"-";"-";"<E>";"saisir";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a saisi un livre sur l'étagère"
"149";"~";"~";"~";"<E>";"savonner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max a savonné du mur toutes les taches"
"150";"-";"-";"-";"<E>";"scier";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"scie";"Max a scié cette branche d'un arbre"
"151";"~";"~";"~";"<E>";"sécher";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"On a séché l'eau du puits"
"152";"-";"-";"-";"<E>";"secouer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max a secoué l'eau de la salade"
"153";"-";"-";"-";"<E>";"sectionner";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max a sectionné la branche du tronc"
"154";"-";"-";"-";"<E>";"siphonner";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"siphon";"Max a siphonné l'eau du réservoir(E+dans un bac)"
"155";"+";"-";"-";"<E>";"soulever";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Paul soulève le sac du sol"
"156";"-";"-";"-";"<E>";"soustraire";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"<E>";"<E>";"<E>";"<E>";"Max a soustrait du fric dans la caisse"
"157";"+";"-";"-";"<E>";"soutirer";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max a soutiré du vin au tonneau"
"158";"-";"-";"-";"<E>";"sucrer";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a sucré ce nom de la liste"
"159";"-";"-";"-";"<E>";"supprimer";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a supprimé ce verbe de la liste"
"160";"~";"~";"~";"<E>";"tailler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max a taillé les branches mortes de l'arbre"
"161";"~";"~";"~";"<E>";"tamponner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max tamponne la sueur de son front"
"162";"~";"~";"~";"<E>";"tarir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"L'été a tari l'eau de la source"
"163";"-";"-";"-";"<E>";"tirer";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max tire un mouchoir de sa poche"
"164";"~";"~";"~";"<E>";"tirer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Tire ta valise de mon chemin"
"165";"-";"-";"-";"<E>";"tondre";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Léo a tondu la laine du mouton"
"166";"~";"~";"~";"<E>";"torchonner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max a torchonné les traces(sur les+des)verres"
"167";"~";"~";"~";"<E>";"traire";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max trait le lait des vaches"
"168";"-";"-";"-";"<E>";"trancher";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"L'épée a tranché le bras du tronc"
"169";"~";"~";"~";"<E>";"varloper";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max a varlopé les aspérités de la planche"
"170";"-";"-";"-";"<E>";"vendanger";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"vendange";"<E>";"<E>";"On a vendangé le raisin de ce clos"
"171";"~";"~";"~";"<E>";"verser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max verse du vin(à Luc+de la carafe)"
"172";"-";"-";"-";"<E>";"vider";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max a vidé l'eau du tonneau"
"173";"~";"~";"~";"<E>";"virer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max a viré l'eau du tonneau"

