"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 être V-n";"N1 V";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N1 être V-n";"N0 V Nhum sur ce point";"N1 être Vpp W";"N1 =: Nconc métaphore";"N1 =: Nabs métaphore";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>";"<ENGLISH>"
"158";"+";"-";"-";"-";"<E>";"-";"-";"confirmer";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"L'évêque a confirmé Luc";"to confirm"
"159";"+";"+";"-";"-";"<E>";"-";"-";"confondre";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Le policier a confondu le criminel";"to confound"
"160";"+";"-";"-";"-";"<E>";"-";"-";"connaître";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max connaît Luc, Il l'a connu au lycée";"to know"
"161";"+";"-";"-";"-";"ne";"-";"+";"connaître plus";"+";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max ne connaît plus Flo";"?"
"162";"~";"~";"~";"~";"<E>";"-";"-";"conquérir";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a conquis cette femme";"?"
"163";"~";"~";"~";"~";"<E>";"-";"-";"considérer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max considère Luc";"?"
"164";"~";"~";"~";"~";"<E>";"-";"-";"consigner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le pion a consigné Max";"?"
"165";"-";"+";"-";"+";"<E>";"-";"-";"constiper";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Le coing constipe les enfants";"to constipate"
"166";"~";"~";"~";"~";"<E>";"-";"-";"consulter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max consulte Luc";"?"
"167";"+";"-";"-";"-";"<E>";"-";"-";"contacter";"-";"+";"-";"+";"+";"-";"-";"-";"<E>";"contact";"Max a contacté Luc";"to contact"
"168";"+";"+";"-";"-";"<E>";"-";"-";"contaminer";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Ida a contaminé Max";"to contaminate"
"169";"~";"~";"~";"~";"<E>";"-";"-";"contester";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max conteste le directeur";"?"
"170";"+";"-";"+";"-";"<E>";"-";"-";"contre-attaquer";"-";"+";"-";"-";"+";"-";"-";"+";"attaquant";"<E>";"Max a contre-attaqué l'ennemi";"to counterattack"
"171";"-";"+";"-";"-";"<E>";"-";"-";"conventionner";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Ce décret conventionne les plombiers";"to regulate legally"
"172";"~";"~";"~";"~";"<E>";"-";"-";"corner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max corne Luc (=fait cocu)";"?"
"173";"~";"~";"~";"~";"<E>";"-";"-";"corriger";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a corrigé son adversaire";"to beat"
"174";"+";"-";"-";"-";"<E>";"-";"-";"corrompre";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max a corrompu le juge";"to corrupt"
"175";"+";"-";"-";"-";"<E>";"-";"-";"côtoyer";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max côtoie des gens bizarres";"to mix with"
"176";"+";"-";"-";"-";"<E>";"-";"-";"coudoyer";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max coudoie des gens bizarres";"to mix with"
"177";"~";"~";"~";"~";"<E>";"-";"-";"couillonner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette loi couillonne Luc";"?"
"178";"+";"-";"-";"-";"<E>";"-";"-";"couper";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a coupé son chat (=pauvre chat)";"to castrate"
"179";"-";"+";"-";"-";"<E>";"-";"-";"courir";"-";"+";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"Max court les filles";"to chase"
"180";"+";"-";"-";"-";"<E>";"-";"-";"courtiser";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max courtise Ida";"to pay court to"
"181";"+";"-";"-";"-";"<E>";"-";"-";"couver";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Ida couve sa fille";"to cocoon"
"182";"+";"-";"-";"-";"<E>";"-";"-";"couvrir";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le taureau couvre la génisse";"to cover"
"183";"~";"~";"~";"~";"<E>";"-";"-";"craindre";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max craint (Ida+ses supérieurs)";"?"
"184";"+";"-";"-";"-";"ne";"-";"+";"craindre";"+";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max ne craint pas Luc";"?"
"185";"+";"-";"+";"-";"<E>";"-";"-";"cramponner";"-";"+";"-";"-";"-";"-";"-";"-";"crampon";"<E>";"Max cramponne Ida avec ses questions";"to bore"
"186";"+";"-";"-";"-";"<E>";"-";"-";"cravater";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La police a cravaté Max";"to collar"
"187";"~";"~";"~";"~";"<E>";"-";"-";"cravater";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le lutteur cravate ses adversaires";"?"
"188";"+";"+";"-";"-";"<E>";"-";"-";"crever";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"La marche a crevé Luc";"to wear out"
"189";"~";"~";"~";"~";"<E>";"-";"-";"crever";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Paulo a crevé Riton";"to kill"
"190";"~";"~";"~";"~";"<E>";"-";"-";"crocheter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le joueur a crocheté trois adversaire avant de tirer";"?"
"191";"~";"~";"~";"~";"<E>";"-";"-";"croiser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a croisé des gens célèbres dans sa vie";"to meet"
"192";"-";"-";"-";"-";"<E>";"-";"-";"cuire";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La peau de Max cuit Max";"to roast"
"193";"+";"-";"-";"-";"<E>";"-";"-";"cuisiner";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"La police a cuisiné Jo";"to grill"
"194";"+";"+";"-";"-";"<E>";"-";"-";"cuiter";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Ce vin a cuité Max";"to make drunk"
"195";"+";"-";"-";"-";"<E>";"-";"-";"culbuter";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a culbuté Ida(E+dans la paille)";"to tumble"
"196";"~";"~";"~";"~";"<E>";"-";"-";"culbuter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Nos troupes ont culbuté (l'adversaire+l'armée adverse)";"?"
"197";"+";"-";"-";"-";"<E>";"-";"-";"cultiver";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max cultive des gens haut placés";"to cultivate"
"198";"+";"-";"-";"-";"<E>";"-";"-";"damner";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Les méfaits ont damné Max";"to damn"
"199";"+";"-";"-";"-";"<E>";"-";"-";"débaucher";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Cette entreprise débauche ses cadres";"to lay off"
"200";"+";"-";"-";"-";"<E>";"-";"-";"déborder";"-";"+";"-";"-";"+";"+";"-";"+";"<E>";"<E>";"Max déborde ses partisans";"to outflank"
"201";"+";"+";"-";"-";"<E>";"-";"-";"débrailler";"-";"+";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Max a complètement débraillé Luc";"to undress"
"202";"~";"~";"~";"~";"<E>";"-";"-";"décaler";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Ce voyage a décalé Max";"to cause jetlag to"
"203";"+";"-";"-";"-";"<E>";"-";"-";"décapiter";"-";"+";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"Le bourreau a décapité le roi";"to behead"
"204";"~";"~";"~";"~";"<E>";"-";"-";"décérébrer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a décérébré la grenouille";"?"
"205";"~";"~";"~";"~";"<E>";"-";"-";"décoller";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le bourreau a décollé le criminel";"to behead"
"206";"~";"~";"~";"~";"<E>";"-";"-";"découvrir";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"L'imprésario a découvert cette vedette";"?"
"207";"+";"-";"-";"-";"<E>";"-";"-";"défaire";"-";"+";"-";"-";"+";"+";"-";"+";"<E>";"<E>";"Le roi a défait l'ennemi";"to defeat"
"208";"+";"-";"-";"-";"<E>";"-";"-";"déflorer";"-";"+";"-";"+";"-";"+";"-";"-";"<E>";"?";"Max déflore Ida";"to deflower"
"209";"+";"-";"+";"+";"<E>";"-";"-";"défoncer";"-";"+";"-";"+";"+";"-";"+";"+";"?";"?";"La drogue défonce Luc";"to get high"
"210";"~";"~";"~";"~";"<E>";"-";"-";"dégingander";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Une croissance rapide a dégingandé Slim";"?"
"211";"~";"~";"~";"~";"<E>";"-";"-";"dégommer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Paulo a dégommé Riton";"to kill"
"212";"+";"-";"-";"-";"<E>";"-";"-";"dégrader";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Le roi a dégradé l'officier";"to degrade"
"213";"~";"~";"~";"~";"<E>";"-";"-";"dégrossir";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le prof a dégrossi l'élève en maths";"?"
"214";"~";"~";"~";"~";"<E>";"-";"-";"dégueniller";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"La misère a déguenillé les gens";"?"
"215";"~";"~";"~";"~";"<E>";"-";"-";"délaisser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max délaisse sa femme";"?"
"216";"~";"~";"~";"~";"<E>";"-";"-";"délivrer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"L'accoucheur délivre Léa";"?"
"217";"+";"-";"-";"-";"<E>";"-";"-";"demander";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"On demande un livreur";"to call for"
"218";"-";"-";"-";"-";"<E>";"-";"-";"démanger";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Son crâne démange Paul";"to itch"
"219";"+";"-";"-";"-";"<E>";"-";"-";"démarcher";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max démarche les grands ensembles";"to approach"
"220";"+";"-";"-";"-";"<E>";"-";"-";"démarquer";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a démarqué son ailier";"to stop marking"
"221";"~";"~";"~";"~";"<E>";"-";"-";"démarrer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a démarré cet élève en maths";"?"
"222";"+";"-";"-";"-";"<E>";"-";"-";"démasquer";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max a démasqué le traître";"to unmask"
"223";"~";"~";"~";"~";"<E>";"-";"-";"démissionner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On a démissionné Max";"?"
"224";"~";"~";"~";"~";"<E>";"-";"-";"démonter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le général a démonté ce régiment de cavalerie";"?"
"225";"~";"~";"~";"~";"<E>";"-";"-";"démutiser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"L'orthophoniste démutise les muets";"?"
"226";"~";"~";"~";"~";"<E>";"-";"-";"déniaiser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Ida a déniaisé Bob";"?"
"227";"+";"-";"-";"-";"<E>";"-";"-";"dépister";"-";"+";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max a dépisté la police";"to give the slip"
"228";"~";"~";"~";"~";"<E>";"-";"-";"déplacer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"La guerre a déplacé cette population";"?"
"229";"~";"~";"~";"~";"<E>";"-";"-";"déplacer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a déplacé le médecin pour rien";"?"
"230";"+";"-";"-";"-";"<E>";"-";"-";"déposer";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"L'armée a déposé le roi";"to depose"
"231";"+";"-";"-";"+";"<E>";"-";"-";"dérouiller";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max a dérouillé Luc";"to thrash"
"232";"-";"+";"-";"-";"<E>";"-";"-";"désargenter";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"La crise a désargenté Max";"to leave broke"
"233";"~";"~";"~";"~";"<E>";"-";"-";"désarmer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Paulo a désarmé son adversaire";"?"
"234";"~";"~";"~";"~";"<E>";"-";"-";"désavouer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le président a désavoué le ministre";"?"
"235";"+";"-";"-";"-";"<E>";"-";"-";"descendre";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Max a descendu Bob";"to kill"
"236";"~";"~";"~";"~";"<E>";"-";"-";"déshonorer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a déshonoré cette femme";"?"
"237";"~";"~";"~";"~";"<E>";"-";"-";"désinformer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Les régimes totalitaires désinforment les masses";"?"
"238";"~";"~";"~";"~";"<E>";"-";"-";"désirer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max désire Léa";"?"
"239";"+";"-";"+";"-";"<E>";"-";"-";"despotiser";"-";"+";"-";"-";"-";"+";"-";"+";"despote";"<E>";"Max despotise (Ida+ses employés)";"to tyrannize"
"240";"+";"+";"-";"+";"<E>";"-";"-";"dessaouler";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"L'air frais a dessaoulé Max";"to sober up"
"241";"~";"~";"~";"~";"<E>";"-";"-";"dessouder";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Les flics ont dessoudé Bob";"to kill"
"242";"~";"~";"~";"~";"<E>";"-";"-";"dessouler";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"L'air frais a dessoulé Max";"to sober up"
"243";"-";"+";"-";"-";"<E>";"-";"-";"déstaliniser";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Ces lois déstalinisent le pays";"?"
"244";"+";"-";"-";"-";"<E>";"-";"-";"dévisager";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max dévisage Ida";"to stare at"
"245";"+";"-";"-";"-";"<E>";"-";"-";"diffamer";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Ce texte diffame Luc";"to slander"
"246";"+";"-";"-";"-";"<E>";"-";"-";"diplomer";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Cette école diplôme 50 filles par an";"to award a diploma to"
"247";"~";"~";"~";"~";"<E>";"-";"-";"diriger";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max dirige cette(équipe+usine)";"to lead"
"248";"~";"~";"~";"~";"<E>";"-";"-";"discuter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Ce président est très discuté ";"?"
"249";"-";"+";"-";"-";"<E>";"-";"-";"disgracier";"-";"+";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"Le roi a disgracié le duc";"to disgrace"
"250";"~";"~";"~";"~";"<E>";"-";"-";"disputailler";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a disputaillé les enfants";"to tell off"
"251";"+";"-";"-";"-";"<E>";"-";"-";"disputer";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max a disputé les enfants";"to tell off"
"252";"+";"-";"-";"-";"<E>";"-";"-";"dominer";"-";"+";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"Ida domine son Mari";"to dominate"
"253";"~";"~";"~";"~";"<E>";"-";"-";"dompter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a dompté le lion";"?"
"254";"+";"-";"-";"-";"<E>";"-";"-";"dorloter";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Ida dorlote Max";"to pamper"
"255";"+";"-";"-";"-";"<E>";"-";"-";"doubler";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Riton a doublé Polo";"to pull a fast one on"
"256";"~";"~";"~";"~";"<E>";"-";"-";"douiller";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a douillé le patron";"to pay"
"257";"+";"-";"-";"-";"<E>";"-";"-";"draguer";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a dragué Ida dans un bar";"to chat up"
"258";"~";"~";"~";"~";"<E>";"-";"-";"dresser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max dresse les chiens";"?"
"259";"+";"-";"-";"-";"<E>";"-";"-";"dribbler";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a dribblé son adversaire";"to dribble"
"260";"+";"-";"-";"-";"<E>";"-";"-";"droguer";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a drogué Luc";"to drug"
"261";"+";"-";"-";"-";"<E>";"-";"-";"éblouir";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"L'éclair a ébloui Max";"to dazzle"
"262";"+";"-";"-";"-";"<E>";"-";"-";"écarteler";"-";"+";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Le bourreau a écartelé le voleur";"to quarter"
"263";"+";"-";"-";"-";"<E>";"-";"-";"écharper";"-";"+";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"La foule a écharpé le tueur";"to tear in pieces"
"264";"+";"-";"-";"-";"<E>";"-";"-";"écheveler";"-";"+";"-";"+";"-";"+";"+";"-";"<E>";"cheveu";"le vent a échevelé Max";"to ruffle the hair of"
"265";"+";"+";"-";"-";"<E>";"-";"-";"éclairer";"-";"+";"-";"-";"+";"+";"-";"+";"<E>";"<E>";"Max éclaire Luc jusqu'à la porte";"to light up"
"266";"~";"~";"~";"~";"<E>";"-";"-";"éclairer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max éclaire Luc sur ce problème";"?"
"267";"+";"+";"-";"-";"<E>";"-";"-";"éclipser";"-";"+";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"La gloire de Max a éclipsé celle de Luc";"to eclipse"
"268";"-";"+";"-";"-";"<E>";"-";"-";"écloper";"-";"+";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Son accident a éclopé Max";"to injure"
"269";"~";"~";"~";"~";"<E>";"-";"-";"écorcher";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Cet hôtelier écorche les clients";"?"
"270";"~";"~";"~";"~";"<E>";"-";"-";"écouter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Jo écoute (E+les conseils de)ses parents";"?"
"271";"+";"-";"-";"-";"<E>";"-";"-";"écraser";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"César a écrasé la rébellion";"to crush"
"272";"+";"-";"-";"-";"<E>";"-";"-";"écraser";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Cette équipe a écrasé son adversaire";"to hammer"
"273";"~";"~";"~";"~";"<E>";"-";"-";"écraser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a écrasé un piéton";"?"
"274";"+";"-";"-";"-";"<E>";"-";"-";"éduquer Advm";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Ses parents ont bien éduqué Max";"?"
"275";"~";"~";"~";"~";"<E>";"-";"-";"effacer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Paulo a effacé Bob";"to kill"
"276";"~";"~";"~";"~";"<E>";"-";"-";"efflanquer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Ce parcours a efflanqué mon bidet";"?"
"277";"+";"-";"-";"-";"<E>";"-";"-";"égorger";"-";"+";"-";"+";"-";"+";"+";"-";"<E>";"gorge";"Max a égorgé le mouton";"to cut the throat of"
"278";"~";"~";"~";"~";"<E>";"-";"-";"élancer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Sa blessure élance Max";"?"
"279";"-";"-";"-";"-";"<E>";"-";"-";"élancer";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Son régime a élancé Ida";"to slenderize"
"280";"~";"~";"~";"~";"<E>";"-";"-";"électrocuter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On a électrocuté le condamné";"?"
"281";"+";"-";"-";"-";"<E>";"-";"-";"élever";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max élève des moutons";"to breed"
"282";"~";"~";"~";"~";"<E>";"-";"-";"éliminer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Paulo a éliminé Riton";"to kill"
"283";"+";"+";"-";"-";"<E>";"-";"-";"émanciper";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Le juge a émancipé Eva";"to emancipate"
"284";"~";"~";"~";"~";"<E>";"-";"-";"emballer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Les flics ont emballé Paulo";"to cart off"
"285";"+";"-";"-";"-";"<E>";"-";"-";"emballer";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a emballé une nénette à cette fête";"to chat up"
"286";"+";"-";"-";"-";"<E>";"-";"-";"embarquer";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Les flics ont embarqué Max";"to cart off"
"287";"+";"-";"-";"-";"<E>";"-";"-";"emberlificoter";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Le vendeur a emberlificoté Max";"to hoodwink"
"288";"+";"-";"-";"-";"<E>";"-";"-";"embobeliner";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Le vendeur a embobeliné Max";"to hoodwink"
"289";"~";"~";"~";"~";"<E>";"-";"-";"embobiner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le vendeur a embobiné Max";"to hoodwink"
"290";"~";"~";"~";"~";"<E>";"-";"-";"embrasser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max et Luc s' embrassent ";"to kiss"
"291";"+";"+";"-";"-";"<E>";"-";"-";"émécher";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Un doigt de champagne émèche Ida";"to make merry"
"292";"~";"~";"~";"~";"<E>";"-";"-";"emmener";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le capitaine emmène son équipe";"to lead"
"293";"~";"~";"~";"~";"<E>";"-";"-";"empapaouter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Sven a empapaouté Igor";"?"
"294";"~";"~";"~";"~";"<E>";"-";"-";"employer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette entreprise emploie deux cents personnes";"?"
"295";"~";"~";"~";"~";"<E>";"-";"-";"empoigner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"La police a empoigné le voleur";"?"
"296";"+";"-";"-";"-";"<E>";"-";"-";"empoisonner";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a empoisonné Luc";"to poison"
"297";"-";"-";"-";"-";"<E>";"-";"-";"emporter";"-";"+";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"La maladie a emporté Max";"to carry off"
"298";"~";"~";"~";"~";"<E>";"-";"-";"encadrer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Les flics encadrent le prisonnier";"?"
"299";"~";"~";"~";"~";"<E>";"-";"-";"enchifrener";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Son rhume a enchifrené Max";"?"
"300";"~";"~";"~";"~";"<E>";"-";"-";"encombrer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le chien encombre Max";"?"
"301";"~";"~";"~";"~";"n'";"-";"+";"encombrer";"+";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Les scrupules n' encombrent pas Max";"?"
"302";"~";"~";"~";"~";"<E>";"-";"-";"enculer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Sven a enculé Igor";"to bugger"
"303";"~";"~";"~";"~";"<E>";"-";"-";"endeuiller";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le cyclone David a endeuillé les îles";"?"
"304";"+";"+";"-";"-";"<E>";"-";"-";"endormir";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a endormi le patient au penthotal";"to put to sleep"
"305";"~";"~";"~";"~";"<E>";"-";"-";"enfiévrer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"La maladie a enfiévré Paul";"?"
"306";"+";"-";"-";"-";"<E>";"-";"-";"enfiler";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Igor a enfilé Sven";"to bugger"
"307";"+";"-";"-";"-";"<E>";"-";"-";"enfoncer";"-";"+";"-";"-";"+";"+";"-";"+";"<E>";"<E>";"Le témoignage d'Ida enfonce Luc";"to put the blame on"
"308";"~";"~";"~";"~";"<E>";"-";"-";"enfumer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max enfume les voisins";"?"
"309";"~";"~";"~";"~";"<E>";"-";"-";"enjamber";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Paulo a enjambé Rita";"?"
"310";"+";"-";"-";"-";"<E>";"-";"-";"enlever";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La maladie a enlevé Paul";"to carry off"
"311";"+";"-";"-";"-";"<E>";"-";"-";"enlever";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a enlevé un ministère";"to win"
"312";"+";"+";"+";"-";"<E>";"-";"-";"enrhumer";"-";"+";"-";"-";"-";"+";"-";"-";"rhume";"<E>";"Le changement de temps a enrhumé Max";"to give a cold to"
"313";"~";"~";"~";"~";"<E>";"-";"-";"enseigner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max enseigne des adolescents(E+en maths)";"to teach"
"314";"-";"+";"-";"-";"<E>";"-";"-";"ensommeiller";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Le gin ensommeille Ed";"to put to sleep"
"315";"~";"~";"~";"~";"<E>";"-";"-";"ensuquer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le gin a ensuqué Ed";"to put to sleep"
"316";"+";"-";"-";"-";"<E>";"-";"-";"entendre";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max a entendu Paul sur ce point";"to understand"
