"<ID>";"N0 =: N-hum";"N0 être V-n";"N2 bénéficiaire";"N2 détrimentaire";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N0 V N0pc W";"N1 =: N-hum";"N1 être V-n";"N1 =: Dnum Nmonnaie";"N1 =: coup";"Prép2 =: à";"N0 V N1 de N2 source";"Ppv =: en";"N2 =: N-hum";"Prép N2-hum = Ppv =: lui";"Ppv =: y";"N2 être V-n";"N2 =: Npl obl";"N1 être Vpp (statique)";"N1 =: Nabs";"N0 V N1 à N2 Dnum Nmonnaie";"N0 V N2 (E+de N1)";"N0 V N1 Loc N-hum";"N0 V N1 à N2 pour Dnum Nmonnaie";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>";"<ENGLISH>"
"102";"+";"-";"+";"-";"<E>";"enfiler";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Luc enfile une chemise à Ida";"to slip on"
"103";"~";"~";"~";"~";"<E>";"engourdir";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Paulo a engourdi 100F à Max";"to pinch"
"104";"+";"-";"-";"+";"<E>";"enlever";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max enlève sa prime à Ida";"to take off"
"105";"-";"+";"+";"-";"<E>";"enseigner";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"enseignant";"enseignement";"<E>";"Max enseigne les maths à des adolescents";"to teach"
"106";"-";"-";"+";"-";"<E>";"envoyer";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"envoi";"<E>";"Max a envoyé des sous à Luc";"to send"
"107";"~";"~";"~";"~";"<E>";"éponger";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Ida a épongé tout son fric à Max";"to swindle"
"108";"-";"+";"-";"+";"<E>";"escroquer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"escroc";"<E>";"<E>";"Max a escroqué une forte somme à Ida";"to swindle"
"109";"~";"~";"~";"~";"<E>";"essayer";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Léa essaye un pull à Léa";"?"
"110";"-";"-";"-";"+";"<E>";"estamper";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"Max a estampé une forte somme à Luc";"to fleece"
"111";"~";"~";"~";"~";"<E>";"étouffer";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Paulo a étouffé son portefeuille à Max";"to swindle"
"112";"~";"~";"~";"~";"<E>";"évaporer";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Paulo a évaporé son portefeuille à Max";"to swindle"
"113";"-";"-";"+";"-";"<E>";"exhiber";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max exhibe ses papiers à la police";"to present"
"114";"-";"-";"-";"+";"<E>";"extorquer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Léa a extorqué trois sous à Ida";"to extort"
"115";"-";"-";"+";"-";"<E>";"faciliter";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a facilité cette entrevue à Luc";"to make easier"
"116";"-";"-";"+";"-";"<E>";"facturer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max a facturé ce plat 10 F à Léa";"to charge for"
"117";"-";"-";"+";"-";"<E>";"faire";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max fait un prix d'ami à Luc";"to grant"
"118";"~";"~";"~";"~";"<E>";"faire";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a fait un enfant à Léa";"?"
"119";"-";"-";"+";"-";"<E>";"faire Advp";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max m'a fait cette voiture(à un bon prix+1000F)";"?"
"120";"-";"-";"+";"-";"<E>";"faire tenir";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max fait tenir ce rapport à Luc";"?"
"121";"-";"-";"-";"+";"<E>";"faucher";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a fauché son briquet à Luc";"to pinch"
"122";"+";"-";"+";"-";"<E>";"ficher";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max fiche une claque à Luc";"to give"
"123";"+";"-";"+";"-";"<E>";"filer";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a filé (100 F+une trempe)à Luc";"to give"
"124";"-";"+";"-";"+";"<E>";"filouter";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"filou";"<E>";"<E>";"Max a filouté Ida d'une coquette somme";"to cheat"
"125";"+";"-";"+";"-";"<E>";"flanquer";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max flanque une claque à Luc";"to give"
"126";"-";"+";"-";"+";"<E>";"flibuster";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"flibustier";"<E>";"<E>";"Max a flibusté 1000 F à Luc";"to cheat"
"127";"-";"+";"+";"-";"<E>";"fourguer";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"?";"<E>";"fourgue";"Les cambrioleurs ont fourgué le butin à Max";"to flog"
"128";"-";"-";"+";"-";"<E>";"fourguer";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"<E>";"<E>";"fourgue";"Max a fourgué son char(E+1000 F)à Luc";"to flog"
"129";"-";"-";"+";"-";"<E>";"fournir";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"<E>";"fourniture";"<E>";"Max fournit du vin à Luc";"to supply"
"130";"+";"-";"+";"-";"<E>";"foutre";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max fout une claque à Luc";"to give"
"131";"-";"-";"-";"+";"<E>";"frauder";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"Max a fraudé une somme importante au fisc";"to defraud"
"132";"-";"-";"+";"-";"<E>";"fréter";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Cette compagnie frète des camions aux particuliers";"to charter"
"133";"-";"-";"-";"+";"<E>";"fréter";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Max a frété un camion à cette compagnie";"to charter"
"134";"~";"~";"~";"~";"<E>";"friponner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max friponné les économies du vieillard";"?"
"135";"-";"-";"-";"+";"<E>";"gagner";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"gain";"<E>";"Max a gagné cette voiture à Bob(E+au jeu)";"to win"
"136";"+";"-";"-";"+";"<E>";"garantir";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"L'épicier garantit ce vin à Max";"to guarantee"
"137";"-";"+";"+";"-";"<E>";"garder";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"gardien";"<E>";"<E>";"On a gardé (du rôti+une place)à Max";"to keep"
"138";"+";"-";"+";"-";"<E>";"garder";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Paul garde sa confiance à Max";"to keep"
"139";"~";"~";"~";"~";"<E>";"greffer";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On a greffé un rein à Max";"?"
"140";"+";"+";"-";"+";"<E>";"hériter";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";;"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"héritier";"héritage";"<E>";"Max a hérité une maison de son père";"to inherit"
"141";"~";"~";"~";"~";"<E>";"immoler";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Zoé a immolé une poule à ses dieux";"to sacrifice"
"142";"~";"~";"~";"~";"<E>";"imposer";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On a imposé un(ordinateur+collaborateur)à Max";"?"
"143";"+";"-";"+";"-";"<E>";"infliger";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Le juge a infligé une amende à Max";"to impose"
"144";"-";"-";"-";"+";"<E>";"kidnapper";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"On a kidnappé son fils à Max";"to kidnap"
"145";"~";"~";"~";"~";"<E>";"lâcher";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a lâché un gros pourboire à Paul";"to part with"
"146";"-";"-";"+";"-";"<E>";"laisser";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max laisse ce tapis à Luc pour cent francs";"?"
"147";"+";"-";"+";"-";"<E>";"laisser";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Son père laisse une fortune à Max";"to leave"
"148";"-";"-";"+";"-";"<E>";"léguer";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"legs";"<E>";"Son père a légué une fortune à Max";"to bequeath"
"149";"-";"-";"+";"-";"<E>";"livrer";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a livré Luc à la police";"to hand over"
"150";"-";"-";"+";"-";"<E>";"livrer";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"<E>";"livraison";"<E>";"Max livre du lait à Luc";"to deliver"
"151";"-";"-";"+";"-";"<E>";"louer";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"<E>";"<E>";"locataire";"Le propriétaire loue une chambre à Max";"to lease"
"152";"-";"+";"-";"+";"<E>";"louer";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"locataire";"<E>";"<E>";"Max loue une chambre au propriétaire";"to rent"
"153";"~";"~";"~";"~";"<E>";"mandater";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"L'assemblée a mandaté son traitement à Paul";"?"
"154";"-";"-";"-";"+";"<E>";"manger";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Cette opération mange (du temps+du fric)à Max";"to take up"
"155";"~";"~";"~";"~";"<E>";"manger";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a mangé une tour à Luc";"?"
"156";"-";"-";"-";"+";"<E>";"marauder";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max maraude des pommes(aux paysans+dans les champs)";"to pinch"
"157";"~";"~";"~";"~";"<E>";"ménager";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On ménage un temps de repos aux ouvriers";"?"
"158";"-";"+";"-";"+";"<E>";"mendier";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"mendiant";"<E>";"<E>";"Max mendie de l'argent aux passants";"to beg"
"159";"-";"+";"-";"+";"<E>";"mendigoter";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"mendigot";"<E>";"<E>";"Max mendigote de l'argent aux passants";"to beg"
"160";"-";"-";"+";"-";"<E>";"mesurer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max mesure les crédits à Luc";"to limit"
"161";"+";"-";"+";"-";"<E>";"mettre";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max met une claque à Luc";"to give"
"162";"~";"~";"~";"~";"<E>";"minuter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On minute à Max son temps de parole";"to limit"
"163";"~";"~";"~";"~";"<E>";"montrer";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a montré son passeport au douanier";"to present"
"164";"-";"+";"+";"-";"<E>";"moucharder";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"mouchard";"<E>";"<E>";"Toto a mouchardé Léa à Max";"to grass on"
"165";"-";"-";"+";"-";"<E>";"nommer";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"nom";"<E>";"Max a nommé ses complices à la police";"to hand over"
"166";"+";"-";"+";"-";"<E>";"obtenir";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Max a obtenu ce poste à Luc";"to get"
"167";"+";"-";"+";"-";"<E>";"octroyer";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"octroi";"<E>";"Luc a octroyé une prime à Max";"to grant"
"168";"-";"-";"+";"-";"<E>";"offrir";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"offre";"<E>";"Max a offert une montre à Ida";"to give"
"169";"~";"~";"~";"~";"<E>";"offrir";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max offre de l'aspirine à Luc";"to give"
"170";"-";"-";"+";"-";"<E>";"ordonner";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a ordonné de l'aspirine à Luc";"to prescribe"
"171";"~";"~";"~";"~";"<E>";"ôter";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Paul a ôté son manteau à Marie";"?"
"172";"-";"-";"+";"-";"<E>";"ouvrir";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a ouvert son école aux étrangers";"to open"
"173";"~";"~";"~";"~";"<E>";"passer";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a passé son stylo à Luc";"?"
"174";"~";"~";"~";"~";"<E>";"passer";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a passé Luc à Bob (E+au téléphone)";"?"
"175";"~";"~";"~";"~";"<E>";"paumer";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Paulo a paumé son fric à Luc";"?"
"176";"-";"-";"+";"-";"<E>";"payer";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max a payé une voiture à sa femme";"to buy"
"177";"-";"-";"+";"-";"<E>";"payer";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"Max paye ses impôts à l'Etat";"to pay"
"178";"+";"-";"-";"+";"<E>";"percevoir";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";;"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a perçu (son salaire+de l'argent+un impôt)de Luc";"to collect"
"179";"-";"-";"-";"+";"<E>";"pigeonner";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"<E>";"<E>";"pigeon";"Max a pigeonné 10 francs à Léa";"to do"
"180";"+";"-";"-";"+";"<E>";"piquer";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"<E>";"<E>";"<E>";"Max a piqué (100 F+sa voiture)à Ida";"to whip"
"181";"-";"+";"-";"+";"<E>";"pirater";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"pirate";"<E>";"<E>";"Max a piraté 100F à Léa";"to whip"
"182";"-";"+";"+";"-";"<E>";"placer";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"placier";"<E>";"<E>";"Max a placé une assurance à Léa";"to place"
"183";"-";"-";"+";"-";"<E>";"plaindre";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a plaint la boisson à ses invités";"to begrudge"
"184";"-";"-";"+";"-";"<E>";"pleurer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max pleure la boisson à ses invités";"to begrudge"
"185";"+";"-";"-";"+";"<E>";"prendre";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"<E>";"prise";"<E>";"Max a pris un stylo à Luc";"to take"
"186";"+";"-";"+";"-";"<E>";"préparer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max prépare une surprise à Luc";"to prepare"
"187";"~";"~";"~";"~";"<E>";"prescrire";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Le médecin a prescrit des calmants à Luc";"to prescribe"
"188";"-";"-";"+";"-";"<E>";"présenter";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a présenté l'orateur au public";"to introduce"
"189";"-";"-";"+";"-";"<E>";"présenter";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a présenté ses papiers à la police";"to present"
"190";"+";"-";"+";"-";"<E>";"prêter";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"prêt";"<E>";"Max a prêté (100 francs+sa voiture)à Luc";"to lend"
"191";"+";"-";"+";"-";"<E>";"procurer";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Max a procuré un lit à Luc";"to find"
"192";"+";"+";"+";"-";"<E>";"prodiguer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"?";"<E>";"<E>";"Max prodigue ses conseils à Luc";"to pour out"
"193";"-";"-";"+";"-";"<E>";"produire";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a produit des papiers à la police";"to produce"
"194";"-";"-";"+";"-";"<E>";"promettre";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a promis sa fille à Luc";"to promise to marry"
"195";"~";"~";"~";"~";"<E>";"promettre";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a promis un cadeau à Léa";"?"
"196";"-";"-";"+";"-";"<E>";"proposer";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Max propose sa marchandise aux passants";"to offer"
"197";"-";"-";"+";"-";"<E>";"prostituer";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"<E>";"prostitué";"<E>";"Max a prostitué Ida à un barbon";"to prostitute"
"198";"-";"-";"-";"+";"<E>";"quêter";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max quête de l'argent(auprès des+aux)promeneurs";"to beg"
"199";"-";"-";"-";"+";"<E>";"rabioter";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"rabiot";"<E>";"Max a rabioté 100 F à Luc sur les commissions";"to scrounge"
"200";"-";"-";"-";"+";"<E>";"racheter";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max a racheté ce prisonnier à la justice locale";"to ransom"
"201";"-";"-";"-";"+";"<E>";"racheter";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max a racheté cette voiture à Luc";"to buy"
"202";"-";"-";"-";"+";"<E>";"rafler";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a raflé ce lot à Luc";"to run off with"
"203";"-";"-";"-";"+";"<E>";"rapiner";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"rapine";"<E>";"Les soudards ont rapiné le bétail aux paysans";"to plunder"
"204";"~";"~";"~";"~";"<E>";"rapporter";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Cet immeuble rapporte du fric à Max";"?"
"205";"-";"-";"+";"-";"<E>";"raquer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"<E>";"<E>";"<E>";"Max a raqué le montant des travaux à Bob";"to cough up"
