"<ID>";"N0 lieu source de N1";"N0 lieu de destination de N1";"N1 V W";"N2 V N1";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N0 dé-V N1 Loc N3 nv-dest";"N0 V N0pc W";"N0 V N1 sur N1pc";"N1 être V-n";"N1 =: coup";"N1 =: trou";"N0 V N2 (E+de N1)";"Loc N2 =: dans N2";"Loc N2 =: sur N2";"Loc N2 =: contre N2";"Loc N2 =: à N2";"Loc N2 =: autour de N2";"Loc N2 =: vers N2";"Ppv =: y";"N2 être V-n";"de combien ?";"Loc N2 =: sur lui1-même";"N1 être Vpp (statique)";"N1 =: Qu P métaphore";"à Nhum destination";"à Nhum =: Loc Npc";"N1 =: mot, N2 =: texte";"N1 =: idée, N2 =: esprit";"N0 V N1abs Loc N2abs";"N0 V N1hum Loc N2abs";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>"
"91";"-";"-";"-";"-";"<E>";"-";"dresser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max dresse le mât dans la cour"
"92";"-";"-";"+";"-";"<E>";"-";"ébouler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le choc a éboulé le mur du sol"
"93";"-";"-";"-";"-";"<E>";"-";"écluser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"écluse";"Max a éclusé la péniche"
"94";"-";"-";"-";"-";"<E>";"-";"écrabouiller";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a écrabouillé une tomate dans la sauce"
"95";"-";"-";"-";"-";"<E>";"-";"écraser";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a écrasé le nez sur la vitre"
"96";"-";"-";"-";"-";"<E>";"-";"écrouler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Le choc a écroulé le mur"
"97";"-";"-";"-";"-";"<E>";"-";"effondrer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"L'orage a effondré le mur dans le fossé"
"98";"-";"-";"-";"-";"<E>";"-";"égarer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"<E>";"<E>";"Max a égaré sa montre(E+dans la maison+sur la table)"
"99";"-";"-";"-";"-";"<E>";"-";"emboutir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a embouti sa voiture(E+dans un platane)"
"100";"-";"-";"-";"+";"<E>";"-";"employer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max emploie du beurre(dans+pour)sa cuisine"
"101";"~";"~";"~";"~";"<E>";"-";"emporter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le courant emporte le bateau vers le large"
"102";"-";"-";"-";"+";"<E>";"-";"emprisonner";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"prisonnier";"prison";"Max emprisonne la pièce dans les mâchoires de l'étau"
"103";"-";"-";"-";"+";"<E>";"-";"enclaver";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"<E>";"<E>";"Max a enclavé l'anneau dans le mousqueton"
"104";"-";"-";"-";"+";"<E>";"-";"enfermer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"Max a enfermé Ida dans(la cave+un couvent)"
"105";"-";"-";"-";"-";"<E>";"-";"engager";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a engagé sa montre au Mont de piété"
"106";"-";"-";"-";"+";"<E>";"-";"englober";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"<E>";"globe";"On englobe Madagascar dans l'Afrique"
"107";"-";"-";"-";"+";"<E>";"-";"enkyster";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"kyste";"Ce traitement a enkysté (la tumeur+le kyste)"
"108";"~";"~";"~";"~";"<E>";"-";"enliser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a enlisé son char dans la glèbe"
"109";"-";"-";"-";"-";"<E>";"-";"enraciner";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"racine";"<E>";"Ce traitement enracine plus vite les arbustes dans le sol"
"110";"-";"-";"-";"-";"<E>";"-";"enrouler";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a enroulé la bouteille dans un journal"
"111";"-";"-";"-";"-";"<E>";"-";"enserrer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"serre";"Max enserre son bras dans un linge"
"112";"~";"~";"~";"~";"<E>";"-";"entrevoir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a entrevu Luc à un carrefour"
"113";"~";"~";"~";"~";"<E>";"-";"essayer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max essaye la clé dans la serrure"
"114";"-";"-";"-";"-";"<E>";"-";"étaler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max étale (des papiers sur le sol+du beurre sur la tartine)"
"115";"-";"-";"-";"-";"<E>";"-";"étendre";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max étend la carte sur la table"
"116";"-";"-";"+";"-";"<E>";"-";"étuver";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"étuve";"Max étuve les endives dans un pot"
"117";"~";"~";"~";"~";"<E>";"-";"éventer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max évente ses vêtements sur la terrasse"
"118";"-";"-";"-";"+";"<E>";"-";"exposer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max expose des toiles dans son salon"
"119";"~";"~";"~";"~";"<E>";"-";"fac-similer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a fac-similé ce livre sur un beau papier"
"120";"-";"-";"-";"-";"<E>";"-";"faire";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max fait le lièvre dans une marinade"
"121";"~";"~";"~";"~";"<E>";"-";"faire";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a fait cinq ans dans cette maison"
"122";"-";"-";"-";"-";"<E>";"-";"faire revenir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max fait revenir le steak dans la poêle"
"123";"-";"-";"-";"-";"<E>";"-";"faufiler";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"fil";"<E>";"Max faufile un fil rouge sur ce tissu"
"124";"-";"-";"-";"+";"<E>";"-";"figer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"La crise a figé le pays à ce stade de développement"
"125";"~";"~";"~";"~";"<E>";"-";"frapper";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a frappé la balle vers le but"
"126";"~";"~";"~";"~";"<E>";"-";"fricasser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max fricasse la volaille dans une poêle"
"127";"-";"-";"+";"-";"<E>";"-";"frire";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"friture";"<E>";"Max frit les(beignets+poissons)dans l'huile"
"128";"-";"-";"+";"-";"<E>";"-";"frotter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max frotte le chiffon sur la vitre"
"129";"-";"-";"-";"-";"<E>";"-";"fumer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max fume ses jambons(sur un feu de bois+dans un fumoir)"
"130";"-";"-";"-";"-";"<E>";"-";"garder";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"Max garde le doigt sur le bouton"
"131";"-";"+";"-";"+";"<E>";"-";"garder";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max garde le lait au frigo"
"132";"~";"~";"~";"~";"<E>";"-";"glisser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a glissé le tapis sur le parquet de 10 cm."
"133";"-";"-";"-";"-";"<E>";"-";"gouverner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max gouverne le bateau vers la côte"
"134";"-";"-";"+";"-";"<E>";"-";"griller";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"grillade";"grill";"Max grille le steak sur le grill"
"135";"-";"-";"-";"-";"<E>";"-";"guider";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Cet ergot guide le tissu dans la fente"
"136";"~";"~";"~";"~";"<E>";"-";"herber";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On herbe le linge sur l'herbe"
"137";"-";"+";"-";"+";"<E>";"-";"immobiliser";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"La maladie immobilise Paul chez lui"
"138";"~";"~";"~";"~";"<E>";"-";"immobiliser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a immobilisé son auto au feu rouge"
"139";"-";"-";"+";"-";"<E>";"-";"incliner";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max incline l'abat-jour vers la feuille"
"140";"-";"-";"-";"-";"<E>";"-";"incuber";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"On incube les oeufs dans une couveuse"
"141";"-";"-";"-";"-";"<E>";"-";"infléchir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"L'état a infléchi sa politique vers un compromis"
"142";"-";"-";"+";"+";"<E>";"-";"infuser";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"infusion";"<E>";"Max infuse le thé dans de l'eau chaude"
"143";"-";"-";"-";"-";"<E>";"-";"laisser";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"<E>";"<E>";"Max laisse le poisson dans le bouillon"
"144";"~";"~";"~";"~";"<E>";"-";"laisser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a laissé le livre sur la table"
"145";"~";"~";"~";"~";"<E>";"-";"laisser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Vous laissez la maison sur votre droite et vous tournez à gauche"
"146";"~";"~";"~";"~";"<E>";"-";"laisser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a laissé un bras à Iéna"
"147";"~";"~";"~";"~";"<E>";"-";"laisser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a laissé (une marge+une espace) (E+sur la feuille)"
"148";"~";"~";"~";"~";"<E>";"-";"lever";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max lève le(rideau+pont-levis)de dix centimètres|vers le haut|"
"149";"~";"~";"~";"~";"<E>";"-";"lire";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max lit l'indication sur le compteur"
"150";"-";"-";"-";"+";"<E>";"-";"localiser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"<E>";"local";"Max a localisé Gap en Iran"
"151";"-";"-";"-";"-";"<E>";"-";"lover";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max love le film dans le panier"
"152";"-";"-";"+";"+";"<E>";"-";"macérer";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"On macère les cerises dans l'eau de vie"
"153";"-";"+";"-";"+";"<E>";"-";"maintenir";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"Cette cale maintient la porte contre le mur"
"154";"-";"-";"+";"+";"<E>";"-";"mariner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"<E>";"marinade";"Max a mariné la daube dans du vin rouge"
"155";"-";"-";"-";"+";"<E>";"-";"matraquer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Max a matraqué cette pub(sur+à)la radio"
"156";"~";"~";"~";"~";"<E>";"-";"médiatiser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On médiatise l'information à la télé"
"157";"-";"-";"-";"-";"ne ";"+";"ménager";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max ne ménage pas le beurre dans la cuisine"
"158";"-";"-";"-";"-";"<E>";"-";"mettre";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"<E>";"<E>";"Max met cette ville dans le Sud"
"159";"~";"~";"~";"~";"<E>";"-";"mijoter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max mijote des tomates dans la cocotte"
"160";"-";"-";"-";"-";"<E>";"-";"mirer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max se mire dans(la rivière+le miroir)"
"161";"~";"~";"~";"~";"<E>";"-";"mouiller";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul a mouillé sa tartine dans le café"
"162";"~";"~";"~";"~";"<E>";"-";"mouler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max moule de l'argile(E+en briques)dans des moules"
"163";"~";"~";"~";"~";"<E>";"-";"mouvoir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max mouvait ses 100 kilos vers la sortie"
"164";"-";"-";"+";"-";"<E>";"-";"napper";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Paul a nappé du chocolat sur le gâteau"
"165";"-";"-";"+";"-";"<E>";"-";"obliquer";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max oblique son fusil vers la cible"
"166";"-";"-";"-";"+";"<E>";"-";"omettre";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max a omis un nom(E+dans la liste)"
"167";"-";"-";"-";"-";"<E>";"-";"orienter";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max oriente sa villa vers la mer"
"168";"-";"-";"-";"-";"<E>";"-";"oublier";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max a oublié son manteau au restaurant"
"169";"-";"-";"+";"-";"<E>";"-";"passer";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max passe la brosse sur sa veste"
"170";"+";"-";"-";"-";"<E>";"-";"paumer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max a paumé sa montre dans le bois"
"171";"~";"~";"~";"~";"<E>";"-";"payer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On paie une taxe sur ces produits"
"172";"-";"-";"+";"-";"<E>";"-";"pencher";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max penche la bouteille vers la droite"
"173";"-";"-";"-";"-";"<E>";"-";"percevoir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max perçoit une lueur dans la nuit"
"174";"-";"-";"+";"-";"<E>";"-";"percher";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max perche ce bled dans le Nord"
"175";"-";"-";"-";"-";"<E>";"-";"perdre";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max a perdu sa montre dans l'escalier"
"176";"~";"~";"~";"~";"<E>";"-";"perdre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les parents ont perdu le petit Poucet dans la forêt"
"177";"-";"-";"-";"-";"<E>";"-";"photocopier";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max photocopie le schéma sur papier bleu"
"178";"-";"-";"-";"-";"<E>";"-";"pianoter";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"piano";"Max pianote un message sur la table"
"179";"~";"~";"~";"~";"<E>";"-";"pincer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Luc a pincé les doigts de Max dans la porte"
"180";"-";"-";"+";"-";"<E>";"-";"pivoter";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max pivote le canon vers la porte"
"181";"-";"-";"-";"+";"<E>";"-";"placer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"<E>";"place";"Max place cette ville dans le Sud"
"182";"~";"~";"~";"~";"<E>";"-";"plafonner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a plafonné les cotisations à 100F"
"183";"-";"-";"-";"-";"<E>";"-";"planter";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a planté son chevalet sur la place"
