"<ID>";"N0 =: Nhum";"N0 =: N-hum";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"thèmeN1";"N0 V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N1 être V-n";"V-n instrument";"N1 être Vpp W";"N1 être V-n (forme V-n)";"V-n instrument (forme V-n)";"<OPT>"
"160";"+";"-";"<E>";"-";"-";"chiquer";"-";"+";"-";"tabac";"-";"-";"-";"-";"+";"-";"-";"chique";"?";"Max chique du tabac"
"161";"~";"~";"<E>";"-";"-";"choper";"-";"+";"-";"coup";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Paul a chopé le(coup+tour de main)"
"162";"~";"~";"<E>";"-";"-";"chuchoter";"-";"+";"-";"consonne";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Cet élève chuchote les consonnes"
"163";"~";"~";"<E>";"-";"-";"chuinter";"-";"+";"-";"consonne";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Cet élève chuinte cette consonne"
"164";"~";"~";"<E>";"-";"-";"circonscrire";"-";"+";"-";"polygone";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Le mathématicien circonscrit le polygone"
"165";"~";"~";"<E>";"-";"-";"claironner";"-";"+";"-";"satisfaction";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max claironne sa satisfaction"
"166";"~";"~";"<E>";"-";"-";"claquer";"-";"+";"-";"muscle";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a claqué un muscle"
"167";"+";"-";"<E>";"-";"-";"classer";"-";"+";"-";"affaire";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a classé l'affaire"
"168";"~";"~";"<E>";"-";"-";"cliquer";"-";"+";"-";"fichier";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a cliqué le mauvais(fichier+icône)"
"169";"~";"~";"<E>";"-";"-";"cliver";"-";"+";"-";"phrase";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";" cliver une phrase"
"170";"~";"~";"<E>";"-";"-";"cloner";"-";"+";"-";"animal";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Luc a cloné cette plante(E+en plusieurs clones)"
"171";"~";"~";"<E>";"-";"-";"cloper";"-";"+";"-";"cigarette";"~";"~";"~";"~";"+";"-";"~";"clope";"?";"Max clope du tabac"
"172";"~";"~";"<E>";"-";"-";"colmater";"-";"+";"-";"fuite";"~";"~";"~";"~";"-";"+";"~";"<E>";"?";"Max a colmaté la fuite"
"173";"-";"+";"<E>";"-";"-";"commander";"-";"+";"-";"accès";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Ce piton commande (E+l'accès à)la vallée"
"174";"+";"-";"<E>";"-";"-";"commenter";"-";"+";"-";"match";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a commenté ce texte"
"175";"+";"-";"<E>";"-";"-";"compiler";"-";"+";"-";"programme";"-";"+";"-";"+";"-";"-";"-";"<E>";"?";"Max compile ses programmes"
"176";"~";"~";"<E>";"-";"-";"composer";"-";"+";"-";"personnage";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"L'acteur compose un personnage"
"177";"~";"~";"<E>";"-";"-";"composer";"-";"+";"-";"visage";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max compose un visage"
"178";"~";"~";"<E>";"-";"-";"comprendre";"-";"+";"-";"langue";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max comprend (cette langue+l'anglais)"
"179";"+";"-";"<E>";"-";"-";"comprimer";"-";"+";"-";"sentiment";"-";"-";"+";"-";"-";"-";"+";"<E>";"?";"Max comprime son(sentiment+envie de rire)"
"180";"~";"~";"<E>";"-";"-";"compter";"-";"+";"-";"heures";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max compte les(heures+jours)"
"181";"~";"~";"<E>";"-";"-";"condamner";"-";"+";"-";"zone";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"On a condamné (une zone+le salon)"
"182";"~";"~";"<E>";"-";"-";"conduire";"-";"+";"-";"courant";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Le fer conduit le courant"
"183";"~";"~";"<E>";"-";"-";"conduire";"-";"+";"-";"machine";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max conduit (des camions+des machines)"
"184";"~";"~";"<E>";"-";"-";"conduire";"-";"+";"-";"orchestre";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max conduit un orchestre"
"185";"~";"~";"<E>";"-";"-";"conduire";"-";"+";"-";"enquête";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max conduit une enquête"
"186";"+";"-";"<E>";"-";"-";"configurer";"-";"+";"-";"système";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a configuré son système"
"187";"+";"-";"<E>";"-";"-";"conjurer";"-";"+";"-";"sort";"+";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a conjuré le mauvais sort"
"188";"~";"~";"<E>";"-";"-";"conjurer";"-";"+";"-";"crise";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a réussi à conjurer (le naufrage+la crise)"
"189";"+";"-";"<E>";"-";"-";"connaître";"-";"+";"-";"langue";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max connaît la langue"
"190";"~";"~";"<E>";"-";"-";"consacrer";"-";"+";"-";"hostie";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"On a consacré cette hostie"
"191";"~";"~";"<E>";"-";"-";"consigner";"-";"+";"-";"accès";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a consigné les accès des lieux"
"192";"~";"~";"<E>";"-";"-";"conspuer";"-";"+";"-";"spectacle";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Les spectateurs ont conspué le spectacle"
"193";"~";"~";"<E>";"-";"-";"constater";"-";"+";"-";"état des lieux";"~";"~";"~";"~";"-";"+";"~";"<E>";"?";"Max constate l'état des lieux"
"194";"~";"~";"<E>";"-";"-";"contenter";"-";"+";"-";"curiosité";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Luc contente sa curiosité"
"195";"~";"~";"<E>";"-";"-";"contenter";"-";"+";"-";"sensation";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Luc contente sa(sensation+faim+soif)"
"196";"~";"~";"<E>";"-";"-";"contourner";"-";"+";"-";"loi";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max contourne (le règlement+la loi)"
"197";"+";"-";"<E>";"-";"-";"contracter";"-";"+";"-";"maladie";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a contracté la(variole+maladie)"
"198";"~";"~";"<E>";"-";"-";"contracter";"-";"+";"-";"muscle";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max contracte ses muscles"
"199";"~";"~";"<E>";"-";"-";"contracter";"-";"+";"-";"contrat";"~";"~";"~";"~";"+";"-";"~";"<E>";"?";"Max contracte un(contrat+bail+mariage+alliance)|avec Paul|"
"200";"~";"~";"<E>";"-";"-";"contraster";"-";"+";"-";"photo";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a contrasté cette photo"
"201";"+";"-";"<E>";"-";"-";"contrefaire";"-";"+";"-";"signature";"-";"-";"-";"+";"+";"-";"-";"<E>";"?";"Max contrefait sa voix au téléphone"
"202";"+";"-";"<E>";"-";"-";"contrer";"-";"+";"-";"contrat";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a contré le contrat à coeur"
"203";"~";"~";"<E>";"-";"-";"contretyper";"-";"+";"-";"photo";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a contretypé la photo"
"204";"~";"~";"<E>";"-";"-";"contrôler";"-";"+";"-";"ballon";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Le joueur contrôle le ballon"
"205";"~";"~";"<E>";"-";"-";"coraniser";"-";"+";"-";"<E>";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Les Mollah coranisent la population indigène"
"206";"+";"-";"<E>";"-";"-";"correctionnaliser";"-";"+";"-";"crime";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Cette loi correctionnalise le(viol+crime)"
"207";"+";"-";"<E>";"-";"-";"corriger";"-";"+";"-";"copies";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Ida corrige (des copies+le Bac)"
"208";"~";"~";"<E>";"-";"-";"corriger";"-";"+";"-";"erreur";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max corrige les erreurs de ce texte"
"209";"~";"~";"<E>";"-";"-";"corser";"-";"+";"-";"facture";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a corsé (la note+la facture)"
"210";"~";"~";"<E>";"-";"-";"coucher";"-";"+";"-";"écriture";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max couche son écriture"
"211";"~";"~";"<E>";"-";"-";"couler";"-";"+";"-";"affaire";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Ida a coulé son(affaire+entreprise)"
"212";"+";"-";"<E>";"-";"-";"couper";"-";"+";"-";"carte";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a coupé un carreau avec le dix d'atout"
"213";"+";"-";"<E>";"-";"-";"couper";"-";"+";"-";"balle";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a coupé (sa balle+son revers)"
"214";"+";"-";"<E>";"-";"-";"courir";"-";"+";"-";"risque";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max court cet animal"
"215";"~";"~";"<E>";"-";"-";"courir";"-";"+";"-";"course";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max court le cent mètres"
"216";"-";"-";"<E>";"-";"-";"couronner";"-";"+";"-";"efforts";"+";"-";"-";"+";"-";"+";"-";"<E>";"?";"Ce prix couronne les efforts de Max"
"217";"~";"~";"<E>";"-";"-";"court-circuiter";"-";"+";"-";"appareil";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a court-circuité (cet appareil+un circuit)"
"218";"+";"-";"<E>";"-";"-";"couvrir";"-";"+";"-";"événement";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a couvert les événements d'hier"
"219";"~";"~";"<E>";"-";"-";"couvrir";"-";"+";"-";"période";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ce livre couvre (cette période+dix ans d'histoire)"
"220";"-";"+";"<E>";"-";"-";"couvrir";"-";"+";"-";"risque";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Cette clause couvre cet accident(le vol+l'incendie..)"
"221";"~";"~";"<E>";"-";"-";"couvrir";"-";"+";"-";"territoire";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Cette carte couvre (ce territoire+la France)"
"222";"~";"~";"<E>";"-";"-";"couvrir";"-";"+";"-";"dix km";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a couvert les dix km. en une heure"
"223";"~";"~";"<E>";"-";"-";"craquer";"-";"+";"-";"fric";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Paul craque tout son(fric+héritage)"
"224";"~";"~";"<E>";"-";"-";"créer";"-";"+";"-";"rôle";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a créé ce rôle"
"225";"~";"~";"<E>";"-";"-";"créer";"-";"+";"-";"pièce";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max crée cette pièce"
"226";"+";"-";"<E>";"-";"-";"creuser";"-";"+";"-";"dos";"-";"+";"+";"+";"-";"-";"-";"<E>";"?";"Max creuse (la taille+les reins+le dos)"
"227";"~";"~";"<E>";"-";"-";"creuser";"-";"+";"-";"fossé";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ceci a creusé (l'écart+le fossé+l'abime)"
"228";"+";"-";"<E>";"-";"-";"crier";"-";"+";"-";"journaux";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max crie des journaux"
"229";"+";"-";"<E>";"-";"-";"criminaliser";"-";"+";"-";"délit";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Cette nouvelle loi criminalise le(viol+délit)"
"230";"+";"-";"<E>";"-";"-";"critiquer";"-";"+";"-";"oeuvre";"-";"-";"-";"-";"-";"+";"-";"<E>";"?";"Max a critiqué élogieusement(ce roman+cet oeuvre)"
"231";"~";"~";"<E>";"-";"-";"crocheter";"-";"+";"-";"serrure";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a crocheté la serrure"
"232";"~";"~";"<E>";"-";"-";"croquer";"-";"+";"-";"héritage";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max croque son héritage"
"233";"~";"~";"<E>";"-";"-";"cuber";"-";"+";"-";"chiffre";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le mathématicien cube ce chiffre"
"234";"-";"+";"<E>";"-";"-";"cuire";"-";"+";"-";"peau";"-";"+";"-";"+";"-";"+";"-";"<E>";"?";"Le soleil cuit (la prairie+les plantes)"
"235";"~";"~";"<E>";"-";"-";"culbuter";"-";"+";"-";"prix";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ce commerçant culbute ses prix"
"236";"~";"~";"<E>";"-";"-";"cultiver";"-";"+";"-";"genre";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max cultive le genre bohême"
"237";"+";"-";"<E>";"-";"-";"danser";"-";"+";"-";"ballet";"-";"-";"-";"-";"+";"-";"-";"danse";"?";"Ida danse un ballet"
"238";"+";"-";"<E>";"-";"-";"danser";"-";"+";"-";"danse";"-";"-";"-";"-";"+";"-";"-";"danse";"?";"Max danse (le tango+une danse)"
"239";"~";"~";"<E>";"-";"-";"déblayer";"-";"+";"-";"problème";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a déblayé le problème"
"240";"~";"~";"<E>";"-";"-";"déborder";"-";"+";"-";"temps";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'émission déborde le temps imparti"
"241";"+";"-";"<E>";"-";"-";"débroussailler";"-";"+";"-";"problème";"+";"-";"-";"+";"-";"+";"-";"<E>";"?";"Luc a débroussaillé le problème"
"242";"~";"~";"<E>";"-";"-";"débuter";"-";"+";"-";"activité";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max débute (une activité+la danse+l'anglais)"
"243";"~";"~";"<E>";"-";"-";"décanter";"-";"+";"-";"situation";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ceci décante la situation"
"244";"~";"~";"<E>";"-";"-";"déchiffrer";"-";"+";"-";"mélodie";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a déchiffré la mélodie"
"245";"~";"~";"<E>";"-";"-";"déchiffrer";"-";"+";"-";"code";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a déchiffré le code"
"246";"~";"~";"<E>";"-";"-";"déclamer";"-";"+";"-";"texte";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a déclamé (ce texte+ces vers)"
"247";"+";"-";"<E>";"-";"-";"décoloniser";"-";"+";"-";"pays";"+";"+";"-";"+";"-";"-";"-";"<E>";"?";"Le roi a décolonisé ce pays"
"248";"+";"-";"<E>";"-";"-";"décommander";"-";"+";"-";"rendez-vous";"-";"-";"+";"+";"-";"-";"+";"<E>";"?";"Max a décommandé ses invités"
"249";"~";"~";"<E>";"-";"-";"découvrir";"-";"+";"-";"pays";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"C.Colomb a découvert (ce pays+l'Amérique)"
"250";"~";"~";"<E>";"-";"-";"décrémenter";"-";"+";"-";"variable";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a décrémenté cette variable"
"251";"+";"-";"<E>";"-";"-";"décrocher";"-";"+";"-";"téléphone";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max décroche le téléphone"
"252";"-";"-";"<E>";"-";"-";"décupler";"-";"+";"-";"forces";"+";"+";"-";"+";"-";"+";"-";"<E>";"?";"Cette nouvelle décuple ces forces"
"253";"~";"~";"<E>";"-";"-";"dégourdir";"-";"+";"-";"jambe";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max dégourdit ses(jambes+membres)"
"254";"~";"~";"<E>";"-";"-";"dégourdir";"-";"+";"-";"liquide";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max dégourdit (l'eau+le liquide)"
"255";"~";"~";"<E>";"-";"-";"dégrader";"-";"+";"-";"temps";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Les perturbations ont dégradé le temps"
"256";"~";"~";"<E>";"-";"-";"déguiser";"-";"+";"-";"voix";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a déguisé sa voix à Max"
"257";"+";"+";"<E>";"-";"-";"démarquer";"-";"+";"-";"oeuvre";"-";"-";"-";"+";"-";"+";"-";"<E>";"?";"Max a démarqué cet oeuvre"
"258";"~";"~";"<E>";"-";"-";"démarrer";"-";"+";"-";"activité";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max démarre cet activité"
"259";"~";"~";"<E>";"-";"-";"démarrer";"-";"+";"-";"moteur";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max démarre le moteur"
"260";"~";"~";"<E>";"-";"-";"dématérialiser";"-";"+";"-";"action";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";" Dématérialiser des actions de la bourse"
"261";"~";"~";"<E>";"-";"-";"démolir";"-";"+";"-";"oeuvre";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"La critique a démoli cette oeuvre"
"262";"~";"~";"<E>";"-";"-";"démontrer";"-";"+";"-";"appareil";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max démontre des appareils"
"263";"+";"-";"<E>";"-";"-";"dénoncer";"-";"+";"-";"contrat";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max dénonce le contrat"
"264";"~";"~";"<E>";"-";"-";"dépasser";"-";"+";"-";"pouvoir";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max dépasse ses pouvoirs"
"265";"+";"-";"<E>";"-";"-";"dépenser";"-";"+";"-";"énergie";"+";"-";"-";"-";"-";"-";"+";"<E>";"?";"Ce four dépense de l'énergie"
"266";"~";"~";"<E>";"-";"-";"dépenser";"-";"+";"-";"argent";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max dépense beaucoup d'argent"
"267";"~";"~";"<E>";"-";"-";"déphaser";"-";"+";"-";"courant";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Cet appareil a déphasé le courant"
"268";"~";"~";"<E>";"-";"-";"dépiler";"-";"+";"-";"charbon";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ce mineur dépile le charbon"
"269";"~";"~";"<E>";"-";"-";"déplacer";"-";"+";"-";"difficulté";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a déplacé la difficulté"
"270";"+";"-";"<E>";"-";"-";"déposer";"-";"+";"-";"moteur";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Le mécano a déposé le moteur"
"271";"~";"~";"<E>";"-";"-";"dépouiller";"-";"+";"-";"courrier";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max dépouille son courrier"
"272";"~";"~";"<E>";"-";"-";"dépoussiérer";"-";"+";"-";"texte";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a dépoussiéré ce texte"
"273";"~";"~";"<E>";"-";"-";"dériver";"-";"+";"-";"fonction";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a dérivé cette fonction"
"274";"~";"~";"<E>";"-";"-";"désaffecter";"-";"+";"-";"local";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a désaffecté ce local"
"275";"~";"~";"<E>";"-";"-";"descendre";"-";"+";"-";"niveau";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max descend le niveau"
"276";"~";"~";"<E>";"-";"-";"descendre";"-";"+";"-";"avion";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max descend l'avion"
"277";"~";"~";"<E>";"-";"-";"descendre";"-";"+";"-";"auteur";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a descendu l'auteur"
"278";"~";"~";"<E>";"-";"-";"désemparer";"-";"+";"-";"bateau";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"La tempête a désemparé le barreau"
"279";"-";"-";"<E>";"-";"-";"désorienter";"-";"+";"-";"boussole";"+";"-";"-";"+";"-";"-";"-";"<E>";"?";"L'orage magnétique a désorienté la boussole"
"280";"~";"~";"<E>";"-";"-";"dessiner";"-";"+";"-";"taille";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max dessine la taille"
"281";"~";"~";"<E>";"-";"-";"détacher";"-";"+";"-";"mot";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Paul détache ses mots"
"282";"~";"~";"<E>";"-";"-";"détériorer";"-";"+";"-";"situation";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ceci a détérioré la situation"
"283";"~";"~";"<E>";"-";"-";"déterminer";"-";"+";"-";"mot";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'article détermine le mot"
"284";"~";"~";"<E>";"-";"-";"détourner";"-";"+";"-";"fonds";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a détourné les fonds"
"285";"~";"~";"<E>";"-";"-";"détraquer";"-";"+";"-";"temps";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ces phénomènes ont détraqué le temps"
"286";"+";"-";"<E>";"-";"-";"devancer";"-";"+";"-";"date";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a devancé l'appel"
"287";"+";"-";"<E>";"-";"-";"développer";"-";"+";"-";"cent kilos";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max développe cent kilos"
"288";"+";"-";"<E>";"-";"-";"développer";"-";"+";"-";"film";"-";"+";"-";"+";"-";"-";"-";"<E>";"?";"Max a développé le film"
"289";"~";"~";"<E>";"-";"-";"développer";"-";"+";"-";"cône";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a développé un cône"
"290";"~";"~";"<E>";"-";"-";"développer";"-";"+";"-";"produit";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a développé ce produit"
"291";"~";"~";"<E>";"-";"-";"dévitaliser";"-";"+";"-";"dent";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a dévitalisé la dent"
"292";"~";"~";"<E>";"-";"-";"dévorer";"-";"+";"-";"livre";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max dévore son livre"
"293";"+";"-";"<E>";"-";"-";"dialoguer";"-";"+";"-";"film";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a dialogué ce film"
"294";"~";"~";"<E>";"-";"-";"diffuser";"-";"+";"-";"émission";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a diffusé cet émission hier"
"295";"~";"~";"<E>";"-";"-";"digitaliser";"-";"+";"-";"information";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a digitalisé ces informations"
"296";"~";"~";"<E>";"-";"-";"diligenter";"-";"+";"-";"affaire";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Les juges ont diligenté cette affaire"
"297";"~";"~";"<E>";"-";"-";"diluer";"-";"+";"-";"texte";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a dilué son texte"
"298";"+";"-";"<E>";"-";"-";"dire";"-";"+";"-";"expression";"-";"-";"-";"-";"+";"-";"-";"dire";"?";"Max a dit cette expression"
"299";"+";"-";"<E>";"-";"-";"dire";"-";"+";"-";"texte";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a dit ce texte"
"300";"~";"~";"<E>";"-";"-";"discipliner";"-";"+";"-";"cheveux";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max discipline ses cheveux"
"301";"~";"~";"<E>";"-";"-";"disséquer";"-";"+";"-";"cadavre";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a disséqué le cadavre"
"302";"+";"-";"<E>";"-";"-";"dissoudre";"-";"+";"-";"mariage";"-";"-";"-";"+";"-";"+";"-";"<E>";"?";"Max a dissout le mariage"
"303";"~";"~";"<E>";"-";"-";"distordre";"-";"+";"-";"son";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ce HP distord les sons"
"304";"~";"~";"<E>";"-";"-";"distribuer";"-";"+";"-";"film";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le metteur en scène a distribué le film"
"305";"+";"-";"<E>";"-";"-";"domestiquer";"-";"+";"-";"énergie";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Les savants domestiquent l'énergie"
"306";"+";"-";"<E>";"-";"-";"dominer";"-";"+";"-";"problème";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max domine le problème"
"307";"+";"-";"<E>";"-";"-";"dominer";"-";"+";"-";"pulsion";"-";"-";"+";"-";"-";"-";"+";"<E>";"?";"Max domine ses pulsions"
"308";"-";"+";"<E>";"-";"-";"donner ";"-";"+";"-";"film";"-";"+";"-";"-";"-";"-";"-";"<E>";"?";"Max donne un film"
"309";"+";"-";"<E>";"-";"-";"doubler";"-";"+";"-";"classe";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a doublé cette classe"
"310";"~";"~";"<E>";"-";"-";"dresser";"-";"+";"-";"table";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Léa a dressé la table"
"311";"~";"~";"<E>";"-";"-";"droper";"-";"+";"-";"ballon";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a dropé le ballon"
"312";"~";"~";"<E>";"-";"-";"dropper";"-";"+";"-";"ballon";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a droppé le ballon"
"313";"~";"~";"<E>";"-";"-";"dumper";"-";"+";"-";"produit";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a dumper ce produit"
"314";"~";"~";"<E>";"-";"-";"duplexer";"-";"+";"-";"signal";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le technicien a duplexé le signal"
"315";"~";"~";"<E>";"-";"-";"écailler";"-";"+";"-";"truites";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le poissonnier a écaillé la truite"
"316";"~";"~";"<E>";"-";"-";"écarter";"-";"+";"-";"carte";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le joueur a écarté la carte de son jeu"
"317";"~";"~";"<E>";"-";"-";"échauffer";"-";"+";"-";"muscle";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a échauffé ses muscles"
"318";"~";"~";"<E>";"-";"-";"éclairer";"-";"+";"-";"phare";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le chauffeur a éclairé les phares"
"319";"~";"~";"<E>";"-";"-";"éclater";"-";"+";"-";"pneu";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"La voiture a éclaté un pneu"
"320";"~";"~";"<E>";"-";"-";"éclater";"-";"+";"-";"couture";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a éclaté ses coutures"
"321";"~";"~";"<E>";"-";"-";"éclipser";"-";"+";"-";"soleil";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"La lune a éclipsé le soleil"
"322";"+";"-";"<E>";"-";"-";"écorcher";"-";"+";"-";"langue";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max écorche la langue française"
"323";"+";"-";"<E>";"-";"-";"écouter";"-";"+";"-";"radio";"-";"-";"-";"-";"+";"-";"-";"?";"?";"Max écoute la radio"
