"<ID>";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"dé-V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Npc obl";"N0 V N1";"Prép2 =: avec";"Prép2 =: dans";"Prép2 =: en";"N2 =: Nhum";"N2 =: N-hum";"N2 =: trou";"N2 =: couche";"N2 =: coup";"N2 apparition";"N2 =: Npl obl";"N2 être V-n, Sfx = E";"N2 être V-n, Sfx # E";"Sfx =: age";"Sfx =: ment";"Sfx =: tion";"Sfx =: ure";"V-n instrument";"N1 =: texte, N2 =: mot";"N1 =: esprit, N2 =: idée";"N0 V N1hum de N2abs";"N0 V N2 (E+Loc N1 destination)";"N0 mettre V-n Loc N1";"N0 faire V-n Prép N1";"N0 donner V-n à N1";"N0 donner à N1 (une apparence Vpp+l'apparence de V-n)";"N0 lancer V-n Loc N1";"V-n instrument (forme V-n)";"<OPT>"
"93";"-";"+";"<E>";"duveter";"+";"-";"+";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"Ce procédé a duveté sa peau d'un duvet de poils blonds"
"94";"-";"-";"<E>";"élinguer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max a élingué le ballot d'un câble"
"95";"-";"+";"<E>";"emballer";"+";"-";"+";"~";"+";"-";"+";"+";"+";"+";"~";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max emballe le colis de papier brun"
"96";"-";"+";"<E>";"emmailloter";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"Max emmaillote le bébé(de+dans)un lange"
"97";"-";"+";"<E>";"emmancher";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max emmanche la hache d'un manche de frêne"
"98";"-";"+";"<E>";"emmitoufler";"+";"-";"+";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Max a emmitouflé Eva(dans+d')un châle"
"99";"-";"+";"<E>";"empanacher";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a empanaché Bucéphale de plumes de paon"
"100";"+";"+";"<E>";"empâter";"+";"-";"+";"~";"+";"+";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"L'abus des babas l'avait empâté d'un sérieux embonpoint"
"101";"-";"+";"<E>";"empenner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max empenne sa flèche de plumes rouges"
"102";"-";"+";"<E>";"emperler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Léa a emperlé sa robe de petites perles noires"
"103";"-";"+";"<E>";"encadrer";"+";"-";"+";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"Max a encadré le tableau d'acajou"
"104";"-";"+";"<E>";"encagouler";"+";"-";"+";"+";"-";"+";"~";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Ida encagoule son fils d'une cagoule rouge"
"105";"-";"+";"<E>";"encapuchonner";"+";"-";"+";"~";"+";"+";"+";"+";"+";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max a encapuchonné la tête de Luc(d'un+dans)une cagoule"
"106";"-";"+";"<E>";"enceindre";"+";"-";"-";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"César a enceint la ville de murailles"
"107";"-";"+";"<E>";"enclore";"+";"-";"+";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"Max a enclos son jardin(de+dans)une palissade"
"108";"-";"+";"<E>";"enclouer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max a encloué le canon d'un gros clou"
"109";"-";"+";"<E>";"encoller";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a encollé le papier peint d'une épaisse couche"
"110";"+";"+";"<E>";"encroûter";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"Un long usage a encroûté la bouilloire de calcaire"
"111";"-";"+";"<E>";"endiguer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Les colons ont endigué les eaux de buttes de terre"
"112";"-";"+";"<E>";"enduire";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max enduit la pièce de graisse"
"113";"-";"+";"<E>";"enfiler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max enfile des perles d'un fil de soie"
"114";"-";"+";"<E>";"engainer";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"Ida s' engaine la taille(de+dans)une gaine"
"115";"-";"+";"<E>";"enguirlander";"+";"-";"+";"~";"+";"-";"+";"+";"+";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Ida enguirlande le sapin de fils d'argent"
"116";"-";"+";"<E>";"enjuponner";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Ida enjuponne Léa(de+dans)un tissu sombre"
"117";"-";"+";"<E>";"ennuager";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Un vent soudain ennuage le ciel de cumulus"
"118";"-";"+";"<E>";"enrober";"+";"-";"+";"~";"+";"-";"-";"-";"+";"+";"~";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"Max enrobe les bonbons(de+dans du)chocolat"
"119";"-";"+";"<E>";"enrubanner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"Max a enrubanné la canne de(E+rubans de)soie rose"
"120";"-";"+";"<E>";"ensemencer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max a ensemencé le champ(de+en)blé"
"121";"-";"+";"<E>";"ensoutaner";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a ensoutané Ed d'une robe noire"
"122";"-";"+";"<E>";"enténébrer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"L'orage enténèbre le ciel de nuages noirs"
"123";"-";"+";"<E>";"entoiler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Paul a entoilé l'aile de son avion de nylon"
"124";"-";"+";"<E>";"entraver";"+";"-";"+";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"Max a entravé les pattes du cheval d'une corde"
"125";"-";"+";"<E>";"enturbanner";"+";"-";"+";"~";"+";"+";"-";"+";"+";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"Max a enturbanné la tête d'Ida(de+dans)un linge blanc"
"126";"-";"+";"<E>";"envelopper";"+";"-";"+";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"Max a enveloppé la bouteille(dans un+de)papier"
"127";"-";"+";"<E>";"épauler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"Max épaule le mur de poutres"
"128";"-";"+";"<E>";"étayer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"Max a étayé le mur de poutres imposantes"
"129";"-";"+";"<E>";"étiqueter";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"Max a étiqueté la fiole d'un label de qualité"
"130";"-";"+";"<E>";"farcir";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"Max a farci la dinde de marrons"
"131";"-";"+";"<E>";"ferrer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"On ferre les sabots des chevaux"
"132";"+";"+";"<E>";"floquer";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"On a floqué les plafonds d'amiante"
"133";"-";"-";"<E>";"foncer";"+";"-";"-";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max a foncé le fauteuil d'un fond de cuir"
"134";"-";"+";"<E>";"fortifier";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"Max a fortifié la ville de remparts"
"135";"-";"+";"<E>";"franger";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max a frangé la nappe de franges de coton"
"136";"-";"-";"<E>";"fringuer";"+";"-";"+";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max fringue Ida de sapes démodées"
"137";"-";"-";"<E>";"frotter";"+";"-";"-";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"Max frotte les croûtons d'ail"
"138";"-";"-";"<E>";"gainer";"+";"-";"-";"~";"+";"-";"+";"+";"+";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"Max a gainé la boîte de cuir"
"139";"-";"+";"<E>";"galonner";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a galonné la tenture d'un galon assorti"
"140";"-";"+";"<E>";"ganser";"+";"-";"+";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a gansé la tenture d'un galon assorti"
"141";"-";"-";"<E>";"ganteler";"+";"-";"-";"~";"+";"+";"+";"+";"+";"+";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a gantelé sa main d'un gantelet"
"142";"-";"+";"<E>";"ganter";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max gante sa main droite de(cuir fauve+noir)"
"143";"-";"+";"<E>";"garnir";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"On garnit la table de fleurs"
"144";"-";"+";"<E>";"garrotter";"+";"-";"+";"~";"+";"+";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"Max lui a garrotté le bras d'une sangle"
"145";"-";"+";"<E>";"glacer";"+";"-";"+";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Max a glacé le gâteau de sucre"
"146";"-";"+";"<E>";"gonder";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a gondé la porte de trois gonds"
"147";"+";"+";"<E>";"gratiner";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"On gratine le plat d'une couche de doré"
"148";"-";"+";"<E>";"gréer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a grée son bateau d'une voile au tiers"
"149";"-";"-";"<E>";"greffer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"Max a greffé le rosier d'un(oeil+greffon)"
"150";"-";"-";"<E>";"grêler";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"L'orage a grêlé la vigne de grêlons énormes"
"151";"-";"+";"<E>";"grillager";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a grillagé la fenêtre de fil de fer"
"152";"-";"+";"<E>";"griller";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a grillé le soupirail de barreaux"
"153";"-";"+";"<E>";"grimer";"+";"-";"+";"~";"+";"+";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"Max a grimé Léa d'un maquillage de clown"
"154";"-";"+";"<E>";"guêtrer";"+";"-";"+";"~";"+";"+";"+";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"On guêtrait les soldats de toile blanche"
"155";"-";"+";"<E>";"habiller";"+";"-";"+";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"Luc habille ses fauteuils de satin"
"156";"-";"+";"<E>";"habiller";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"Max habille son fils de guenilles"
"157";"-";"+";"<E>";"harnacher";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max a harnaché le cheval d'une selle anglaise"
"158";"-";"+";"<E>";"haubaner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"On a haubané le pylone de trois haubans"
"159";"-";"+";"<E>";"housser";"+";"-";"+";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"On a houssé les fauteuils d'une housse neuve"
"160";"-";"-";"<E>";"implanter";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"On a implanté son cuir chevelu de cheveux blonds"
"161";"-";"+";"<E>";"incruster";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"Max a incrusté le diadème de rubis"
"162";"-";"+";"<E>";"indemniser";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"Paul a indemnisé Luc d'une grosse somme"
"163";"-";"+";"<E>";"industrialiser";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Ces mesures industrialisent le pays d'industries de pointe"
"164";"-";"+";"<E>";"infibuler";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Les parents ont infibulé leur fille d'une agraphe"
"165";"-";"+";"<E>";"inonder";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"La crue a inondé le pays de boue"
"166";"-";"+";"<E>";"intuber";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Le médecin a intubé Max d'un tube "
"167";"-";"+";"<E>";"jointoyer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max a jointoyé les carreaux d'un joint en ciment"
"168";"-";"+";"<E>";"kilométrer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max a kilométré la nationale de bornes kilométriques vertes"
"169";"-";"+";"<E>";"lambrisser";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max a lambrissé les murs de(E+lambris de)chêne"
"170";"-";"+";"<E>";"langer";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max lange le bébé(de+dans du)coton très doux"
"171";"-";"+";"<E>";"latter";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a latté le plafond(E+de lattes)de pin"
"172";"-";"+";"<E>";"lester";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"Max a lesté la quille de plomb"
"173";"-";"+";"<E>";"lier";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"Max lie sa sauce d'un jaune d'oeuf"
"174";"-";"+";"<E>";"ligaturer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"Max a ligaturé (l'artère+la trompe)de fil de nylon"
"175";"-";"+";"<E>";"limiter";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"Max a limité son territoire de bannières"
"176";"-";"+";"<E>";"loquer";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Ida loque son fils de fringues chères"
"177";"-";"-";"<E>";"lotionner";"+";"-";"-";"~";"+";"+";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max lotionne la tête de Flo de vétiver"
"178";"-";"-";"<E>";"lotir";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Le promoteur a loti ce terrain de lotissements en béton"
"179";"-";"-";"<E>";"maçonner";"+";"-";"-";"~";"+";"-";"+";"+";"+";"+";"~";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"Max a maçonné les fenêtres du premier"
"180";"-";"+";"<E>";"maculer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max a maculé le mur de taches de vin"
"181";"-";"+";"<E>";"maquiller";"+";"-";"+";"~";"+";"+";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Ida maquille Flo de mascara"
"182";"-";"+";"<E>";"marqueter";"+";"-";"+";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Max a marqueté le coffret de pin"
"183";"-";"+";"<E>";"masquer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"On a masqué Max d'un masque"
"184";"-";"+";"<E>";"matelasser";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"Max a matelassé le siège de kapok"
"185";"-";"-";"<E>";"mâter";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a mâté son sloop"
"186";"-";"+";"<E>";"molletonner";"+";"-";"+";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"On molletonne les murs de kapok"
