"<ID>";"N0 lieu source de N1";"N0 lieu de destination de N1";"N1 V W";"N0 être V-n";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"dé-V";"N0 V N0pc W";"N1 être V-n";"N1 =: coup";"N0 V N2 source de N1";"N0 V N1 de N2 source";"N0 V N1 Loc N3 destination";"Loc N3 =: dans N3 destination";"Loc N3 =: sur N3 destination";"Loc N3 =: contre N3 destination";"Loc N3 =: à N3 destination";"par N4";"(N2+N3) être V-n";"V-n instrument";"V-n transport";"V-n chemin";"de combien ?";"sur combien ?";"Loc N3 =: sur lui1-même";"N1 être Vpp (statique)";"à Nhum destination";"à Nhum source";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"V-n instrument (forme V-n)";"V-n transport (forme V-n)";"V-n chemin (forme V-n)";"(N2+N3) être V-n (forme V-n)";"<OPT>"
"89";"-";"-";"-";"-";"<E>";"repousser";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Le piston repousse les gaz du cylindre dans la chambre"
"90";"-";"-";"-";"-";"<E>";"retranscrire";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"La radio retranscrit ce match de Gap dans tout l'Est"
"91";"-";"-";"-";"-";"<E>";"retransmettre";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"La radio retransmet ce match de Gap dans toute"
"92";"~";"~";"~";"~";"<E>";"riper";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max a ripé ses valises(du couloir+dans la chambre)"
"93";"-";"-";"+";"-";"<E>";"rouler";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max a roulé le tonneau dans le coin de la cave"
"94";"-";"-";"-";"-";"<E>";"router";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"route";"<E>";"Max route les colis de Gap à Dax"
"95";"~";"~";"~";"~";"<E>";"schlitter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max a schlitté le bois du sommet à la rivière"
"96";"~";"~";"~";"~";"<E>";"sortir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max a sorti de l'argent de son compte"
"97";"~";"~";"~";"~";"<E>";"souffler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Le courant d'air a soufflé les papiers de la table"
"98";"~";"~";"~";"~";"<E>";"surélever";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"L'entrepreneur a surélevé le plancher|de 30 cm à une hauteur de 20 cm|"
"99";"-";"-";"-";"+";"<E>";"téléguider";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"téléguide";"<E>";"téléguide";"<E>";"<E>";"<E>";"Ce dispositif téléguide le missile de l'avion vers la cible"
"100";"~";"~";"~";"~";"<E>";"tirer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Un cheval tire la charrette sur la route"
"101";"-";"-";"-";"-";"<E>";"tirer";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max tire le buffet du salon dans le couloir"
"102";"-";"-";"-";"-";"<E>";"tracter";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max tracte la caravane de Gap à Dax"
"103";"-";"-";"-";"-";"<E>";"traîner";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max traîne la chaise sur la terrasse"
"104";"~";"~";"~";"~";"<E>";"traîner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max traîne le buffet du salon dans le couloir"
"105";"-";"-";"-";"-";"<E>";"transbahuter";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max transbahute les colis de Gap à Dax"
"106";"-";"-";"-";"-";"<E>";"transborder";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"bord";"Max transborde les colis du bateau dans la chaloupe"
"107";"-";"-";"-";"-";"<E>";"transcoder";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"code";"Max transcode les consignes de Fortran en LISP"
"108";"-";"-";"-";"-";"<E>";"transcrire";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max transcrit les données de l'écran sur son cahier"
"109";"-";"-";"-";"-";"<E>";"transférer";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max a transféré de l'argent de son compte sur le compte de Luc"
"110";"-";"-";"-";"-";"<E>";"transfuser";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max a transfusé du sang de la veine de Luc à celle de Bob"
"111";"-";"-";"+";"-";"<E>";"transiter";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max transit les colis par Dax du Sud vers le Nord"
"112";"-";"-";"-";"-";"<E>";"translater";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"On a translaté cette droite du point A au point B"
"113";"-";"-";"-";"-";"<E>";"translitérer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"translitération";"Max translitère le texte cyrillique en arabe"
"114";"-";"-";"-";"-";"<E>";"transmettre";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"La radio transmet ce match de Gap dans toute l'Europe"
"115";"-";"-";"-";"-";"<E>";"transplanter";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"plant";"<E>";"<E>";"<E>";"<E>";"Max a transplanté le pin de la cour dans le jardin"
"116";"-";"-";"-";"-";"<E>";"transporter";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max transporte du blé de Gap à Dax par la route"
"117";"-";"-";"-";"-";"<E>";"transposer";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max transpose ce texte du latin en grec"
"118";"-";"-";"-";"-";"<E>";"transvaser";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"vase";"Max transvase le vin de la bouteille dans la cruche"
"119";"-";"-";"-";"-";"<E>";"transvider";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max transvide le vin de la bouteille dans la cruche"
"120";"~";"~";"~";"~";"<E>";"treuiller";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"On a treuillé cette charge du quai sur le toit"
"121";"-";"-";"-";"-";"<E>";"trimbaler";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max trimballe le piano du salon dans la cour"
"122";"-";"-";"-";"-";"<E>";"véhiculer";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"véhicule";"<E>";"<E>";"Max véhicule les colis de Gap à Dax"
"123";"-";"-";"-";"-";"<E>";"voiturer";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"voiture";"<E>";"<E>";"Max voiture les colis de Gap à Dax"

