"<ID>";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"dé-V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Npc obl";"N0 V N1";"Prép2 =: avec";"Prép2 =: dans";"Prép2 =: en";"N2 =: Nhum";"N2 =: N-hum";"N2 =: trou";"N2 =: couche";"N2 =: coup";"N2 apparition";"N2 =: Npl obl";"N2 être V-n, Sfx = E";"N2 être V-n, Sfx # E";"Sfx =: age";"Sfx =: ment";"Sfx =: tion";"Sfx =: ure";"V-n instrument";"N1 =: texte, N2 =: mot";"N1 =: esprit, N2 =: idée";"N0 V N1hum de N2abs";"N0 V N2 (E+Loc N1 destination)";"N0 mettre V-n Loc N1";"N0 faire V-n Prép N1";"N0 donner V-n à N1";"N0 donner à N1 (une apparence Vpp+l'apparence de V-n)";"N0 lancer V-n Loc N1";"V-n instrument (forme V-n)";"<OPT>"
"91";"-";"+";"<E>";"imprégner";"+";"-";"+";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"<E>";"Max imprègne le bois de résine"
"92";"+";"+";"<E>";"infecter";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Les usines infectent l'air de fumées nauséabondes"
"93";"-";"+";"<E>";"infecter";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"<E>";"Un manque de soins a infecté sa blessure(E+de germes pathogènes)"
"94";"-";"+";"<E>";"infester";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"La famine a infesté le pays de brigands"
"95";"-";"-";"<E>";"infiltrer";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"<E>";"L'eau s' infiltre à travers les murs"
"96";"-";"+";"<E>";"injecter";"+";"-";"-";"~";"+";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"La fumée lui avait injecté les yeux de sang"
"97";"-";"+";"<E>";"innerver";"+";"-";"-";"~";"+";"+";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Le Créateur a innervé ce membre de nombreuses terminaisons"
"98";"-";"+";"<E>";"inonder";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"<E>";"Max inonde la région de tracts"
"99";"-";"-";"<E>";"inséminer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"<E>";"Max a inséminé la vache de semence congelée"
"100";"-";"+";"<E>";"irriguer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max irrigue son terrain de l'eau du fleuve"
"101";"-";"+";"<E>";"joncher";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a jonché le sol de jouets"
"102";"-";"-";"<E>";"lapider";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"On a lapidé Max(avec des+de)grosses pierres"
"103";"~";"~";"<E>";"lier";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"+";"-";"-";"-";"<E>";"On lie les pierres avec du mortier"
"104";"-";"-";"<E>";"lober";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a lobé le gardien(E+d'une balle haute)"
"105";"~";"~";"<E>";"marteler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"-";"-";"-";"-";"-";"marteau";"L'ennemi martèle la ville de bombes"
"106";"~";"~";"<E>";"masquer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"+";"+";"-";"-";"-";"<E>";"On a masqué le garage d'une haie"
"107";"-";"+";"<E>";"miner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"<E>";"L'ennemi a miné le détroit de mines magnétiques"
"108";"-";"-";"<E>";"mitrailler";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"L'ennemi a mitraillé la troupe de(plomb+mitraille)"
"109";"~";"~";"<E>";"monter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"-";"-";"-";"-";"<E>";"Max monte l'anneau d'un diamant"
"110";"-";"+";"<E>";"mouiller";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max a mouillé (le chiffon+son visage)d'eau fraîche"
"111";"-";"+";"<E>";"murer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"On a muré la fenêtre de briques"
"112";"~";"~";"<E>";"nébuliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"-";"-";"-";"-";"<E>";"Max nébulise les fleurs d'insecticides"
"113";"-";"+";"<E>";"nimber";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"La pluie nimbait le soleil d'un halo glauque"
"114";"-";"+";"<E>";"noyer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max a noyé son gin d'eau"
"115";"+";"+";"<E>";"obscurcir";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max obscurcit les fenêtres de rideaux"
"116";"-";"+";"<E>";"obstruer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max a obstrué le trou d'un chiffon"
"117";"-";"+";"<E>";"obturer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max a obturé le trou de mastic"
"118";"-";"+";"<E>";"occulter";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max a occulté le phare d'un cache troué"
"119";"-";"+";"<E>";"ombrager";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a ombragé son jardin de pins parasols"
"120";"-";"+";"<E>";"ombrer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a ombré son dessin de gris"
"121";"-";"+";"<E>";"parsemer";"+";"-";"-";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max a parsemé le sol de bonbons"
"122";"-";"+";"<E>";"piéger";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"piège";"Max a piégé (l'engin+la voiture)d'une charge d'explosif"
"123";"-";"-";"<E>";"pilonner";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"pilon";"L'ennemi a pilonné la ville d'obus"
"124";"-";"+";"<E>";"piquer";"+";"-";"-";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"pique";"Le rôti est piqué d'ail"
"125";"~";"~";"<E>";"pistoler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"-";"-";"-";"-";"-";"pistolet";" Pistoler le mur de laque"
"126";"-";"-";"<E>";"planter";"+";"-";"+";"~";"+";"-";"-";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"Max a planté son parc de pins"
"127";"-";"+";"<E>";"polluer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Cette usine a pollué la rivière de déchets toxiques"
"128";"-";"-";"<E>";"raccommoder";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a raccommodé le bas de fil noir"
"129";"-";"-";"<E>";"recoudre";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a recousu l'accroc de fil bleu"
"130";"~";"~";"<E>";"recouvrir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"-";"-";"+";"-";"~";"~";"~";"~";"-";"+";"-";"-";"-";"<E>";"La tempête a recouvert le village de la neige"
"131";"-";"+";"<E>";"rehausser";"+";"-";"-";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a rehaussé le mur d'un fronton de briques"
"132";"-";"+";"<E>";"relever";"+";"-";"-";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max relève la sauce de piment"
"133";"~";"~";"<E>";"remonter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"-";"-";"-";"-";"<E>";"Max a remonté le mur(d'une rangée de briques+de 2 mètres)"
"134";"~";"~";"<E>";"remplir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"Paul a rempli le tonneau de vin"
"135";"~";"~";"<E>";"sangler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~";"+";"+";"-";"-";"-";"<E>";"On a sanglé Marie d'une gaine étroite"
"136";"~";"~";"<E>";"saturer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"-";"-";"-";"-";"<E>";"L'eau est saturée de gel"
"137";"-";"+";"<E>";"saucissonner";"+";"-";"+";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Bob a saucissonné Paulo dans du fil de fer"
"138";"-";"+";"<E>";"saupoudrer";"+";"-";"-";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"Max saupoudre les frites de sel"
"139";"-";"+";"<E>";"semer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"<E>";"Max a semé son roman d'allusions grivoises"
"140";"-";"+";"<E>";"sertir";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max a serti sa bague de diamant"
"141";"~";"~";"<E>";"solariser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"-";"-";"-";"-";"<E>";"Max a solarisé sa maison de capteurs solaires"
"142";"-";"+";"<E>";"stopper";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Eva a stoppé son bas d'un point de colle"
"143";"+";"+";"<E>";"stratifier";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Paul a stratifié sa planche d'une couche de polyester"
"144";"-";"+";"<E>";"submerger";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"~";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"Le raz de marée a submergé la province sous 2 mètres d'eau"
"145";"-";"+";"<E>";"surélever";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"L'architecte a surélevé le bâtiment de deux étages"
"146";"-";"+";"<E>";"surmonter";"+";"-";"-";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max surmonté l'église d'un coq"
"147";"~";"~";"<E>";"tamponner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"-";"-";"-";"-";"-";"tampon";"Max tamponne le front de Léa d'eau fraîche"
"148";"-";"+";"<E>";"tartiner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"<E>";"Max tartine son pain de beurre"
"149";"-";"-";"<E>";"torpiller";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"torpille";"Némo a torpillé le croiseur"
"150";"-";"+";"<E>";"transpercer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max a transpercé l'orange d'une aiguille"
"151";"-";"+";"<E>";"tremper";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"L'orage a trempé les vêtements d'eau"
"152";"-";"+";"<E>";"vicier";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"Les usines vicient l'air de fumées"

