"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"N0 V";"<ENT>Poss1";"autre Det1";"<ENT>C1";"C1 =: Npc";"[passif]";"N0 se V Ddéf1 C1";"Exemple"
"483";"+";"-";"-";"-";"-";"<E>";" regagner";"-";" sa";"+";" place";"-";"+";"-";"§regagner§sa place "
"484";"+";"-";"-";"-";"-";"<E>";" regagner";"-";" son";"+";" siège";"-";"+";"-";"§regagner§son siège "
"485";"+";"-";"-";"-";"-";"<E>";" regarder";"-";" sa";"-";" montre";"-";"-";"-";"§regarder§sa montre "
"486";"+";"-";"-";"-";"-";"<E>";" regretter";"-";" son";"+";" geste";"-";"-";"-";"§regretter§son geste "
"487";"+";"-";"-";"-";"-";"<E>";" régulariser";"+";" sa";"+";" situation";"-";"+";"-";"§régulariser§sa situation "
"488";"+";"-";"-";"-";"-";"<E>";" réintégrer";"-";" ses";"+";" pénates";"-";"+";"-";"§réintégrer§ses pénates "
"489";"+";"-";"-";"-";"-";"<E>";" rejoindre";"-";" ses";"+";" pénates";"-";"+";"-";"§rejoindre§ses pénates "
"490";"+";"-";"-";"-";"-";"<E>";" rejoindre";"-";" son";"+";" poste";"-";"+";"-";"§rejoindre§son poste "
"491";"+";"-";"-";"-";"-";"<E>";" relâcher";"-";" son";"-";" attention";"-";"+";"-";"§relâcher§son attention "
"492";"+";"-";"-";"-";"-";"<E>";" relâcher";"-";" sa";"-";" surveillance";"-";"+";"-";"§relâcher§sa surveillance "
"493";"+";"-";"-";"-";"-";"<E>";" relever";"-";" ses";"-";" manches";"-";"-";"-";"§relever§ses manches "
"494";"+";"-";"-";"-";"-";"<E>";" relever";"-";" ses";"-";" manches";"-";"+";"-";"§relever§ses manches "
"495";"+";"-";"-";"-";"-";"<E>";" remballer";"-";" sa";"+";" marchandise";"-";"+";"-";"§remballer§sa marchandise "
"496";"+";"-";"-";"-";"-";"<E>";" remplir";"-";" son";"-";" contrat";"-";"-";"-";"§remplir§son contrat "
"497";"+";"-";"-";"-";"-";"<E>";" remplir";"-";" son";"-";" devoir";"-";"-";"-";"§remplir§son devoir "
"498";"+";"-";"-";"-";"-";"<E>";" remplir";"-";" son";"+";" devoir conjugal";"-";"+";"-";"§remplir§son devoir conjugal "
"499";"+";"+";"-";"-";"-";"<E>";" remplir";"-";" sa";"-";" mission";"-";"+";"-";"§remplir§sa mission "
"500";"+";"-";"-";"-";"-";"<E>";" remplir";"-";" ses";"+";" obligations";"-";"+";"-";"§remplir§ses obligations "
"501";"+";"-";"-";"-";"-";"<E>";" remplir";"-";" ses";"+";" obligations militaires";"-";"+";"-";"§remplir§ses obligations militaires "
"502";"-";"+";"-";"-";"-";"<E>";" remplir";"-";" son";"-";" office";"-";"+";"-";"§remplir§son office "
"503";"+";"-";"-";"-";"-";"<E>";" remplir";"-";" sa";"-";" part du contrat";"-";"-";"-";"§remplir§sa part du contrat "
"504";"+";"+";"-";"-";"-";"<E>";" remplir";"-";" sa";"-";" promesse";"-";"+";"-";"§remplir§sa promesse "
"505";"+";"-";"-";"-";"-";"<E>";" renier";"-";" sa";"-";" foi";"-";"+";"-";"§renier§sa foi "
"506";"+";"-";"-";"-";"-";"<E>";" renier";"-";" son";"-";" histoire";"-";"+";"-";"§renier§son histoire "
"507";"+";"-";"-";"-";"-";"<E>";" renier";"-";" sa";"+";" parole";"-";"+";"-";"§renier§sa parole "
"508";"+";"-";"-";"-";"-";"<E>";" renier";"-";" son";"-";" passé";"-";"+";"-";"§renier§son passé "
"509";"+";"-";"-";"-";"-";"<E>";" renier";"-";" ses";"-";" racines";"-";"+";"-";"§renier§ses racines "
"510";"+";"-";"-";"-";"-";"<E>";" renier";"-";" sa";"-";" signature";"-";"+";"-";"§renier§sa signature "
"511";"+";"-";"-";"-";"-";"<E>";" renouveler";"-";" sa";"-";" garde-robe";"-";"+";"-";"§renouveler§sa garde-robe "
"512";"+";"-";"-";"-";"-";"<E>";" rentrer";"-";" sa";"-";" colère";"-";"+";"-";"§rentrer§sa colère "
"513";"+";"-";"-";"-";"-";"<E>";" rentrer";"-";" ses";"-";" griffes";"+";"+";"+";"§rentrer§ses griffes "
"514";"+";"-";"-";"-";"-";"<E>";" rentrer";"-";" sa";"-";" haine";"-";"+";"-";"§rentrer§sa haine "
"515";"+";"-";"-";"-";"-";"<E>";" rentrer";"-";" ses";"-";" larmes";"-";"+";"-";"§rentrer§ses larmes "
"516";"+";"-";"-";"-";"-";"<E>";" rentrer";"-";" ses";"-";" ongles";"+";"+";"+";"§rentrer§ses ongles "
"517";"+";"-";"-";"-";"-";"<E>";" rentrer";"-";" sa";"-";" rage";"-";"+";"-";"§rentrer§sa rage "
"518";"+";"-";"-";"-";"-";"<E>";" rentrer";"-";" sa";"-";" violence";"-";"+";"-";"§rentrer§sa violence "
"519";"+";"-";"-";"-";"-";"<E>";" réparer";"-";" sa";"+";" coiffure";"+";"+";"-";"§réparer§sa coiffure "
"520";"+";"+";"-";"-";"-";"<E>";" réparer";"-";" ses";"-";" forces";"-";"+";"-";"§réparer§ses forces "
"521";"+";"+";"-";"-";"-";"<E>";" réparer";"-";" sa";"-";" santé";"-";"+";"+";"§réparer§sa santé "
"522";"+";"-";"-";"-";"-";"<E>";" réparer";"-";" sa";"+";" toilette";"-";"+";"+";"§réparer§sa toilette "
